unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_company_borough,due_date
58917922,2023-09-25T20:56:16.000,2023-09-25T21:43:06.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1608 BROOKLYN AVENUE,BROOKLYN AVENUE,GLENWOOD ROAD,AVENUE H,GLENWOOD ROAD,AVENUE H,ADDRESS,BROOKLYN,BROOKLYN AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T21:43:09.000,17 BROOKLYN,3075630151,BROOKLYN,1000362,170149,PHONE,Unspecified,BROOKLYN,40.633681613219665,-73.94195058594701,"{'latitude': '40.633681613219665', 'longitude': '-73.94195058594701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58923005,2023-09-25T20:56:16.000,2023-09-26T08:17:24.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,10128,172 EAST   95 STREET,EAST   95 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   95 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-25T22:02:02.000,08 MANHATTAN,1015230143,MANHATTAN,997915,225225,ONLINE,Unspecified,MANHATTAN,40.784856227033735,-73.9506550228547,"{'latitude': '40.784856227033735', 'longitude': '-73.9506550228547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58924794,2023-09-25T20:56:12.000,2023-09-25T21:29:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2820 WEST   32 STREET,WEST   32 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   32 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:29:13.000,13 BROOKLYN,3070070001,BROOKLYN,984584,149247,PHONE,Unspecified,BROOKLYN,40.576324536245004,-73.99879767544769,"{'latitude': '40.576324536245004', 'longitude': '-73.99879767544769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58917505,2023-09-25T20:55:55.000,2023-10-19T08:52:55.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,10314,117 KEATING PLACE,KEATING PLACE,ROCKLAND AVENUE,TRAVIS AVENUE,ROCKLAND AVENUE,TRAVIS AVENUE,ADDRESS,STATEN ISLAND,KEATING PLACE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-19T08:53:02.000,02 STATEN ISLAND,5023760043,STATEN ISLAND,940966,155075,PHONE,Unspecified,STATEN ISLAND,40.592215557978705,-74.15584978405779,"{'latitude': '40.592215557978705', 'longitude': '-74.15584978405779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916654,2023-09-25T20:55:47.000,2023-09-25T21:58:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,1247 71 STREET,71 STREET,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,71 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T21:58:08.000,10 BROOKLYN,3061660061,BROOKLYN,982529,166355,MOBILE,Unspecified,BROOKLYN,40.623282368479536,-74.00619956981774,"{'latitude': '40.623282368479536', 'longitude': '-74.00619956981774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58921586,2023-09-25T20:55:34.000,2023-09-26T21:47:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10029,426 EAST  115 STREET,EAST  115 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,11 MANHATTAN,1017080036,MANHATTAN,1002204,228920,ONLINE,Unspecified,MANHATTAN,40.79499033422059,-73.93515736417113,"{'latitude': '40.79499033422059', 'longitude': '-73.93515736417113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58923245,2023-09-25T20:55:34.000,2023-10-26T00:00:52.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tow Truck Company,Business,10460,1129 EAST  179 STREET,EAST  179 STREET,DEVOE AVENUE,BRONX PARK AVENUE,DEVOE AVENUE,BRONX PARK AVENUE,ADDRESS,BRONX,EAST  179 STREET,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-26T00:00:58.000,06 BRONX,2040050001,BRONX,1018541,245505,PHONE,Unspecified,BRONX,40.840463159605164,-73.8760700003368,"{'latitude': '40.840463159605164', 'longitude': '-73.8760700003368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922669,2023-09-25T20:55:33.000,2023-10-02T09:16:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10028,424 EAST   85 STREET,EAST   85 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,08 MANHATTAN,1015640038,MANHATTAN,998397,221920,PHONE,Unspecified,MANHATTAN,40.77578411984519,-73.94892145698347,"{'latitude': '40.77578411984519', 'longitude': '-73.94892145698347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922167,2023-09-25T20:55:33.000,2023-10-13T06:23:21.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,11363,37-05 233 PLACE,233 PLACE,DEAD END,BAY STREET,DEAD END,BAY STREET,ADDRESS,LITTLE NECK,233 PLACE,Closed,The Department of Sanitation (DSNY) cleaned the lot.,2023-10-13T06:23:24.000,11 QUEENS,4080550022,QUEENS,1052484,220540,ONLINE,Unspecified,QUEENS,40.77174435375957,-73.75365192071351,"{'latitude': '40.77174435375957', 'longitude': '-73.75365192071351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58919975,2023-09-25T20:55:29.000,2023-09-25T22:21:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,1696 EAST   49 STREET,EAST   49 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   49 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T22:21:35.000,18 BROOKLYN,3078730079,BROOKLYN,1004247,165011,MOBILE,Unspecified,BROOKLYN,40.619570968889754,-73.9279686703593,"{'latitude': '40.619570968889754', 'longitude': '-73.9279686703593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
