unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58973758,2023-09-30T14:45:13.000,2023-10-03T09:29:34.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58977470,2023-09-30T14:45:12.000,2023-10-03T09:29:34.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58973963,2023-09-30T14:45:12.000,2023-10-03T09:29:34.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58974597,2023-09-30T14:45:08.000,2023-09-30T15:16:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,86-14 91 AVENUE,91 AVENUE,ADDRESS,WOODHAVEN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T15:16:53.000,09 QUEENS,4089800008,QUEENS,1024093,189983,ONLINE,Unspecified,QUEENS,40.688046540869585,-73.85633382727944,"{'latitude': '40.688046540869585', 'longitude': '-73.85633382727944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 STREET,87 STREET,86 STREET,87 STREET,91 AVENUE,,,,,,
58970623,2023-09-30T14:45:07.000,2023-10-02T10:55:43.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11434,174-19 MURDOCK AVENUE,MURDOCK AVENUE,ADDRESS,JAMAICA,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-10-02T10:55:43.000,12 QUEENS,4102890071,QUEENS,1046234,191715,ONLINE,Unspecified,QUEENS,40.69267310221936,-73.77648200094742,"{'latitude': '40.69267310221936', 'longitude': '-73.77648200094742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MARNE PLACE,175 STREET,MARNE PLACE,175 STREET,MURDOCK AVENUE,,,,,,
58976687,2023-09-30T14:45:06.000,2023-10-10T13:13:02.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11228,977 76 STREET,76 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-10-05T05:51:14.000,10 BROOKLYN,3059450058,BROOKLYN,979985,166663,ONLINE,Unspecified,BROOKLYN,40.62412690456806,-74.01536403251303,"{'latitude': '40.62412690456806', 'longitude': '-74.01536403251303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FORT HAMILTON PARKWAY,10 AVENUE,FORT HAMILTON PARKWAY,10 AVENUE,76 STREET,,,,,,
58973677,2023-09-30T14:44:48.000,2023-09-30T15:07:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,65 PARK AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T15:07:53.000,02 BROOKLYN,3020250150,BROOKLYN,990485,192994,MOBILE,Unspecified,BROOKLYN,40.696398523304126,-73.97751498613107,"{'latitude': '40.696398523304126', 'longitude': '-73.97751498613107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST EDWARDS STREET,NORTH ELLIOTT PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,PARK AVENUE,,,,,,
58970988,2023-09-30T14:44:43.000,2023-09-30T15:00:09.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,598 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T15:00:13.000,05 BROOKLYN,3045860945,BROOKLYN,1020207,178299,ONLINE,Unspecified,BROOKLYN,40.65599325559804,-73.87040829977123,"{'latitude': '40.65599325559804', 'longitude': '-73.87040829977123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,SCHROEDERS AVENUE,,,,,,
58975810,2023-09-30T14:44:36.000,2023-09-30T15:29:30.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,958 78 STREET,78 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T15:29:34.000,10 BROOKLYN,3059730030,BROOKLYN,979507,166373,PHONE,Unspecified,BROOKLYN,40.62333067224808,-74.01708575310153,"{'latitude': '40.62333067224808', 'longitude': '-74.01708575310153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,10 AVENUE,7 AVENUE,10 AVENUE,78 STREET,,,,,,
58971890,2023-09-30T14:44:17.000,2023-09-30T15:09:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10021,332 EAST   73 STREET,EAST   73 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T15:09:43.000,08 MANHATTAN,1014470034,MANHATTAN,996168,219483,MOBILE,Unspecified,MANHATTAN,40.76909847902619,-73.9569737079244,"{'latitude': '40.76909847902619', 'longitude': '-73.9569737079244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   73 STREET,,,,,,
