unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,vehicle_type,taxi_company_borough,road_ramp,due_date
58918991,2023-09-25T15:30:21.000,2023-10-27T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10468,2776 SEDGWICK AVENUE,SEDGWICK AVENUE,ADDRESS,BRONX,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-27T00:00:00.000,08 BRONX,2032490190,BRONX,1011237,256773,UNKNOWN,Unspecified,BRONX,40.87141577575548,-73.902421763529,"{'latitude': '40.87141577575548', 'longitude': '-73.902421763529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58921236,2023-09-25T15:30:21.000,2023-09-25T15:30:21.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",11385,78-11 79 STREET,79 STREET,ADDRESS,RIDGEWOOD,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-25T00:00:00.000,05 QUEENS,4038280025,QUEENS,1019922,195890,UNKNOWN,Unspecified,QUEENS,40.70427765946506,-73.87134234241721,"{'latitude': '40.70427765946506', 'longitude': '-73.87134234241721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58919473,2023-09-25T15:30:21.000,2023-10-16T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,11103,35-16 ASTORIA BOULEVARD SOUTH,ASTORIA BOULEVARD SOUTH,ADDRESS,ASTORIA,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-16T00:00:00.000,01 QUEENS,4006330040,QUEENS,1007901,219610,UNKNOWN,Unspecified,QUEENS,40.76942345648519,-73.91461487499788,"{'latitude': '40.76942345648519', 'longitude': '-73.91461487499788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58917134,2023-09-25T15:30:19.000,,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,10032,2188 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,12 MANHATTAN,1021250045,MANHATTAN,1001772,245395,PHONE,Unspecified,MANHATTAN,40.840210436403424,-73.93667455980834,"{'latitude': '40.840210436403424', 'longitude': '-73.93667455980834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58923853,2023-09-25T15:30:14.000,,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,10032,2188 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,12 MANHATTAN,1021250045,MANHATTAN,1001772,245395,PHONE,Unspecified,MANHATTAN,40.840210436403424,-73.93667455980834,"{'latitude': '40.840210436403424', 'longitude': '-73.93667455980834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58925123,2023-09-25T15:30:13.000,2023-10-06T19:41:38.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10310,680 CARY AVENUE,CARY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 STATEN ISLAND,5002230048,STATEN ISLAND,949748,169476,ONLINE,Unspecified,STATEN ISLAND,40.63178183279326,-74.12430265610122,"{'latitude': '40.63178183279326', 'longitude': '-74.12430265610122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58925151,2023-09-25T15:30:13.000,2023-10-06T19:41:38.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,10310,680 CARY AVENUE,CARY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 STATEN ISLAND,5002230048,STATEN ISLAND,949748,169476,ONLINE,Unspecified,STATEN ISLAND,40.63178183279326,-74.12430265610122,"{'latitude': '40.63178183279326', 'longitude': '-74.12430265610122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58921709,2023-09-25T15:30:13.000,2023-10-06T19:41:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10310,680 CARY AVENUE,CARY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 STATEN ISLAND,5002230048,STATEN ISLAND,949748,169476,ONLINE,Unspecified,STATEN ISLAND,40.63178183279326,-74.12430265610122,"{'latitude': '40.63178183279326', 'longitude': '-74.12430265610122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920467,2023-09-25T15:30:13.000,2023-10-06T19:41:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10310,680 CARY AVENUE,CARY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 STATEN ISLAND,5002230048,STATEN ISLAND,949748,169476,ONLINE,Unspecified,STATEN ISLAND,40.63178183279326,-74.12430265610122,"{'latitude': '40.63178183279326', 'longitude': '-74.12430265610122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58919256,2023-09-25T15:30:13.000,2023-10-06T19:41:39.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,10310,680 CARY AVENUE,CARY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 STATEN ISLAND,5002230048,STATEN ISLAND,949748,169476,ONLINE,Unspecified,STATEN ISLAND,40.63178183279326,-74.12430265610122,"{'latitude': '40.63178183279326', 'longitude': '-74.12430265610122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
