unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,facility_type,cross_street_1,cross_street_2,landmark,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,road_ramp,due_date
58920482,2023-09-25T13:30:23.000,2023-10-01T11:47:14.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10065,61 EAST   66 STREET,EAST   66 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,08 MANHATTAN,1013810031,MANHATTAN,993242,218970,ONLINE,Unspecified,MANHATTAN,40.76769388785952,-73.96753782077334,"{'latitude': '40.76769388785952', 'longitude': '-73.96753782077334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58920421,2023-09-25T13:30:21.000,2023-10-01T02:03:03.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10033,725 WEST  184 STREET,WEST  184 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,12 MANHATTAN,1021800157,MANHATTAN,1001985,249838,ONLINE,Unspecified,MANHATTAN,40.85240473614685,-73.935893015454,"{'latitude': '40.85240473614685', 'longitude': '-73.935893015454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58925065,2023-09-25T13:30:21.000,2023-10-01T02:03:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033,725 WEST  184 STREET,WEST  184 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,12 MANHATTAN,1021800157,MANHATTAN,1001985,249838,ONLINE,Unspecified,MANHATTAN,40.85240473614685,-73.935893015454,"{'latitude': '40.85240473614685', 'longitude': '-73.935893015454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58917233,2023-09-25T13:30:20.000,2023-09-27T20:34:28.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10029,261 PLEASANT AVENUE,PLEASANT AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 MANHATTAN,1017080022,MANHATTAN,1002520,228525,PHONE,Unspecified,MANHATTAN,40.79390551875218,-73.93401717411281,"{'latitude': '40.79390551875218', 'longitude': '-73.93401717411281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58920157,2023-09-25T13:30:00.000,2023-09-25T15:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11217,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T15:10:00.000,02 BROOKLYN,,BROOKLYN,991473,187847,UNKNOWN,Unspecified,BROOKLYN,40.68227044134334,-73.97395752244505,"{'latitude': '40.68227044134334', 'longitude': '-73.97395752244505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,PACIFIC STREET,N/A,,,,,,,,,
58925457,2023-09-25T13:29:53.000,2023-09-29T03:12:52.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10458,2922 VALENTINE AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T04:29:51.000,07 BRONX,2032970032,BRONX,1015346,256583,ONLINE,Unspecified,BRONX,40.87088076496943,-73.88756554513651,"{'latitude': '40.87088076496943', 'longitude': '-73.88756554513651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  199 STREET,BEDFORD PARK BOULEVARD,,EAST  199 STREET,BEDFORD PARK BOULEVARD,VALENTINE AVENUE,,,,,,
58919603,2023-09-25T13:29:49.000,2023-09-25T13:29:49.000,DOHMH,Department of Health and Mental Hygiene,Unleashed Dog,Unleashed Dog in Public,Public/Unfenced Area,11214,8742 25 AVENUE,25 AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",2023-09-25T13:59:59.000,11 BROOKLYN,3068780073,BROOKLYN,986970,156066,ONLINE,Unspecified,BROOKLYN,40.5950409240512,-73.99020586991256,"{'latitude': '40.5950409240512', 'longitude': '-73.99020586991256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BENSON AVENUE,BATH AVENUE,,BENSON AVENUE,BATH AVENUE,25 AVENUE,,,,,,
58923431,2023-09-25T13:29:47.000,2023-09-25T18:43:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,2251 83 STREET,83 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T18:43:49.000,11 BROOKLYN,3063190054,BROOKLYN,986777,158956,ONLINE,Unspecified,BROOKLYN,40.6029734463176,-73.9908997399686,"{'latitude': '40.6029734463176', 'longitude': '-73.9908997399686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAY PARKWAY,23 AVENUE,,BAY PARKWAY,23 AVENUE,83 STREET,,,,,,
58917376,2023-09-25T13:29:39.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11203,74 EAST   43 STREET,EAST   43 STREET,ADDRESS,BROOKLYN,In Progress,,,17 BROOKLYN,3048630017,BROOKLYN,1001604,177635,PHONE,Unspecified,BROOKLYN,40.65422672036992,-73.93745656794675,"{'latitude': '40.65422672036992', 'longitude': '-73.93745656794675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LENOX ROAD,LINDEN BOULEVARD,,LENOX ROAD,LINDEN BOULEVARD,EAST   43 STREET,,,,,,
58919451,2023-09-25T13:29:25.000,2023-09-25T13:57:22.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T13:57:25.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,
