unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date,road_ramp
58918256,2023-09-25T11:52:13.000,2023-10-18T07:41:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11222,553 MEEKER AVENUE,MEEKER AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-18T00:00:00.000,01 BROOKLYN,3027280027,BROOKLYN,1000008,201948,PHONE,Unspecified,BROOKLYN,40.72096329487175,-73.94315164954104,"{'latitude': '40.72096329487175', 'longitude': '-73.94315164954104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58925017,2023-09-25T11:52:13.000,2023-10-18T07:41:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11222,553 MEEKER AVENUE,MEEKER AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-18T00:00:00.000,01 BROOKLYN,3027280027,BROOKLYN,1000008,201948,PHONE,Unspecified,BROOKLYN,40.72096329487175,-73.94315164954104,"{'latitude': '40.72096329487175', 'longitude': '-73.94315164954104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58924918,2023-09-25T11:52:13.000,2023-10-18T07:41:30.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11222,553 MEEKER AVENUE,MEEKER AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-18T00:00:00.000,01 BROOKLYN,3027280027,BROOKLYN,1000008,201948,PHONE,Unspecified,BROOKLYN,40.72096329487175,-73.94315164954104,"{'latitude': '40.72096329487175', 'longitude': '-73.94315164954104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58919276,2023-09-25T11:52:12.000,2023-09-28T15:14:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11231,1 2 PLACE,2 PLACE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,06 BROOKLYN,3003600056,BROOKLYN,984017,187201,PHONE,Unspecified,BROOKLYN,40.68050026212689,-74.00084005760932,"{'latitude': '40.68050026212689', 'longitude': '-74.00084005760932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58919225,2023-09-25T11:52:11.000,2023-10-03T08:27:45.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10024,325 WEST   77 STREET,WEST   77 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,07 MANHATTAN,1011860009,MANHATTAN,988927,224709,ONLINE,Unspecified,MANHATTAN,40.78344927103954,-73.98311148403573,"{'latitude': '40.78344927103954', 'longitude': '-73.98311148403573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58922673,2023-09-25T11:52:11.000,2023-10-03T08:27:45.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10024,325 WEST   77 STREET,WEST   77 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,07 MANHATTAN,1011860009,MANHATTAN,988927,224709,ONLINE,Unspecified,MANHATTAN,40.78344927103954,-73.98311148403573,"{'latitude': '40.78344927103954', 'longitude': '-73.98311148403573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58918191,2023-09-25T11:52:10.000,2023-09-27T09:42:28.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,650 MORRIS PARK AVENUE,MORRIS PARK AVENUE,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-27T00:00:00.000,11 BRONX,2040310001,BRONX,1020869,247124,PHONE,Unspecified,BRONX,40.84489748934483,-73.86764762219563,"{'latitude': '40.84489748934483', 'longitude': '-73.86764762219563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58925439,2023-09-25T11:52:08.000,2023-09-25T11:55:41.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-25T11:55:41.000,Unspecified MANHATTAN,,MANHATTAN,997071,238760,MOBILE,Unspecified,MANHATTAN,40.82200734475839,-73.95367690084153,"{'latitude': '40.82200734475839', 'longitude': '-73.95367690084153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,1 Downtown,Platform,,,,,,,,,,,
58923643,2023-09-25T11:52:00.000,2023-09-20T11:52:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10461,BRUCKNER EXPY,BRUCKNER EXPY,INTERSECTION,BRONX,Pending,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-20T11:52:00.000,28 BRONX,,BRONX,1032287,250200,UNKNOWN,Unspecified,BRONX,40.853285451139186,-73.82635750013299,"{'latitude': '40.853285451139186', 'longitude': '-73.82635750013299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WESTCHESTER AVENUE,BRUCKNER EXPRESSWAY,,,,,,,,,
58919548,2023-09-25T11:51:45.000,2023-11-16T09:33:37.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11106,32-52 33 STREET,33 STREET,ADDRESS,ASTORIA,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-16T09:33:41.000,01 QUEENS,4006120057,QUEENS,1005266,216469,ONLINE,Unspecified,QUEENS,40.76080888330245,-73.92413759924392,"{'latitude': '40.76080888330245', 'longitude': '-73.92413759924392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,33 STREET,,,,,,
58921434,2023-09-25T11:51:25.000,2023-09-25T14:37:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,820 ST ANNS AVENUE,ST ANNS AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T14:37:31.000,01 BRONX,2026187501,BRONX,1009181,238463,PHONE,Unspecified,BRONX,40.821166285763645,-73.90992381729878,"{'latitude': '40.821166285763645', 'longitude': '-73.90992381729878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  158 STREET,EAST  159 STREET,EAST  158 STREET,EAST  159 STREET,ST ANNS AVENUE,,,,,,
58924152,2023-09-25T11:51:24.000,2023-10-04T11:12:27.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11355,45-15 COLDEN STREET,COLDEN STREET,ADDRESS,FLUSHING,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-25T11:51:24.000,07 QUEENS,4051460001,QUEENS,1033291,212754,MOBILE,Unspecified,QUEENS,40.75050114108838,-73.82300178904647,"{'latitude': '40.75050114108838', 'longitude': '-73.82300178904647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,45 AVENUE,GERANIUM AVENUE,45 AVENUE,GERANIUM AVENUE,COLDEN STREET,,,,,,
