unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,taxi_pick_up_location
58924956,2023-09-25T10:06:56.000,2023-09-25T18:49:00.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10463,2865 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,08 BRONX,2032560156,BRONX,1011178,257830,ONLINE,Unspecified,BRONX,40.87431709464755,-73.90263084439134,"{'latitude': '40.87431709464755', 'longitude': '-73.90263084439134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58925139,2023-09-25T10:06:56.000,2023-09-25T16:14:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10463,2865 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,08 BRONX,2032560156,BRONX,1011178,257830,ONLINE,Unspecified,BRONX,40.87431709464755,-73.90263084439134,"{'latitude': '40.87431709464755', 'longitude': '-73.90263084439134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58919435,2023-09-25T10:06:56.000,2023-09-25T18:48:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10463,2865 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,08 BRONX,2032560156,BRONX,1011178,257830,ONLINE,Unspecified,BRONX,40.87431709464755,-73.90263084439134,"{'latitude': '40.87431709464755', 'longitude': '-73.90263084439134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58921606,2023-09-25T10:06:54.000,2023-09-26T18:27:20.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,955 SHERIDAN AVENUE,SHERIDAN AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,04 BRONX,2024610074,BRONX,1006399,241151,PHONE,Unspecified,BRONX,40.82855149271279,-73.91996635765561,"{'latitude': '40.82855149271279', 'longitude': '-73.91996635765561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58918221,2023-09-25T10:06:54.000,2023-09-26T18:27:19.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,955 SHERIDAN AVENUE,SHERIDAN AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,04 BRONX,2024610074,BRONX,1006399,241151,PHONE,Unspecified,BRONX,40.82855149271279,-73.91996635765561,"{'latitude': '40.82855149271279', 'longitude': '-73.91996635765561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58917227,2023-09-25T10:06:54.000,2023-09-26T18:27:19.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10456,955 SHERIDAN AVENUE,SHERIDAN AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,04 BRONX,2024610074,BRONX,1006399,241151,PHONE,Unspecified,BRONX,40.82855149271279,-73.91996635765561,"{'latitude': '40.82855149271279', 'longitude': '-73.91996635765561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58924988,2023-09-25T10:06:54.000,2023-09-26T18:27:19.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,955 SHERIDAN AVENUE,SHERIDAN AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,04 BRONX,2024610074,BRONX,1006399,241151,PHONE,Unspecified,BRONX,40.82855149271279,-73.91996635765561,"{'latitude': '40.82855149271279', 'longitude': '-73.91996635765561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58922420,2023-09-25T10:06:52.000,2023-10-12T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11249,96 SOUTH    4 STREET,SOUTH    4 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-12T00:00:00.000,01 BROOKLYN,3024430012,BROOKLYN,994213,198790,UNKNOWN,Unspecified,BROOKLYN,40.712303766866256,-73.9640622851624,"{'latitude': '40.712303766866256', 'longitude': '-73.9640622851624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58918756,2023-09-25T10:06:49.000,2023-10-18T12:33:12.000,DSNY,Department of Sanitation,Lot Condition,Trash,Lot,11211,139 HOPE STREET,HOPE STREET,ADDRESS,BROOKLYN,Closed,"The Department of Sanitation (DSNY) inspected the lot and notified the property owner that they must clean it. At the agency's follow-up inspection, they found the lot was clean.",2023-10-18T12:33:17.000,01 BROOKLYN,3023757501,BROOKLYN,997403,198683,ONLINE,Unspecified,BROOKLYN,40.71200591014173,-73.95255579033866,"{'latitude': '40.71200591014173', 'longitude': '-73.95255579033866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KEAP STREET,POWERS STREET,KEAP STREET,POWERS STREET,HOPE STREET,,,,,,
58924369,2023-09-25T10:06:44.000,2023-09-25T10:33:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11368,100-02 SPRUCE STREET,SPRUCE STREET,ADDRESS,CORONA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T10:33:29.000,04 QUEENS,4016090014,QUEENS,1021601,212293,MOBILE,Unspecified,QUEENS,40.7492929195999,-73.86519568552332,"{'latitude': '40.7492929195999', 'longitude': '-73.86519568552332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",100 STREET,102 STREET,100 STREET,102 STREET,SPRUCE AVENUE,,,,,,
