unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,road_ramp
58917076,2023-09-25T07:55:44.000,2023-09-25T16:47:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,44 LINDEN STREET,LINDEN STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-25T00:00:00.000,04 BROOKLYN,3033300019,BROOKLYN,1005965,191053,ONLINE,Unspecified,BROOKLYN,40.69104648446796,-73.92169640035722,"{'latitude': '40.69104648446796', 'longitude': '-73.92169640035722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58924574,2023-09-25T07:55:38.000,2023-09-25T08:17:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,2532 CRESTON AVENUE,CRESTON AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T08:17:10.000,07 BRONX,2031670028,BRONX,1012577,253892,PHONE,Unspecified,BRONX,40.86350411428537,-73.89758884190266,"{'latitude': '40.86350411428537', 'longitude': '-73.89758884190266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  190 STREET,EAST  191 STREET,EAST  190 STREET,EAST  191 STREET,CRESTON AVENUE,,,,,,,
58922992,2023-09-25T07:54:39.000,2023-09-27T15:26:13.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11220,614 53 STREET,53 STREET,ADDRESS,BROOKLYN,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-27T15:26:18.000,07 BROOKLYN,3008170011,BROOKLYN,981664,173086,ONLINE,Unspecified,BROOKLYN,40.641757327362036,-74.00931814437217,"{'latitude': '40.641757327362036', 'longitude': '-74.00931814437217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,53 STREET,,,,,,,
58917265,2023-09-25T07:54:19.000,2023-09-25T08:11:15.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,Other,11229,2636 GERRITSEN AVENUE,GERRITSEN AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T08:11:19.000,15 BROOKLYN,3089390841,BROOKLYN,1004537,155864,ONLINE,Unspecified,BROOKLYN,40.59446367437809,-73.9269515360188,"{'latitude': '40.59446367437809', 'longitude': '-73.9269515360188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHANNEL AVENUE,DEVON AVENUE,CHANNEL AVENUE,DEVON AVENUE,GERRITSEN AVENUE,,,,,,,
58920022,2023-09-25T07:54:08.000,2023-09-25T08:16:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11221,574 MADISON STREET,MADISON STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:16:14.000,03 BROOKLYN,3016450007,BROOKLYN,1002287,189396,MOBILE,Unspecified,BROOKLYN,40.68650666141958,-73.93496358225042,"{'latitude': '40.68650666141958', 'longitude': '-73.93496358225042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,MADISON STREET,,,,,,,
58918747,2023-09-25T07:53:53.000,2023-09-30T13:00:18.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,No Private Carter,Street,10452,1426 OGDEN AVENUE,OGDEN AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-30T13:00:21.000,04 BRONX,2025220068,BRONX,1005345,246498,PHONE,Unspecified,BRONX,40.84323003588166,-73.92375808413749,"{'latitude': '40.84323003588166', 'longitude': '-73.92375808413749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  171 STREET,UNIVERSITY AVENUE,WEST  171 STREET,UNIVERSITY AVENUE,OGDEN AVENUE,,,,,,,
58918762,2023-09-25T07:53:51.000,2023-09-25T20:17:11.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,10019,151 WEST   54 STREET,WEST   54 STREET,ADDRESS,NEW YORK,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T20:17:11.000,05 MANHATTAN,1010070005,MANHATTAN,989629,217348,ONLINE,Unspecified,MANHATTAN,40.76324485396201,-73.98058247380463,"{'latitude': '40.76324485396201', 'longitude': '-73.98058247380463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 1/2 AVENUE,7 AVENUE,6 1/2 AVENUE,7 AVENUE,WEST   54 STREET,,,,,,,
58922880,2023-09-25T07:52:25.000,2023-09-28T12:31:57.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10037,7 WEST  137 STREET,WEST  137 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,10 MANHATTAN,1017350031,MANHATTAN,1001608,235957,PHONE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58919290,2023-09-25T07:52:25.000,2023-09-28T12:31:57.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10037,7 WEST  137 STREET,WEST  137 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,10 MANHATTAN,1017350031,MANHATTAN,1001608,235957,PHONE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58920530,2023-09-25T07:52:25.000,2023-09-28T12:31:57.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10037,7 WEST  137 STREET,WEST  137 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,10 MANHATTAN,1017350031,MANHATTAN,1001608,235957,PHONE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58918318,2023-09-25T07:52:25.000,2023-09-28T12:31:57.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10037,7 WEST  137 STREET,WEST  137 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,10 MANHATTAN,1017350031,MANHATTAN,1001608,235957,PHONE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
