unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,taxi_pick_up_location,landmark,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58922816,2023-09-25T00:39:06.000,2023-10-12T06:57:43.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11228,1407 78 STREET,78 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,11 BROOKLYN,3062450074,BROOKLYN,982422,164068,PHONE,Unspecified,BROOKLYN,40.61700500824103,-74.00658439737316,"{'latitude': '40.61700500824103', 'longitude': '-74.00658439737316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58917127,2023-09-25T00:39:06.000,2023-10-12T06:57:43.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11228,1407 78 STREET,78 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,11 BROOKLYN,3062450074,BROOKLYN,982422,164068,PHONE,Unspecified,BROOKLYN,40.61700500824103,-74.00658439737316,"{'latitude': '40.61700500824103', 'longitude': '-74.00658439737316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58910614,2023-09-25T00:38:42.000,2023-10-04T12:12:46.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,Street,10018,6 AVENUE,6 AVENUE,INTERSECTION,,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-10-04T12:12:49.000,05 MANHATTAN,,MANHATTAN,988394,213817,PHONE,Unspecified,MANHATTAN,40.75355382698375,-73.98504284774735,"{'latitude': '40.75355382698375', 'longitude': '-73.98504284774735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 AVENUE,WEST   40 STREET,6 AVENUE,WEST   40 STREET,"6 AVENUE AND WEST   40 STREET, MANHATTAN, NY, 10018",,,,,,,
58915209,2023-09-25T00:38:22.000,2023-09-25T01:17:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,537 CLINTON AVENUE,CLINTON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T01:17:17.000,02 BROOKLYN,3020110007,BROOKLYN,993493,187906,ONLINE,Unspecified,BROOKLYN,40.68243050406261,-73.96667434582992,"{'latitude': '40.68243050406261', 'longitude': '-73.96667434582992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,,CLINTON AVENUE,,,,,,
58911297,2023-09-25T00:38:21.000,2023-09-25T00:56:19.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T00:56:23.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,,164 STREET,,,,,,
58913822,2023-09-25T00:38:16.000,2023-09-25T00:56:40.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T00:56:43.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,,164 STREET,,,,,,
58913491,2023-09-25T00:38:00.000,2023-09-25T10:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10027,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T10:40:00.000,10 MANHATTAN,,MANHATTAN,998698,232414,UNKNOWN,Unspecified,MANHATTAN,40.804586836572064,-73.94781210645304,"{'latitude': '40.804586836572064', 'longitude': '-73.94781210645304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,MALCOLM X BOULEVARD,WEST 120 STREET,,,N/A,,,,,
58916092,2023-09-25T00:37:56.000,2023-09-25T00:50:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T00:50:58.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,,WASHINGTON AVENUE,,,,,,
58914445,2023-09-25T00:37:21.000,2023-09-25T00:41:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,2225 FIRST AVENUE,FIRST AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:41:44.000,11 MANHATTAN,1016840001,MANHATTAN,1001909,228889,MOBILE,Unspecified,MANHATTAN,40.79490584208142,-73.9362228668038,"{'latitude': '40.79490584208142', 'longitude': '-73.9362228668038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  114 STREET,EAST  115 STREET,EAST  114 STREET,EAST  115 STREET,,1 AVENUE,,,,,,
58910602,2023-09-25T00:37:14.000,2023-09-25T02:25:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1750 EAST  172 STREET,EAST  172 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T02:25:48.000,09 BRONX,2037840021,BRONX,1020529,242652,ONLINE,Unspecified,BRONX,40.83262456596203,-73.86890067543244,"{'latitude': '40.83262456596203', 'longitude': '-73.86890067543244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROSEDALE AVENUE,COMMONWEALTH AVENUE,ROSEDALE AVENUE,COMMONWEALTH AVENUE,,EAST  172 STREET,,,,,,
58918269,2023-09-25T00:35:50.000,2023-09-27T17:02:45.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11229,2220 EAST   15 STREET,EAST   15 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,15 BROOKLYN,3073750014,BROOKLYN,996499,156448,PHONE,Unspecified,BROOKLYN,40.5960813900954,-73.955893318515,"{'latitude': '40.5960813900954', 'longitude': '-73.955893318515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
