unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction
58914745,2023-09-24T21:21:00.000,2023-09-24T21:24:17.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10011,175 MAC DOUGAL STREET,MAC DOUGAL STREET,MAC DOUGAL ALLEY,WEST    8 STREET,MAC DOUGAL ALLEY,WEST    8 STREET,ADDRESS,NEW YORK,MAC DOUGAL STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-24T21:24:20.000,02 MANHATTAN,1005530027,MANHATTAN,984751,206228,ONLINE,Unspecified,MANHATTAN,40.73272487348295,-73.99819228019321,"{'latitude': '40.73272487348295', 'longitude': '-73.99819228019321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913097,2023-09-24T21:21:00.000,2023-09-28T11:13:31.000,DHS,Department of Homeless Services,Encampment,N/A,Residential Building/House,10011,175 MAC DOUGAL STREET,MAC DOUGAL STREET,MAC DOUGAL ALLEY,WEST    8 STREET,MAC DOUGAL ALLEY,WEST    8 STREET,ADDRESS,NEW YORK,MAC DOUGAL STREET,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-25T10:47:22.000,02 MANHATTAN,1005530027,MANHATTAN,984751,206228,ONLINE,Unspecified,MANHATTAN,40.73272487348295,-73.99819228019321,"{'latitude': '40.73272487348295', 'longitude': '-73.99819228019321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914639,2023-09-24T21:20:57.000,2023-09-25T01:51:46.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11358,35-86 164 STREET,164 STREET,35 AVENUE,CROCHERON AVENUE,35 AVENUE,CROCHERON AVENUE,ADDRESS,FLUSHING,164 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:51:53.000,07 QUEENS,4052830001,QUEENS,1039172,217355,ONLINE,Unspecified,QUEENS,40.76309510868914,-73.80173863584541,"{'latitude': '40.76309510868914', 'longitude': '-73.80173863584541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910830,2023-09-24T21:20:53.000,2023-09-24T21:44:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,120 HAVEN AVENUE,HAVEN AVENUE,WEST  171 STREET,WEST  172 STREET,WEST  171 STREET,WEST  172 STREET,ADDRESS,NEW YORK,HAVEN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T21:44:59.000,12 MANHATTAN,1021390289,MANHATTAN,1000212,247184,MOBILE,Unspecified,MANHATTAN,40.8451236747887,-73.94230822286974,"{'latitude': '40.8451236747887', 'longitude': '-73.94230822286974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58916044,2023-09-24T21:20:52.000,2023-09-24T22:00:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,121 MC KINLEY AVENUE,MC KINLEY AVENUE,EUCLID AVENUE,CRESCENT STREET,EUCLID AVENUE,CRESCENT STREET,ADDRESS,BROOKLYN,MC KINLEY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T22:00:11.000,05 BROOKLYN,3041640038,BROOKLYN,1019906,186860,ONLINE,Unspecified,BROOKLYN,40.67949248534259,-73.87144784452568,"{'latitude': '40.67949248534259', 'longitude': '-73.87144784452568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912430,2023-09-24T21:20:50.000,2023-09-25T01:23:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358,36-20 170 STREET,170 STREET,CROCHERON AVENUE,39 AVENUE,CROCHERON AVENUE,39 AVENUE,ADDRESS,FLUSHING,170 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:23:57.000,07 QUEENS,4052967501,QUEENS,1040709,217045,ONLINE,Unspecified,QUEENS,40.762234558945465,-73.7961928866992,"{'latitude': '40.762234558945465', 'longitude': '-73.7961928866992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911252,2023-09-24T21:20:49.000,2023-09-30T17:18:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11432,164-30 HILLSIDE AVENUE,HILLSIDE AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 QUEENS,4098140026,QUEENS,1040301,197692,PHONE,Unspecified,QUEENS,40.7091180891636,-73.7978269277805,"{'latitude': '40.7091180891636', 'longitude': '-73.7978269277805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915372,2023-09-24T21:20:48.000,2023-09-30T17:18:38.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11432,164-30 HILLSIDE AVENUE,HILLSIDE AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 QUEENS,4098140026,QUEENS,1040301,197692,PHONE,Unspecified,QUEENS,40.7091180891636,-73.7978269277805,"{'latitude': '40.7091180891636', 'longitude': '-73.7978269277805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912075,2023-09-24T21:20:48.000,2023-09-30T17:18:38.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11432,164-30 HILLSIDE AVENUE,HILLSIDE AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 QUEENS,4098140026,QUEENS,1040301,197692,PHONE,Unspecified,QUEENS,40.7091180891636,-73.7978269277805,"{'latitude': '40.7091180891636', 'longitude': '-73.7978269277805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912498,2023-09-24T21:20:07.000,2023-09-24T21:23:56.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11368,35-08 109 STREET,109 STREET,35 AVENUE,36 AVENUE,35 AVENUE,36 AVENUE,ADDRESS,CORONA,109 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:24:03.000,03 QUEENS,4017510014,QUEENS,1023253,214527,MOBILE,Unspecified,QUEENS,40.75541754369218,-73.85922046822054,"{'latitude': '40.75541754369218', 'longitude': '-73.85922046822054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914021,2023-09-24T21:19:54.000,2023-09-28T14:15:17.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11249,77 BERRY STREET,BERRY STREET,NORTH   10 STREET,NORTH    9 STREET,NORTH   10 STREET,NORTH    9 STREET,ADDRESS,BROOKLYN,BERRY STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-28T14:15:19.000,01 BROOKLYN,3023040002,BROOKLYN,995998,201563,ONLINE,Unspecified,BROOKLYN,40.71991279687741,-73.95761874135897,"{'latitude': '40.71991279687741', 'longitude': '-73.95761874135897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
