unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58912755,2023-09-24T17:51:38.000,2023-09-24T18:13:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,1650 EAST   32 STREET,EAST   32 STREET,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,ADDRESS,BROOKLYN,EAST   32 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T18:13:52.000,18 BROOKLYN,3077040059,BROOKLYN,1000745,162825,ONLINE,Unspecified,BROOKLYN,40.613578065263134,-73.94058858463923,"{'latitude': '40.613578065263134', 'longitude': '-73.94058858463923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916068,2023-09-24T17:51:25.000,2023-09-24T18:11:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11209,7901 4 AVENUE,4 AVENUE,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T18:11:39.000,10 BROOKLYN,3059800001,BROOKLYN,976950,168005,ONLINE,Unspecified,BROOKLYN,40.62780843175836,-74.02629862257068,"{'latitude': '40.62780843175836', 'longitude': '-74.02629862257068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915187,2023-09-24T17:51:09.000,2023-09-24T18:13:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,560 WEST  174 STREET,WEST  174 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  174 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T18:13:54.000,12 MANHATTAN,1021300009,MANHATTAN,1001915,246923,ONLINE,Unspecified,MANHATTAN,40.844404063867,-73.93615372540951,"{'latitude': '40.844404063867', 'longitude': '-73.93615372540951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910596,2023-09-24T17:51:06.000,2023-11-20T11:31:09.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11229,MARINE PARK,MARINE PARK,BURNETT STREET,EAST   33 STREET,BURNETT STREET,EAST   33 STREET,UNRECOGNIZED,BROOKLYN,MARINE PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-20T11:31:11.000,18 BROOKLYN,3085900600,BROOKLYN,1006747,156658,MOBILE,Marine Park,BROOKLYN,40.59663770945727,-73.91899123356184,"{'latitude': '40.59663770945727', 'longitude': '-73.91899123356184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910552,2023-09-24T17:50:34.000,2023-09-26T16:18:57.000,TLC,Taxi and Limousine Commission,Lost Property,Other,Taxi,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JOHN F KENNEDY AIRPORT,Closed,See notes for information.,2023-09-26T16:19:00.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,,,
58915592,2023-09-24T17:50:32.000,2023-09-26T10:54:06.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,11218,754 MCDONALD AVENUE,MCDONALD AVENUE,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,MCDONALD AVENUE,Closed,,2023-09-26T10:54:06.000,12 BROOKLYN,3053840044,BROOKLYN,990318,170971,ONLINE,Unspecified,BROOKLYN,40.63595040339708,-73.97813705324776,"{'latitude': '40.63595040339708', 'longitude': '-73.97813705324776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916071,2023-09-24T17:50:17.000,2023-09-24T19:31:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,103-41 105 STREET,105 STREET,103 DRIVE,LIBERTY AVENUE,103 DRIVE,LIBERTY AVENUE,ADDRESS,OZONE PARK,105 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T19:31:58.000,10 QUEENS,4095090065,QUEENS,1029607,188177,MOBILE,Unspecified,QUEENS,40.68306295289221,-73.83646360774898,"{'latitude': '40.68306295289221', 'longitude': '-73.83646360774898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912160,2023-09-24T17:50:15.000,2023-11-02T11:27:42.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10312,364 POMPEY AVENUE,POMPEY AVENUE,SERRELL AVENUE,PETRUS AVENUE,SERRELL AVENUE,PETRUS AVENUE,ADDRESS,STATEN ISLAND,POMPEY AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-02T11:27:49.000,03 STATEN ISLAND,5056230464,STATEN ISLAND,936437,138534,UNKNOWN,Unspecified,STATEN ISLAND,40.546790549906454,-74.17204003813795,"{'latitude': '40.546790549906454', 'longitude': '-74.17204003813795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909969,2023-09-24T17:50:00.000,2023-09-24T18:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11417,89-57 GOLD ROAD,GOLD ROAD,133 AVE,SITKA ST,,,ADDRESS,OZONE PARK,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-24T18:50:00.000,10 QUEENS,4113710153,QUEENS,1026905,185172,ONLINE,Unspecified,QUEENS,40.674828354386314,-73.84622477106558,"{'latitude': '40.674828354386314', 'longitude': '-73.84622477106558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915716,2023-09-24T17:50:00.000,2023-09-25T07:05:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11234,,,,,AVENUE S,EAST 32 STREET,INTERSECTION,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,2023-09-25T07:05:00.000,18 BROOKLYN,,BROOKLYN,1002512,160757,PHONE,Unspecified,BROOKLYN,40.60789836630235,-73.93422982835123,"{'latitude': '40.60789836630235', 'longitude': '-73.93422982835123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
