unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,vehicle_type,taxi_company_borough,taxi_pick_up_location
58912417,2023-09-24T14:39:26.000,2023-09-24T15:08:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,4123 14 AVENUE,14 AVENUE,41 STREET,42 STREET,41 STREET,42 STREET,ADDRESS,BROOKLYN,14 AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T15:08:31.000,12 BROOKLYN,3053440001,BROOKLYN,988232,171637,MOBILE,Unspecified,BROOKLYN,40.63777961484809,-73.98565249837026,"{'latitude': '40.63777961484809', 'longitude': '-73.98565249837026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58923604,2023-09-24T14:39:25.000,2023-09-25T09:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11215,,,,,PROSPECT PARK WEST,WEST DRIVE,INTERSECTION,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-25T09:25:00.000,06 BROOKLYN,,BROOKLYN,991511,182729,UNKNOWN,Unspecified,BROOKLYN,40.66822265354222,-73.9738260274245,"{'latitude': '40.66822265354222', 'longitude': '-73.9738260274245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58911887,2023-09-24T14:39:23.000,2023-09-24T15:07:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,762 DEKALB AVENUE,DEKALB AVENUE,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T15:07:39.000,03 BROOKLYN,3017800033,BROOKLYN,999207,191387,ONLINE,Unspecified,BROOKLYN,40.69197723827116,-73.94606478439151,"{'latitude': '40.69197723827116', 'longitude': '-73.94606478439151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58914148,2023-09-24T14:38:23.000,2023-09-24T17:35:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,1131 SHORE PARKWAY,SHORE PARKWAY,16 AVENUE,BAY   13 STREET,16 AVENUE,BAY   13 STREET,ADDRESS,BROOKLYN,SHORE PARKWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T17:35:47.000,11 BROOKLYN,3064610331,BROOKLYN,980333,158865,ONLINE,Unspecified,BROOKLYN,40.60272316446051,-74.01410589038755,"{'latitude': '40.60272316446051', 'longitude': '-74.01410589038755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910927,2023-09-24T14:38:19.000,2023-09-24T17:05:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11414,160-28 87 STREET,87 STREET,160 AVENUE,161 AVENUE,160 AVENUE,161 AVENUE,ADDRESS,HOWARD BEACH,87 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T17:05:08.000,10 QUEENS,4140240022,QUEENS,1027279,178355,ONLINE,Unspecified,QUEENS,40.656115422258644,-73.84491997776789,"{'latitude': '40.656115422258644', 'longitude': '-73.84491997776789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58911314,2023-09-24T14:38:08.000,2023-09-24T15:03:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11218,245 WESTMINSTER ROAD,WESTMINSTER ROAD,BEVERLEY ROAD,SLOCUM PLACE,BEVERLEY ROAD,SLOCUM PLACE,ADDRESS,BROOKLYN,WESTMINSTER ROAD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T15:03:35.000,14 BROOKLYN,3051430044,BROOKLYN,993250,173492,ONLINE,Unspecified,BROOKLYN,40.642867514911856,-73.96756972295451,"{'latitude': '40.642867514911856', 'longitude': '-73.96756972295451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58911578,2023-09-24T14:38:00.000,2023-09-25T00:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11221,1117 HANCOCK STREET,HANCOCK STREET,EVERGREEN AVE,CENTRAL AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-25T00:45:00.000,04 BROOKLYN,3033890058,BROOKLYN,1008261,190659,MOBILE,Unspecified,BROOKLYN,40.689959114561724,-73.91341850676221,"{'latitude': '40.689959114561724', 'longitude': '-73.91341850676221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910090,2023-09-24T14:37:49.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11209,236 79 STREET,79 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T00:00:00.000,10 BROOKLYN,3059780024,BROOKLYN,975765,168415,UNKNOWN,Unspecified,BROOKLYN,40.62893273959795,-74.03056816066109,"{'latitude': '40.62893273959795', 'longitude': '-74.03056816066109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58914594,2023-09-24T14:37:42.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11206,54 NOLL STREET,NOLL STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,04 BROOKLYN,3031520001,BROOKLYN,1002491,194514,ONLINE,Unspecified,BROOKLYN,40.70055396499139,-73.93421415603811,"{'latitude': '40.70055396499139', 'longitude': '-73.93421415603811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58913347,2023-09-24T14:37:37.000,2023-09-24T15:18:49.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11105,20-18 38 STREET,38 STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,38 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T15:18:54.000,01 QUEENS,4008100040,QUEENS,1011097,222164,PHONE,Unspecified,QUEENS,40.77642438575707,-73.9030664429509,"{'latitude': '40.77642438575707', 'longitude': '-73.9030664429509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58914631,2023-09-24T14:37:37.000,2023-09-24T14:58:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10303,46 HOUSEMAN AVENUE,HOUSEMAN AVENUE,RICHMOND TERRACE,LA SALLE STREET,RICHMOND TERRACE,LA SALLE STREET,ADDRESS,STATEN ISLAND,HOUSMAN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T14:58:20.000,01 STATEN ISLAND,5011580074,STATEN ISLAND,943032,171197,PHONE,Unspecified,STATEN ISLAND,40.636476901453705,-74.148509306429,"{'latitude': '40.636476901453705', 'longitude': '-74.148509306429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910045,2023-09-24T14:37:27.000,2023-09-24T19:34:54.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10468,2779 WEBB AVENUE,WEBB AVENUE,WEST  195 STREET,WEST  197 STREET,WEST  195 STREET,WEST  197 STREET,ADDRESS,BRONX,WEBB AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T19:35:00.000,08 BRONX,2032490223,BRONX,1011565,256760,PHONE,Unspecified,BRONX,40.87137908582883,-73.90123585163164,"{'latitude': '40.87137908582883', 'longitude': '-73.90123585163164', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58914602,2023-09-24T14:37:11.000,2023-09-24T15:37:35.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,10312,23 ALGONKIN STREET,ALGONKIN STREET,KINGDOM AVENUE,HUGUENOT AVENUE,KINGDOM AVENUE,HUGUENOT AVENUE,ADDRESS,STATEN ISLAND,ALGONKIN STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-24T15:37:39.000,03 STATEN ISLAND,5065790051,STATEN ISLAND,931418,133001,MOBILE,Unspecified,STATEN ISLAND,40.531575063490976,-74.19005608148056,"{'latitude': '40.531575063490976', 'longitude': '-74.19005608148056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58911071,2023-09-24T14:36:53.000,2023-09-24T15:04:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11103,45-05 25 AVENUE,25 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,ASTORIA,25 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T15:04:34.000,01 QUEENS,4007180005,QUEENS,1009856,218373,ONLINE,Unspecified,QUEENS,40.76602276765729,-73.90756162813493,"{'latitude': '40.76602276765729', 'longitude': '-73.90756162813493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910307,2023-09-24T14:36:39.000,2023-09-24T14:53:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,45 AVENUE B,AVENUE B,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,ADDRESS,NEW YORK,AVENUE B,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T14:53:50.000,03 MANHATTAN,1003860005,MANHATTAN,989036,202675,ONLINE,Unspecified,MANHATTAN,40.72297147423992,-73.9827335711165,"{'latitude': '40.72297147423992', 'longitude': '-73.9827335711165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
