unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,cross_street_2,facility_type,landmark,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,taxi_pick_up_location,road_ramp,vehicle_type
58909338,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10457,457 EAST  181 STREET,EAST  181 STREET,EAST 181 STREET,ADDRESS,BRONX,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-25T12:00:00.000,06 BRONX,2030370108,BRONX,1013095,249889,PHONE,Unspecified,BRONX,40.85251540949326,-73.89573333421605,"{'latitude': '40.85251540949326', 'longitude': '-73.89573333421605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58916430,2023-09-24T12:00:00.000,2023-09-26T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,INTERSECTION,,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-26T12:00:00.000,10 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,BUTLER PLACE,BUTLER PLACE,,,,,,,,,,
58910624,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10469,1938 ADEE AVENUE,ADEE AVENUE,GRACE AVENUE,ADDRESS,BRONX,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-25T12:00:00.000,12 BRONX,,BRONX,1029738,256905,PHONE,Unspecified,BRONX,40.87170211992525,-73.83552600790094,"{'latitude': '40.87170211992525', 'longitude': '-73.83552600790094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,EDSON AVENUE,,,,,,,,,
58910627,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11210,767 EAST   21 STREET,EAST   21 STREET,FARRAGUT ROAD,ADDRESS,BROOKLYN,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-25T12:00:00.000,14 BROOKLYN,3052420036,BROOKLYN,996177,170513,PHONE,Unspecified,BROOKLYN,40.634687339431956,-73.95702794359268,"{'latitude': '40.634687339431956', 'longitude': '-73.95702794359268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,GLENWOOD ROAD,DSNY Garage,,,,,,,,
58911430,2023-09-24T12:00:00.000,2023-09-26T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11370,21-66 81 STREET,81 STREET,21 AVENUE,ADDRESS,EAST ELMHURST,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-26T12:00:00.000,01 QUEENS,4009760038,QUEENS,1015039,219749,PHONE,Unspecified,QUEENS,40.76978299600453,-73.88884456912191,"{'latitude': '40.76978299600453', 'longitude': '-73.88884456912191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,DITMARS BOULEVARD,DSNY Garage,,,,,,,,
58916428,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11210,1320 EAST   23 STREET,EAST   23 STREET,AVENUE M,ADDRESS,BROOKLYN,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-25T12:00:00.000,14 BROOKLYN,3076580058,BROOKLYN,997568,164498,PHONE,Unspecified,BROOKLYN,40.61817544804514,-73.9520281476225,"{'latitude': '40.61817544804514', 'longitude': '-73.9520281476225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,AVENUE N,DSNY Garage,,,,,,,,
58913086,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11372,37-24 93 STREET,93 STREET,ELMHURST AVENUE,ADDRESS,JACKSON HEIGHTS,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-25T12:00:00.000,03 QUEENS,4014800017,QUEENS,1019174,212563,PHONE,Unspecified,QUEENS,40.75004391913588,-73.8739536098348,"{'latitude': '40.75004391913588', 'longitude': '-73.8739536098348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,ROOSEVELT AVENUE,,,,,,,,,
58911427,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10032,2224 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 170 STREET,ADDRESS,NEW YORK,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-25T12:00:00.000,12 MANHATTAN,1021270048,MANHATTAN,1001998,245806,PHONE,Unspecified,MANHATTAN,40.84133805997194,-73.93585669640473,"{'latitude': '40.84133805997194', 'longitude': '-73.93585669640473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,EDGECOMBE AVENUE,,,,,,,,,
58912251,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11421,80-31 87 ROAD,87 ROAD,80 STREET,ADDRESS,WOODHAVEN,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-25T12:00:00.000,09 QUEENS,4089180054,QUEENS,1022899,191010,PHONE,Unspecified,QUEENS,40.690870710496405,-73.86063326188314,"{'latitude': '40.690870710496405', 'longitude': '-73.86063326188314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,85 STREET,DSNY Garage,,,,,,,,
58912253,2023-09-24T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11236,714 EAST   96 STREET,EAST   96 STREET,AVENUE B,ADDRESS,BROOKLYN,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-25T12:00:00.000,17 BROOKLYN,3081130059,BROOKLYN,1008936,176730,PHONE,Unspecified,BROOKLYN,40.65172528974809,-73.91103553014216,"{'latitude': '40.65172528974809', 'longitude': '-73.91103553014216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,DITMAS AVENUE,,,,,,,,,
