unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,due_date,road_ramp
59455712,2023-09-30T12:58:20.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10029,2228 1 AVENUE,1 AVENUE,EAST  114 STREET,EAST  115 STREET,EAST  114 STREET,EAST  115 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,2023-10-02T00:00:00.000,11 MANHATTAN,1017080003,MANHATTAN,1001904,228868,PHONE,Unspecified,MANHATTAN,40.79484821277458,-73.9362409799698,"{'latitude': '40.79484821277458', 'longitude': '-73.9362409799698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975401,2023-09-30T12:58:19.000,2023-10-04T15:44:30.000,DOT,Department of Transportation,Street Sign - Dangling,Stop,Street,11417,80 STREET,80 STREET,80 STREET,NORTH CONDUIT AVENUE,80 STREET,NORTH CONDUIT AVENUE,INTERSECTION,,,Closed,2023-10-04T15:44:35.000,10 QUEENS,,QUEENS,1024059,184638,PHONE,Unspecified,QUEENS,40.67337590209176,-73.85648799981404,"{'latitude': '40.67337590209176', 'longitude': '-73.85648799981404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Transportation has completed the request or corrected the condition.,,,,,,,
59441883,2023-09-30T12:58:16.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10029,2228 1 AVENUE,1 AVENUE,EAST  114 STREET,EAST  115 STREET,EAST  114 STREET,EAST  115 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,2023-10-02T00:00:00.000,11 MANHATTAN,1017080003,MANHATTAN,1001904,228868,PHONE,Unspecified,MANHATTAN,40.79484821277458,-73.9362409799698,"{'latitude': '40.79484821277458', 'longitude': '-73.9362409799698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58971531,2023-09-30T12:58:14.000,2023-10-16T07:59:49.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11377,41-28 55 STREET,55 STREET,,,,,ADDRESS,WOODSIDE,,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58977386,2023-09-30T12:58:14.000,2023-10-16T07:59:49.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11377,41-28 55 STREET,55 STREET,,,,,ADDRESS,WOODSIDE,,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58977407,2023-09-30T12:58:14.000,2023-10-16T07:59:49.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11377,41-28 55 STREET,55 STREET,,,,,ADDRESS,WOODSIDE,,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58972723,2023-09-30T12:58:14.000,2023-10-16T07:59:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11377,41-28 55 STREET,55 STREET,,,,,ADDRESS,WOODSIDE,,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58971436,2023-09-30T12:58:06.000,2023-10-02T17:06:27.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11237,304 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-02T00:00:00.000,04 BROOKLYN,3033380035,BROOKLYN,1008922,194769,ONLINE,Unspecified,BROOKLYN,40.70123828673443,-73.91101994795562,"{'latitude': '40.70123828673443', 'longitude': '-73.91101994795562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,,,,,,
58970294,2023-09-30T12:58:03.000,2023-10-04T14:57:52.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10030,112 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,2023-10-04T00:00:00.000,10 MANHATTAN,1019180043,MANHATTAN,1000291,235744,PHONE,Unspecified,MANHATTAN,40.81372401337601,-73.94205004531729,"{'latitude': '40.81372401337601', 'longitude': '-73.94205004531729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58972765,2023-09-30T12:58:02.000,2023-10-23T21:24:48.000,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10457,250 MT HOPE PLACE,MT HOPE PLACE,,,,,ADDRESS,BRONX,,Closed,2023-10-23T00:00:00.000,05 BRONX,2028020029,BRONX,1010696,248265,PHONE,Unspecified,BRONX,40.84806552451318,-73.90441145174644,"{'latitude': '40.84806552451318', 'longitude': '-73.90441145174644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58970178,2023-09-30T12:58:02.000,2023-10-24T10:33:52.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10457,250 MT HOPE PLACE,MT HOPE PLACE,,,,,ADDRESS,BRONX,,Closed,2023-10-24T00:00:00.000,05 BRONX,2028020029,BRONX,1010696,248265,PHONE,Unspecified,BRONX,40.84806552451318,-73.90441145174644,"{'latitude': '40.84806552451318', 'longitude': '-73.90441145174644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58974003,2023-09-30T12:58:02.000,2023-09-30T12:58:02.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11692,440 BEACH   54 STREET,BEACH   54 STREET,,,,,ADDRESS,ARVERNE,,Open,2023-09-30T00:00:00.000,14 QUEENS,4160010002,QUEENS,1044050,156659,UNKNOWN,Unspecified,QUEENS,40.59646726352806,-73.78466835331605,"{'latitude': '40.59646726352806', 'longitude': '-73.78466835331605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,,,,,,
58971494,2023-09-30T12:58:02.000,2023-10-23T21:24:48.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10457,250 MT HOPE PLACE,MT HOPE PLACE,,,,,ADDRESS,BRONX,,Closed,2023-10-23T00:00:00.000,05 BRONX,2028020029,BRONX,1010696,248265,PHONE,Unspecified,BRONX,40.84806552451318,-73.90441145174644,"{'latitude': '40.84806552451318', 'longitude': '-73.90441145174644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58977686,2023-09-30T12:58:02.000,2023-11-14T09:41:48.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,10030,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  138 STREET,ST NICHOLAS AVENUE,WEST  138 STREET,INTERSECTION,,,Closed,2023-11-14T09:41:51.000,10 MANHATTAN,,MANHATTAN,998910,237741,PHONE,Unspecified,MANHATTAN,40.81920761717191,-73.94703470298997,"{'latitude': '40.81920761717191', 'longitude': '-73.94703470298997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","Upon inspection the reported condition was not found, and, therefore, no action was taken.",,,,,,,
58972641,2023-09-30T12:57:59.000,2023-10-02T09:42:21.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10037,611 LENOX AVENUE,LENOX AVENUE,,,,,ADDRESS,NEW YORK,,Closed,2023-10-02T00:00:00.000,10 MANHATTAN,1020090033,MANHATTAN,1001322,237156,PHONE,Unspecified,MANHATTAN,40.81759762486685,-73.93832184893196,"{'latitude': '40.81759762486685', 'longitude': '-73.93832184893196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",,,,,,,
58976462,2023-09-30T12:57:54.000,2023-11-06T05:26:32.000,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11234,1385 EAST   59 STREET,EAST   59 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   59 STREET,Closed,2023-11-06T05:26:39.000,18 BROOKLYN,3078840009,BROOKLYN,1006926,165201,MOBILE,Unspecified,BROOKLYN,40.62008602746081,-73.91831799332643,"{'latitude': '40.62008602746081', 'longitude': '-73.91831799332643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Transportation has completed the request or corrected the condition.,,,,,,,
59460579,2023-09-30T12:57:51.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,11377,41-28 55 STREET,55 STREET,ROOSEVELT AVENUE,QUEENS BOULEVARD,ROOSEVELT AVENUE,QUEENS BOULEVARD,ADDRESS,WOODSIDE,55 STREET,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59446427,2023-09-30T12:57:50.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Appliance,Electric/Gas Range,Apartment,11377,41-28 55 STREET,55 STREET,ROOSEVELT AVENUE,QUEENS BOULEVARD,ROOSEVELT AVENUE,QUEENS BOULEVARD,ADDRESS,WOODSIDE,55 STREET,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
