unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,vehicle_type,taxi_company_borough,road_ramp
58910147,2023-09-24T09:16:30.000,2023-09-24T09:24:45.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11208,18 AUTUMN AVENUE,AUTUMN AVENUE,JAMAICA AVENUE,ETNA STREET,JAMAICA AVENUE,ETNA STREET,ADDRESS,BROOKLYN,AUTUMN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T09:24:52.000,05 BROOKLYN,3041070048,BROOKLYN,1019865,190537,MOBILE,Unspecified,BROOKLYN,40.689585164982596,-73.87157622795634,"{'latitude': '40.689585164982596', 'longitude': '-73.87157622795634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914440,2023-09-24T09:16:22.000,2023-09-24T09:50:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11372,37-55 79 STREET,79 STREET,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,79 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:50:58.000,03 QUEENS,4012900049,QUEENS,1015553,212214,ONLINE,Unspecified,QUEENS,40.749099562693985,-73.8870239963435,"{'latitude': '40.749099562693985', 'longitude': '-73.8870239963435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912598,2023-09-24T09:16:15.000,2023-09-24T10:06:21.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11214,8832 20 AVENUE,20 AVENUE,CROPSEY AVENUE,20 DRIVE,CROPSEY AVENUE,20 DRIVE,ADDRESS,BROOKLYN,20 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T10:06:24.000,11 BROOKLYN,3064660025,BROOKLYN,983372,157830,ONLINE,Unspecified,BROOKLYN,40.59988312170141,-74.00316171685142,"{'latitude': '40.59988312170141', 'longitude': '-74.00316171685142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912619,2023-09-24T09:16:00.000,2023-11-22T10:13:00.000,DOT,Department of Transportation,Street Light Condition,Foreign Attachment On Lamppost,,10018,,,,,AVENUE OF THE AMERICAS,WEST 37 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-22T10:13:00.000,05 MANHATTAN,,MANHATTAN,988018,213142,UNKNOWN,Unspecified,MANHATTAN,40.7517012912456,-73.9864003420982,"{'latitude': '40.7517012912456', 'longitude': '-73.9864003420982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910677,2023-09-24T09:15:29.000,2023-09-27T13:55:11.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11210,1297 EAST   21 STREET,EAST   21 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-26T04:45:01.000,14 BROOKLYN,3076210013,BROOKLYN,996855,165836,ONLINE,Unspecified,BROOKLYN,40.62184902208346,-73.95459389723973,"{'latitude': '40.62184902208346', 'longitude': '-73.95459389723973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913277,2023-09-24T09:15:16.000,2023-09-24T09:56:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,1057 66 STREET,66 STREET,10 AVENUE,11 AVENUE,10 AVENUE,11 AVENUE,ADDRESS,BROOKLYN,66 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:56:38.000,10 BROOKLYN,3057510055,BROOKLYN,982158,168309,PHONE,Unspecified,BROOKLYN,40.62864560850486,-74.00753663120338,"{'latitude': '40.62864560850486', 'longitude': '-74.00753663120338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911853,2023-09-24T09:15:11.000,2023-09-24T09:28:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,5 WEST  123 STREET,WEST  123 STREET,MOUNT MORRIS PARK WEST,LENOX AVENUE,MOUNT MORRIS PARK WEST,LENOX AVENUE,ADDRESS,NEW YORK,WEST  123 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T09:28:24.000,10 MANHATTAN,1017210050,MANHATTAN,999461,232888,ONLINE,Unspecified,MANHATTAN,40.805886555178425,-73.94505498651843,"{'latitude': '40.805886555178425', 'longitude': '-73.94505498651843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912595,2023-09-24T09:15:01.000,2023-09-24T09:42:46.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,75-22 86 ROAD,86 ROAD,75 STREET,76 STREET,75 STREET,76 STREET,ADDRESS,WOODHAVEN,86 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:42:52.000,09 QUEENS,4088350059,QUEENS,1021281,191521,MOBILE,Unspecified,QUEENS,40.69228020372668,-73.86646488654509,"{'latitude': '40.69228020372668', 'longitude': '-73.86646488654509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914308,2023-09-24T09:15:00.000,2023-09-24T10:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10031,,,,,AMSTERDAM AVENUE,WEST 150 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T10:30:00.000,09 MANHATTAN,,MANHATTAN,999389,241090,UNKNOWN,Unspecified,MANHATTAN,40.82839886247334,-73.94529656226905,"{'latitude': '40.82839886247334', 'longitude': '-73.94529656226905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58910991,2023-09-24T09:15:00.000,2023-11-22T10:13:00.000,DOT,Department of Transportation,Street Light Condition,Foreign Attachment On Lamppost,,10018,,,,,AVENUE OF THE AMERICAS,WEST 36 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-22T10:13:00.000,05 MANHATTAN,,MANHATTAN,987893,212916,UNKNOWN,Unspecified,MANHATTAN,40.75108103078343,-73.98685162090624,"{'latitude': '40.75108103078343', 'longitude': '-73.98685162090624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
