unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location
58911804,2023-09-24T03:02:31.000,2023-09-24T04:04:05.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,857 ATLANTIC AVENUE,ATLANTIC AVENUE,WAVERLY AVENUE,UNDERHILL AVENUE,WAVERLY AVENUE,UNDERHILL AVENUE,ADDRESS,BROOKLYN,ATLANTIC AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T04:04:13.000,02 BROOKLYN,3020120067,BROOKLYN,993939,187480,ONLINE,Unspecified,BROOKLYN,40.68126075407367,-73.96506690466629,"{'latitude': '40.68126075407367', 'longitude': '-73.96506690466629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916493,2023-09-24T03:01:54.000,2023-09-24T03:11:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11105,40-25 ASTORIA BOULEVARD,ASTORIA BOULEVARD,STEINWAY STREET,41 STREET,STEINWAY STREET,41 STREET,ADDRESS,ASTORIA,ASTORIA BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:12:03.000,01 QUEENS,4007930034,QUEENS,1009214,219595,PHONE,Unspecified,QUEENS,40.76937867506574,-73.90987472556014,"{'latitude': '40.76937867506574', 'longitude': '-73.90987472556014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58915124,2023-09-24T03:01:44.000,2023-09-24T03:36:21.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,42-18 31 AVENUE,31 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,31 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T03:36:28.000,01 QUEENS,4006920043,QUEENS,1007721,216342,ONLINE,Unspecified,QUEENS,40.76045412454783,-73.91527612392564,"{'latitude': '40.76045412454783', 'longitude': '-73.91527612392564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910377,2023-09-24T03:01:43.000,2023-09-24T03:30:27.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10029,3 AVENUE,3 AVENUE,3 AVENUE,EAST  102 STREET,3 AVENUE,EAST  102 STREET,INTERSECTION,,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T03:30:33.000,11 MANHATTAN,,MANHATTAN,999049,226734,ONLINE,Unspecified,MANHATTAN,40.78899620161923,-73.94655677039485,"{'latitude': '40.78899620161923', 'longitude': '-73.94655677039485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58915547,2023-09-24T03:01:29.000,2023-09-26T07:29:06.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10453,2183 MORRIS AVENUE,MORRIS AVENUE,CAMERON PLACE,EAST  182 STREET,CAMERON PLACE,EAST  182 STREET,ADDRESS,BRONX,MORRIS AVENUE,Closed,This request required re-assignment to a new DOT unit.,2023-09-26T07:29:12.000,05 BRONX,2031810042,BRONX,1011008,251157,ONLINE,Unspecified,BRONX,40.85600226120347,-73.90327219214285,"{'latitude': '40.85600226120347', 'longitude': '-73.90327219214285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58911734,2023-09-24T03:00:23.000,2023-09-24T06:05:01.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,2740 FULTON STREET,FULTON STREET,WYONA STREET,BRADFORD STREET,WYONA STREET,BRADFORD STREET,ADDRESS,BROOKLYN,FULTON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T06:05:05.000,05 BROOKLYN,3036730021,BROOKLYN,1013758,186211,MOBILE,Unspecified,BROOKLYN,40.67773375801736,-73.89361631874753,"{'latitude': '40.67773375801736', 'longitude': '-73.89361631874753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58912425,2023-09-24T02:59:44.000,2023-09-24T03:11:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11105,40-25 ASTORIA BOULEVARD,ASTORIA BOULEVARD,STEINWAY STREET,41 STREET,STEINWAY STREET,41 STREET,ADDRESS,ASTORIA,ASTORIA BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:11:33.000,01 QUEENS,4007930034,QUEENS,1009214,219595,PHONE,Unspecified,QUEENS,40.76937867506574,-73.90987472556014,"{'latitude': '40.76937867506574', 'longitude': '-73.90987472556014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910379,2023-09-24T02:59:43.000,2023-09-24T03:39:50.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10467,3539 DECATUR AVENUE,DECATUR AVENUE,EAST GUN HILL ROAD,EAST  211 STREET,EAST GUN HILL ROAD,EAST  211 STREET,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T03:39:58.000,07 BRONX,2033560140,BRONX,1019566,259684,ONLINE,Unspecified,BRONX,40.879376169916405,-73.87229087695226,"{'latitude': '40.879376169916405', 'longitude': '-73.87229087695226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916495,2023-09-24T02:59:17.000,2023-09-24T03:44:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11356,115-04 POPPENHUSEN AVENUE,POPPENHUSEN AVENUE,115 STREET,117 STREET,115 STREET,117 STREET,ADDRESS,COLLEGE POINT,POPPENHUSEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T03:44:18.000,07 QUEENS,4039330042,QUEENS,1025187,227579,MOBILE,Unspecified,QUEENS,40.79123307333829,-73.85216028777245,"{'latitude': '40.79123307333829', 'longitude': '-73.85216028777245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58912749,2023-09-24T02:58:58.000,2023-09-24T05:00:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,2917 GUNTHER AVENUE,GUNTHER AVENUE,ARNOW AVENUE,ADEE AVENUE,ARNOW AVENUE,ADEE AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T05:00:59.000,12 BRONX,2047880025,BRONX,1028929,256019,ONLINE,Unspecified,BRONX,40.86927445711626,-73.8384570642796,"{'latitude': '40.86927445711626', 'longitude': '-73.8384570642796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910342,2023-09-24T02:58:45.000,2023-09-24T09:37:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455,583A JACKSON AVENUE,JACKSON AVENUE,EAST  149 STREET,PONTIAC PLACE,EAST  149 STREET,PONTIAC PLACE,ADDRESS,BRONX,JACKSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:37:34.000,01 BRONX,2026230267,BRONX,1009499,235882,MOBILE,Unspecified,BRONX,40.814081266263145,-73.90878458837976,"{'latitude': '40.814081266263145', 'longitude': '-73.90878458837976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916051,2023-09-24T02:58:22.000,2023-09-24T03:18:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,1354 GILLESPIE AVENUE,GILLESPIE AVENUE,LA SALLE AVENUE,CODDINGTON AVENUE,LA SALLE AVENUE,CODDINGTON AVENUE,ADDRESS,BRONX,GILLESPIE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T03:18:53.000,10 BRONX,2053630003,BRONX,1031197,245178,ONLINE,Unspecified,BRONX,40.839507427473585,-73.83033274599683,"{'latitude': '40.839507427473585', 'longitude': '-73.83033274599683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58914811,2023-09-24T02:58:01.000,2023-09-24T02:58:01.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11206,54 TOMPKINS AVENUE,TOMPKINS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,2023-09-24T00:00:00.000,03 BROOKLYN,3017390038,BROOKLYN,999004,193523,UNKNOWN,Unspecified,BROOKLYN,40.6978404026137,-73.94679212733746,"{'latitude': '40.6978404026137', 'longitude': '-73.94679212733746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58913463,2023-09-24T02:58:00.000,2023-09-24T04:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11232,,,,,3 AVENUE,34 STREET,INTERSECTION,BROOKLYN,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T04:20:00.000,07 BROOKLYN,,BROOKLYN,982790,178509,UNKNOWN,Unspecified,BROOKLYN,40.65664254345917,-74.00526199780046,"{'latitude': '40.65664254345917', 'longitude': '-74.00526199780046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
