unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,taxi_pick_up_location,bridge_highway_direction,taxi_company_borough,due_date
58908829,2023-09-23T21:10:28.000,2023-09-23T21:57:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11109,45-40 CENTER BOULEVARD,CENTER BOULEVARD,BEND,46 AVENUE,BEND,46 AVENUE,ADDRESS,LONG ISLAND CITY,CENTER BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:57:32.000,02 QUEENS,4000210010,QUEENS,996217,211933,MOBILE,Unspecified,QUEENS,40.748375596698416,-73.95681024747321,"{'latitude': '40.748375596698416', 'longitude': '-73.95681024747321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907862,2023-09-23T21:10:13.000,2023-09-23T21:37:45.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11354,140-32 34 AVENUE,34 AVENUE,UNION STREET,PARSONS BOULEVARD,UNION STREET,PARSONS BOULEVARD,ADDRESS,FLUSHING,34 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T21:37:50.000,07 QUEENS,4049940226,QUEENS,1032180,218589,PHONE,Unspecified,QUEENS,40.76652278458999,-73.82696998805875,"{'latitude': '40.76652278458999', 'longitude': '-73.82696998805875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909684,2023-09-23T21:10:08.000,2023-09-27T20:13:57.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10465,3255 RANDALL AVENUE,RANDALL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BRONX,2054810048,BRONX,1035490,241560,PHONE,Unspecified,BRONX,40.82955321771877,-73.81484545320286,"{'latitude': '40.82955321771877', 'longitude': '-73.81484545320286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909249,2023-09-23T21:10:08.000,2023-09-27T20:13:57.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10465,3255 RANDALL AVENUE,RANDALL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,10 BRONX,2054810048,BRONX,1035490,241560,PHONE,Unspecified,BRONX,40.82955321771877,-73.81484545320286,"{'latitude': '40.82955321771877', 'longitude': '-73.81484545320286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906513,2023-09-23T21:10:08.000,2023-09-27T20:13:58.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10465,3255 RANDALL AVENUE,RANDALL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BRONX,2054810048,BRONX,1035490,241560,PHONE,Unspecified,BRONX,40.82955321771877,-73.81484545320286,"{'latitude': '40.82955321771877', 'longitude': '-73.81484545320286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907596,2023-09-23T21:10:08.000,2023-09-27T20:13:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10465,3255 RANDALL AVENUE,RANDALL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BRONX,2054810048,BRONX,1035490,241560,PHONE,Unspecified,BRONX,40.82955321771877,-73.81484545320286,"{'latitude': '40.82955321771877', 'longitude': '-73.81484545320286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908157,2023-09-23T21:10:08.000,2023-09-27T20:13:57.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10465,3255 RANDALL AVENUE,RANDALL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,10 BRONX,2054810048,BRONX,1035490,241560,PHONE,Unspecified,BRONX,40.82955321771877,-73.81484545320286,"{'latitude': '40.82955321771877', 'longitude': '-73.81484545320286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907682,2023-09-23T21:10:03.000,2023-09-24T03:40:22.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10465,256 THROGS NECK BOULEVARD,THROGS NECK BOULEVARD,LAWTON AVENUE,BEND,LAWTON AVENUE,BEND,ADDRESS,BRONX,THROGS NECK BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T03:40:28.000,10 BRONX,2054970047,BRONX,1035901,237633,MOBILE,Unspecified,BRONX,40.8187723477803,-73.81339054809689,"{'latitude': '40.8187723477803', 'longitude': '-73.81339054809689', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909921,2023-09-23T21:09:25.000,2023-09-23T21:14:31.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11373,41-40 DENMAN STREET,DENMAN STREET,WHITNEY AVENUE,LAMONT AVENUE,WHITNEY AVENUE,LAMONT AVENUE,ADDRESS,ELMHURST,DENMAN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T21:14:35.000,04 QUEENS,4015660021,QUEENS,1019241,211140,MOBILE,Unspecified,QUEENS,40.74613788130884,-73.87371920014024,"{'latitude': '40.74613788130884', 'longitude': '-73.87371920014024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906157,2023-09-23T21:09:01.000,2023-10-05T05:57:50.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Storage Area Not Provided,Sidewalk,11211,381 HOOPER STREET,HOOPER STREET,SOUTH    2 STREET,SOUTH    1 STREET,SOUTH    2 STREET,SOUTH    1 STREET,ADDRESS,BROOKLYN,HOOPER STREET,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-10-05T05:57:58.000,01 BROOKLYN,3024120019,BROOKLYN,997514,197972,ONLINE,Unspecified,BROOKLYN,40.710054218660744,-73.95215680286158,"{'latitude': '40.710054218660744', 'longitude': '-73.95215680286158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
