unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,resolution_description,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp,taxi_company_borough
58906195,2023-09-23T17:47:36.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Adult Establishment,11354,153-14 NORTHERN BOULEVARD,NORTHERN BOULEVARD,ADDRESS,FLUSHING,Assigned,2023-09-25T00:00:00.000,07 QUEENS,4052660019,QUEENS,1036406,217977,UNKNOWN,Unspecified,QUEENS,40.76481908472712,-73.81171868280684,"{'latitude': '40.76481908472712', 'longitude': '-73.81171868280684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58908746,2023-09-23T17:47:01.000,2023-09-23T18:05:17.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11377,48-42 64 STREET,64 STREET,ADDRESS,WOODSIDE,Closed,2023-09-23T18:05:19.000,02 QUEENS,4023370049,QUEENS,1011456,208028,PHONE,Unspecified,QUEENS,40.73762359939404,-73.90182744269897,"{'latitude': '40.73762359939404', 'longitude': '-73.90182744269897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,48 AVENUE,50 AVENUE,48 AVENUE,50 AVENUE,64 STREET,The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,,,
58907368,2023-09-23T17:47:00.000,2023-09-23T21:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,INTERSECTION,,Closed,2023-09-23T21:40:00.000,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,4 AVE,4 ST,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,N/A,,,,,,,
58906855,2023-09-23T17:46:42.000,2023-09-23T18:26:47.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11434,116-38 MERRICK BOULEVARD,MERRICK BOULEVARD,ADDRESS,JAMAICA,Closed,2023-09-23T18:26:53.000,12 QUEENS,4123530376,QUEENS,1046490,189835,PHONE,Unspecified,QUEENS,40.687511155328,-73.77557622245733,"{'latitude': '40.687511155328', 'longitude': '-73.77557622245733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,116 AVENUE,FOCH BOULEVARD,116 AVENUE,FOCH BOULEVARD,MERRICK BOULEVARD,The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,,,
58906072,2023-09-23T17:46:40.000,2023-10-02T14:34:16.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,10314,141 EAST SERVICE ROAD,EAST SERVICE ROAD,ADDRESS,STATEN ISLAND,Closed,2023-09-23T17:46:40.000,02 STATEN ISLAND,5026380060,STATEN ISLAND,930764,153845,ONLINE,Unspecified,STATEN ISLAND,40.58878377001752,-74.19257359518079,"{'latitude': '40.58878377001752', 'longitude': '-74.19257359518079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Commercial Building,GLEN STREET,W SHORE EXPRESSWAY EXIT 7 NB,GLEN STREET,W SHORE EXPRESSWAY EXIT    7 NB,EAST SERVICE ROAD,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,,,,,,,,
58905929,2023-09-23T17:46:29.000,2023-09-24T23:17:20.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10033,620 WEST  182 STREET,WEST  182 STREET,ADDRESS,NEW YORK,Closed,2023-09-24T00:00:00.000,12 MANHATTAN,1021650006,MANHATTAN,1002539,249010,ONLINE,Unspecified,MANHATTAN,40.850130992091636,-73.93389272237961,"{'latitude': '40.850130992091636', 'longitude': '-73.93389272237961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,,,,,,,
58906525,2023-09-23T17:46:29.000,2023-10-26T15:27:53.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,10033,620 WEST  182 STREET,WEST  182 STREET,ADDRESS,NEW YORK,Closed,2023-10-26T00:00:00.000,12 MANHATTAN,1021650006,MANHATTAN,1002539,249010,ONLINE,Unspecified,MANHATTAN,40.850130992091636,-73.93389272237961,"{'latitude': '40.850130992091636', 'longitude': '-73.93389272237961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58906267,2023-09-23T17:45:44.000,2023-09-23T18:34:04.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10462,2044 NEWBOLD AVENUE,NEWBOLD AVENUE,ADDRESS,BRONX,Closed,2023-09-23T18:34:08.000,09 BRONX,2038040023,BRONX,1024102,242698,ONLINE,Unspecified,BRONX,40.83273542272528,-73.85598888087276,"{'latitude': '40.83273542272528', 'longitude': '-73.85598888087276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST  177 STREET,OLMSTEAD AVENUE,EAST  177 STREET,OLMSTEAD AVENUE,NEWBOLD AVENUE,The Police Department issued a summons in response to the complaint.,,,,,,,,
58906343,2023-09-23T17:45:03.000,2023-09-23T18:21:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11212,473 EAST   96 STREET,EAST   96 STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T18:21:54.000,17 BROOKLYN,3046930014,BROOKLYN,1007498,178430,ONLINE,Unspecified,BROOKLYN,40.65639530822375,-73.91621199309347,"{'latitude': '40.65639530822375', 'longitude': '-73.91621199309347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WILLMOHR STREET,CHURCH AVENUE,WILLMOHR STREET,CHURCH AVENUE,EAST   96 STREET,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58908975,2023-09-23T17:45:00.000,2023-09-23T20:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,11212,,,INTERSECTION,BROOKLYN,Closed,2023-09-23T20:30:00.000,17 BROOKLYN,,BROOKLYN,1008245,177617,UNKNOWN,Unspecified,BROOKLYN,40.65416180946217,-73.91352262831583,"{'latitude': '40.65416180946217', 'longitude': '-73.91352262831583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LINDEN BOULEVARD,AVENUE A,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,N/A,,,,,,,
58909438,2023-09-23T17:44:58.000,2023-09-23T17:55:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11385,818 WOODWARD AVENUE,WOODWARD AVENUE,ADDRESS,RIDGEWOOD,Closed,2023-09-23T17:55:44.000,05 QUEENS,4034720035,QUEENS,1011120,195543,MOBILE,Unspecified,QUEENS,40.703356332735225,-73.90308973581432,"{'latitude': '40.703356332735225', 'longitude': '-73.90308973581432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,PUTNAM AVENUE,CORNELIA STREET,PUTNAM AVENUE,CORNELIA STREET,WOODWARD AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58909040,2023-09-23T17:44:46.000,2023-09-23T18:12:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11221,477 KOSCIUSZKO STREET,KOSCIUSZKO STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T18:12:14.000,03 BROOKLYN,3016020019,BROOKLYN,1002033,191548,ONLINE,Unspecified,BROOKLYN,40.692413918829764,-73.935873755037,"{'latitude': '40.692413918829764', 'longitude': '-73.935873755037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,KOSCIUSZKO STREET,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58906612,2023-09-23T17:44:38.000,2023-09-24T09:57:35.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11434,115-09 169 STREET,169 STREET,ADDRESS,JAMAICA,Closed,2023-09-24T09:57:38.000,12 QUEENS,4123440362,QUEENS,1045383,190353,PHONE,Unspecified,QUEENS,40.6889406571917,-73.77956310419141,"{'latitude': '40.6889406571917', 'longitude': '-73.77956310419141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,115 AVENUE,116 AVENUE,115 AVENUE,116 AVENUE,169 STREET,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,,,,,,,,
58905693,2023-09-23T17:44:36.000,2023-09-24T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,10457,711 FAIRMONT PLACE,FAIRMONT PLACE,ADDRESS,BRONX,Closed,2023-09-24T00:00:00.000,06 BRONX,2029500030,BRONX,1014237,246841,UNKNOWN,Unspecified,BRONX,40.844145750523644,-73.89161895722347,"{'latitude': '40.844145750523644', 'longitude': '-73.89161895722347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,N/A,,,,,,,
58908733,2023-09-23T17:44:17.000,2023-09-23T17:55:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,11385,818 WOODWARD AVENUE,WOODWARD AVENUE,ADDRESS,RIDGEWOOD,Closed,2023-09-23T17:55:32.000,05 QUEENS,4034720035,QUEENS,1011120,195543,MOBILE,Unspecified,QUEENS,40.703356332735225,-73.90308973581432,"{'latitude': '40.703356332735225', 'longitude': '-73.90308973581432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,PUTNAM AVENUE,CORNELIA STREET,PUTNAM AVENUE,CORNELIA STREET,WOODWARD AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58909830,2023-09-23T17:44:08.000,2023-09-25T10:12:09.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Roots Damaged,11229,1762 STUART STREET,STUART STREET,ADDRESS,BROOKLYN,Closed,2023-09-25T10:12:13.000,15 BROOKLYN,3068150023,BROOKLYN,1000307,161271,MOBILE,Unspecified,BROOKLYN,40.60931346049855,-73.94216986040813,"{'latitude': '40.60931346049855', 'longitude': '-73.94216986040813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,STUART STREET,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,,,,,,,,
58909369,2023-09-23T17:44:04.000,2023-09-23T18:07:24.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,10305,157 KENSINGTON AVENUE,KENSINGTON AVENUE,ADDRESS,STATEN ISLAND,Closed,2023-09-23T18:07:28.000,02 STATEN ISLAND,5032510001,STATEN ISLAND,963167,155802,ONLINE,Unspecified,STATEN ISLAND,40.594291639184554,-74.07591446801285,"{'latitude': '40.594291639184554', 'longitude': '-74.07591446801285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MC CLEAN AVENUE,FOCH AVENUE,MC CLEAN AVENUE,FOCH AVENUE,KENSINGTON AVENUE,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58908338,2023-09-23T17:44:00.000,2023-09-23T20:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11207,721 ALABAMA AVENUE,ALABAMA AVENUE,ADDRESS,BROOKLYN,Closed,2023-09-23T20:30:00.000,05 BROOKLYN,3043200156,BROOKLYN,1013711,179208,PHONE,Unspecified,BROOKLYN,40.65851225453882,-73.89381636984908,"{'latitude': '40.65851225453882', 'longitude': '-73.89381636984908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,HEGEMAN AVE,LINDEN BLVD,,,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,,,,,,,,
58909103,2023-09-23T17:43:58.000,2023-09-23T17:52:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10023,317 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,2023-09-23T17:52:39.000,07 MANHATTAN,1011467504,MANHATTAN,989705,223604,ONLINE,Unspecified,MANHATTAN,40.78041589335402,-73.980303045133,"{'latitude': '40.78041589335402', 'longitude': '-73.980303045133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST   74 STREET,WEST   75 STREET,WEST   74 STREET,WEST   75 STREET,AMSTERDAM AVENUE,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58905680,2023-09-23T17:43:50.000,2023-09-23T18:49:05.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,10002,387 GRAND STREET,GRAND STREET,ADDRESS,NEW YORK,Closed,2023-09-23T18:49:09.000,03 MANHATTAN,1003110013,MANHATTAN,987616,200238,ONLINE,Unspecified,MANHATTAN,40.71628315028367,-73.98785771681491,"{'latitude': '40.71628315028367', 'longitude': '-73.98785771681491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,NORFOLK STREET,SUFFOLK STREET,NORFOLK STREET,SUFFOLK STREET,GRAND STREET,The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,,,
58907710,2023-09-23T17:43:39.000,2023-09-23T17:47:31.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,11222,205 GREENPOINT AVENUE,GREENPOINT AVENUE,ADDRESS,BROOKLYN,Closed,2023-09-23T17:47:37.000,01 BROOKLYN,3025600050,BROOKLYN,997815,205425,MOBILE,Unspecified,BROOKLYN,40.73051044794637,-73.95105607671246,"{'latitude': '40.73051044794637', 'longitude': '-73.95105607671246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCGUINNESS BOULEVARD,NEWEL STREET,MCGUINNESS BOULEVARD,NEWEL STREET,GREENPOINT AVENUE,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58909161,2023-09-23T17:43:14.000,2023-10-15T11:22:28.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,11233,136 SACKMAN STREET,SACKMAN STREET,ADDRESS,BROOKLYN,Closed,2023-10-15T00:00:00.000,16 BROOKLYN,3014430031,BROOKLYN,1010258,185216,PHONE,Unspecified,BROOKLYN,40.67501368411812,-73.90623851887601,"{'latitude': '40.67501368411812', 'longitude': '-73.90623851887601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,,
58909749,2023-09-23T17:43:14.000,2023-10-06T11:04:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,11233,136 SACKMAN STREET,SACKMAN STREET,ADDRESS,BROOKLYN,Closed,2023-10-06T00:00:00.000,16 BROOKLYN,3014430031,BROOKLYN,1010258,185216,PHONE,Unspecified,BROOKLYN,40.67501368411812,-73.90623851887601,"{'latitude': '40.67501368411812', 'longitude': '-73.90623851887601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58909712,2023-09-23T17:43:12.000,2023-09-24T17:32:35.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10461,1721 HOBART AVENUE,HOBART AVENUE,ADDRESS,BRONX,Closed,2023-09-24T00:00:00.000,10 BRONX,2041700046,BRONX,1031121,247591,PHONE,Unspecified,BRONX,40.846130798064074,-73.83059054529365,"{'latitude': '40.846130798064074', 'longitude': '-73.83059054529365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,,
58909907,2023-09-23T17:43:01.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,,,,ADDRESS,,Closed,2023-09-28T09:10:25.000,Unspecified BROOKLYN,,BROOKLYN,989289,162177,MOBILE,Unspecified,BROOKLYN,40.61181335967229,-73.98185109504342,"{'latitude': '40.61181335967229', 'longitude': '-73.98185109504342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,,N,Other,,,,,
58907856,2023-09-23T17:42:38.000,2023-09-23T18:47:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,35-20 99 STREET,99 STREET,ADDRESS,CORONA,Closed,2023-09-23T18:47:58.000,03 QUEENS,4017390114,QUEENS,1020629,213739,ONLINE,Unspecified,QUEENS,40.75326587178405,-73.86869592403535,"{'latitude': '40.75326587178405', 'longitude': '-73.86869592403535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,99 STREET,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58908942,2023-09-23T17:42:28.000,2023-09-23T18:26:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10302,10 BOND STREET,BOND STREET,ADDRESS,STATEN ISLAND,Closed,2023-09-23T18:26:43.000,01 STATEN ISLAND,5010140012,STATEN ISLAND,948330,170425,MOBILE,Unspecified,STATEN ISLAND,40.634380997294535,-74.12941642324647,"{'latitude': '40.634380997294535', 'longitude': '-74.12941642324647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,JEWETT AVENUE,SIMONSON PLACE,JEWETT AVENUE,SIMONSON PLACE,BOND STREET,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58906385,2023-09-23T17:42:07.000,2023-09-23T20:09:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10458,2342 CROTONA AVENUE,CROTONA AVENUE,ADDRESS,BRONX,Closed,2023-09-23T20:09:40.000,06 BRONX,2031020018,BRONX,1016291,249995,ONLINE,Unspecified,BRONX,40.852795327934736,-73.88418018781327,"{'latitude': '40.852795327934736', 'longitude': '-73.88418018781327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  183 STREET,EAST  187 STREET,EAST  183 STREET,EAST  187 STREET,CROTONA AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58906086,2023-09-23T17:42:01.000,2023-09-28T13:10:33.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,10457,670 EAST  182 STREET,EAST  182 STREET,ADDRESS,BRONX,Closed,2023-09-28T13:10:37.000,06 BRONX,2030830029,BRONX,1015268,249325,MOBILE,Belmont Playground (Bronx),BRONX,40.85096003148687,-73.88788116026636,"{'latitude': '40.85096003148687', 'longitude': '-73.88788116026636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park,BELMONT AVENUE,GROTE STREET,BELMONT AVENUE,GROTE STREET,EAST  182 STREET,NYC Parks has completed the requested work order and corrected the problem.,,,,,,,,
58908448,2023-09-23T17:42:00.000,2023-09-23T20:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Post,11368,,,INTERSECTION,QUEENS,Assigned,2023-09-23T20:00:00.000,03 QUEENS,,QUEENS,1021846,214706,UNKNOWN,Unspecified,QUEENS,40.75591494706572,-73.86429796072932,"{'latitude': '40.75591494706572', 'longitude': '-73.86429796072932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,34 AVENUE,104 STREET,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,N/A,,,,,,,
58909831,2023-09-23T17:41:47.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11372,37-05 80 STREET,80 STREET,ADDRESS,JACKSON HEIGHTS,In Progress,2023-10-31T10:01:53.000,03 QUEENS,4012910001,QUEENS,1015809,212263,UNKNOWN,Unspecified,QUEENS,40.749233145297616,-73.8860998349999,"{'latitude': '40.749233145297616', 'longitude': '-73.8860998349999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,80 STREET,"NYC Parks will inspect the site to determine if it is suitable for a new street tree, including a review of potential conflicts with other infrastructure. If the site is found to be suitable, a tree will be planted during the next available planting season. You may review recently completed and upcoming street tree plantings in your neighborhood by visiting the NYC Parks Tree Work Hub at nyc.gov/parks/treework.",,,,,,,,
58906672,2023-09-23T17:41:36.000,2023-09-23T17:47:15.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,11222,205 GREENPOINT AVENUE,GREENPOINT AVENUE,ADDRESS,BROOKLYN,Closed,2023-09-23T17:47:19.000,01 BROOKLYN,3025600050,BROOKLYN,997815,205425,MOBILE,Unspecified,BROOKLYN,40.73051044794637,-73.95105607671246,"{'latitude': '40.73051044794637', 'longitude': '-73.95105607671246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCGUINNESS BOULEVARD,NEWEL STREET,MCGUINNESS BOULEVARD,NEWEL STREET,GREENPOINT AVENUE,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
