unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,facility_type,bridge_highway_direction,due_date
58905186,2023-09-23T14:36:13.000,2023-09-26T14:03:09.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Noise,Street,10023,15 WEST   72 STREET,WEST   72 STREET,CENTRAL PARK EXIT WEST   72 ST,COLUMBUS AVENUE,CENTRAL PARK EXIT WEST   72 ST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   72 STREET,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-23T14:36:24.000,07 MANHATTAN,1011250024,MANHATTAN,990592,222254,ONLINE,Unspecified,MANHATTAN,40.77670990781583,-73.97710153327209,"{'latitude': '40.77670990781583', 'longitude': '-73.97710153327209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58909663,2023-09-23T14:35:36.000,2023-09-30T10:40:53.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58907073,2023-09-23T14:35:36.000,2023-09-30T10:40:51.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58908687,2023-09-23T14:35:36.000,2023-09-30T10:40:50.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58908108,2023-09-23T14:35:36.000,2023-09-30T10:40:53.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58908183,2023-09-23T14:35:36.000,2023-09-30T10:40:51.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905980,2023-09-23T14:35:35.000,2023-09-30T10:40:48.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58906483,2023-09-23T14:35:35.000,2023-09-30T10:40:48.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58906514,2023-09-23T14:35:35.000,2023-09-30T10:40:49.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58909669,2023-09-23T14:35:35.000,2023-09-30T10:40:48.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10034,128 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,12 MANHATTAN,1022480092,MANHATTAN,1005479,255801,ONLINE,Unspecified,MANHATTAN,40.86876366045193,-73.92324431758524,"{'latitude': '40.86876366045193', 'longitude': '-73.92324431758524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905902,2023-09-23T14:35:34.000,2023-10-02T02:03:06.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11215,196 PROSPECT PARK WEST,PROSPECT PARK WEST,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,07 BROOKLYN,3011050036,BROOKLYN,989738,180134,ONLINE,Unspecified,BROOKLYN,40.66110123073606,-73.98021933263719,"{'latitude': '40.66110123073606', 'longitude': '-73.98021933263719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905688,2023-09-23T14:35:32.000,2023-10-06T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11215,505 11 STREET,11 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-06T00:00:00.000,06 BROOKLYN,3010940076,BROOKLYN,989264,181695,UNKNOWN,Unspecified,BROOKLYN,40.66538611131008,-73.98192663316058,"{'latitude': '40.66538611131008', 'longitude': '-73.98192663316058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905405,2023-09-23T14:35:30.000,2023-09-23T15:11:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11358,35-48 161 STREET,161 STREET,35 AVENUE,CROCHERON AVENUE,35 AVENUE,CROCHERON AVENUE,ADDRESS,FLUSHING,161 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T15:11:51.000,07 QUEENS,4052800076,QUEENS,1038424,217708,PHONE,Unspecified,QUEENS,40.76406861541043,-73.80443596583308,"{'latitude': '40.76406861541043', 'longitude': '-73.80443596583308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905016,2023-09-23T14:35:26.000,2023-09-26T13:07:59.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11102,26-18 21 STREET,21 STREET,26 ROAD,27 AVENUE,26 ROAD,27 AVENUE,ADDRESS,ASTORIA,21 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T12:07:42.000,01 QUEENS,4008850038,QUEENS,1004941,220928,ONLINE,Unspecified,QUEENS,40.77304844503966,-73.92529703924531,"{'latitude': '40.77304844503966', 'longitude': '-73.92529703924531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905153,2023-09-23T14:35:26.000,2023-11-09T11:27:20.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10308,134 KEEGANS LANE,KEEGANS LANE,DURANT AVENUE,MAYBURY AVENUE,DURANT AVENUE,MAYBURY AVENUE,ADDRESS,STATEN ISLAND,KEEGANS LANE,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-09T11:27:23.000,03 STATEN ISLAND,5051160049,STATEN ISLAND,945589,139981,ONLINE,Unspecified,STATEN ISLAND,40.55080689962752,-74.13911777618274,"{'latitude': '40.55080689962752', 'longitude': '-74.13911777618274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58904979,2023-09-23T14:35:07.000,2023-11-14T14:14:17.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Street,11232,424 41 STREET,41 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,41 STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-14T14:14:21.000,07 BROOKLYN,3007190016,BROOKLYN,982427,176467,ONLINE,Unspecified,BROOKLYN,40.65103763196406,-74.00656973706549,"{'latitude': '40.65103763196406', 'longitude': '-74.00656973706549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Car Service,BROOKLYN,"424 41 STREET, BROOKLYN, NY, 11232",,,,,,
58905360,2023-09-23T14:34:53.000,2023-09-23T14:56:39.000,NYPD,New York City Police Department,Panhandling,N/A,Subway,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T14:56:44.000,Unspecified MANHATTAN,,MANHATTAN,984231,206302,MOBILE,Unspecified,MANHATTAN,40.73292799947124,-74.00006855644916,"{'latitude': '40.73292799947124', 'longitude': '-74.00006855644916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,B,West 8 St-Waverly Pl & 6 Av (Av of the A,Entrance,,,
58905294,2023-09-23T14:34:33.000,2023-09-23T14:48:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11433,92-48 172 STREET,172 STREET,TIFF COURT,PAIGE COURT,TIFF COURT,PAIGE COURT,ADDRESS,JAMAICA,172 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T14:48:24.000,12 QUEENS,4102120037,QUEENS,1043160,196671,ONLINE,Unspecified,QUEENS,40.70629712049661,-73.78752363414172,"{'latitude': '40.70629712049661', 'longitude': '-73.78752363414172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58909180,2023-09-23T14:34:27.000,2023-09-25T07:38:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,530 EAST  169 STREET,EAST  169 STREET,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,03 BRONX,2026100012,BRONX,1010629,242635,PHONE,Unspecified,BRONX,40.83261302416413,-73.90467576630016,"{'latitude': '40.83261302416413', 'longitude': '-73.90467576630016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905070,2023-09-23T14:34:26.000,2023-09-23T20:42:00.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11379,62-40 84 STREET,84 STREET,62 AVENUE,63 AVENUE,62 AVENUE,63 AVENUE,ADDRESS,MIDDLE VILLAGE,84 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T20:42:05.000,05 QUEENS,4029730030,QUEENS,1019716,203201,PHONE,Unspecified,QUEENS,40.724345415179464,-73.8720468020346,"{'latitude': '40.724345415179464', 'longitude': '-73.8720468020346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905147,2023-09-23T14:34:20.000,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11101,37-34 33 STREET,33 STREET,37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,ADDRESS,LONG ISLAND CITY,33 STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-23T15:41:52.000,01 QUEENS,4003740033,QUEENS,1003666,213867,UNKNOWN,Unspecified,QUEENS,40.75367071810756,-73.92992070287106,"{'latitude': '40.75367071810756', 'longitude': '-73.92992070287106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905543,2023-09-23T14:34:18.000,2023-09-26T12:30:27.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10022,16 SUTTON PLACE,SUTTON PLACE,EAST   57 STREET,EAST   58 STREET,EAST   57 STREET,EAST   58 STREET,ADDRESS,NEW YORK,SUTTON PLACE,Closed,See notes for information.,2023-09-26T12:30:32.000,06 MANHATTAN,1013690026,MANHATTAN,995224,215354,PHONE,Unspecified,MANHATTAN,40.75776666145779,-73.96038847129964,"{'latitude': '40.75776666145779', 'longitude': '-73.96038847129964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"16 SUTTON PLACE, MANHATTAN (NEW YORK), NY, 10022",,,,,,
58904967,2023-09-23T14:33:57.000,2023-09-25T11:06:05.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11236,8422 AVENUE J,AVENUE J,EAST   84 STREET,EAST   85 STREET,EAST   84 STREET,EAST   85 STREET,ADDRESS,BROOKLYN,AVENUE J,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-23T16:06:11.000,18 BROOKLYN,3080360045,BROOKLYN,1009703,170958,ONLINE,Unspecified,BROOKLYN,40.63588022928407,-73.9082931617697,"{'latitude': '40.63588022928407', 'longitude': '-73.9082931617697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58904964,2023-09-23T14:32:50.000,2023-09-24T16:52:19.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11426,244-40 85 AVENUE,85 AVENUE,CROSS ISLAND PARKWAY,246 STREET,CROSS ISLAND PARKWAY,246 STREET,ADDRESS,BELLEROSE,85 AVENUE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-24T16:52:22.000,13 QUEENS,4086090024,QUEENS,1061333,206438,ONLINE,Unspecified,QUEENS,40.732965396617416,-73.72186586233452,"{'latitude': '40.732965396617416', 'longitude': '-73.72186586233452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905904,2023-09-23T14:32:38.000,2023-09-27T16:01:20.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11204,357 AVENUE P,AVENUE P,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,11 BROOKLYN,3066060021,BROOKLYN,991335,161029,PHONE,Unspecified,BROOKLYN,40.608660935889205,-73.97448324654154,"{'latitude': '40.608660935889205', 'longitude': '-73.97448324654154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58906471,2023-09-23T14:32:38.000,2023-09-27T16:01:20.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11204,357 AVENUE P,AVENUE P,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BROOKLYN,3066060021,BROOKLYN,991335,161029,PHONE,Unspecified,BROOKLYN,40.608660935889205,-73.97448324654154,"{'latitude': '40.608660935889205', 'longitude': '-73.97448324654154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
