unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,due_date,taxi_company_borough,vehicle_type
58903576,2023-09-23T11:51:41.000,2023-10-06T13:50:27.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,11355,142-03 HOLLY AVENUE,HOLLY AVENUE,ROBINSON STREET,BOWNE STREET,ROBINSON STREET,BOWNE STREET,ADDRESS,FLUSHING,HOLLY AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-25T06:03:27.000,07 QUEENS,4052020034,QUEENS,1034896,213260,ONLINE,Unspecified,QUEENS,40.75188093314889,-73.81720524718226,"{'latitude': '40.75188093314889', 'longitude': '-73.81720524718226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58903859,2023-09-23T11:51:40.000,2023-09-23T13:04:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11207,306 HENDRIX STREET,HENDRIX STREET,LIBERTY AVENUE,GLENMORE AVENUE,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,HENDRIX STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T13:04:12.000,05 BROOKLYN,3039780032,BROOKLYN,1014797,185071,MOBILE,Unspecified,BROOKLYN,40.674601193171135,-73.88987563606996,"{'latitude': '40.674601193171135', 'longitude': '-73.88987563606996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904074,2023-09-23T11:50:51.000,2023-09-25T13:31:28.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Sidewalk,11211,381 SOUTH    1 STREET,SOUTH    1 STREET,BORINQUEN PLACE,HOOPER STREET,BORINQUEN PLACE,HOOPER STREET,ADDRESS,BROOKLYN,SOUTH    1 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T05:57:19.000,01 BROOKLYN,3023990016,BROOKLYN,997488,198116,ONLINE,Unspecified,BROOKLYN,40.71044950336593,-73.95225030161166,"{'latitude': '40.71044950336593', 'longitude': '-73.95225030161166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58902976,2023-09-23T11:50:35.000,2023-09-23T12:30:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11238,615 DEAN STREET,DEAN STREET,CARLTON AVENUE,VANDERBILT AVENUE,CARLTON AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,DEAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T12:30:57.000,08 BROOKLYN,3011290050,BROOKLYN,992662,187223,MOBILE,Unspecified,BROOKLYN,40.68055665316346,-73.96967137027417,"{'latitude': '40.68055665316346', 'longitude': '-73.96967137027417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904106,2023-09-23T11:50:35.000,2023-09-23T11:55:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T11:55:56.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908079,2023-09-23T11:49:40.000,2023-10-04T14:54:23.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11208,760 WORTMAN AVENUE,WORTMAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 BROOKLYN,3045490002,BROOKLYN,1021406,181240,PHONE,Unspecified,BROOKLYN,40.664060693490455,-73.86607081538509,"{'latitude': '40.664060693490455', 'longitude': '-73.86607081538509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906473,2023-09-23T11:49:40.000,2023-10-12T13:33:03.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11208,760 WORTMAN AVENUE,WORTMAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BROOKLYN,3045490002,BROOKLYN,1021406,181240,PHONE,Unspecified,BROOKLYN,40.664060693490455,-73.86607081538509,"{'latitude': '40.664060693490455', 'longitude': '-73.86607081538509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909200,2023-09-23T11:49:40.000,2023-10-04T14:54:24.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11208,760 WORTMAN AVENUE,WORTMAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,05 BROOKLYN,3045490002,BROOKLYN,1021406,181240,PHONE,Unspecified,BROOKLYN,40.664060693490455,-73.86607081538509,"{'latitude': '40.664060693490455', 'longitude': '-73.86607081538509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906551,2023-09-23T11:49:40.000,2023-10-04T14:54:23.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11208,760 WORTMAN AVENUE,WORTMAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,05 BROOKLYN,3045490002,BROOKLYN,1021406,181240,PHONE,Unspecified,BROOKLYN,40.664060693490455,-73.86607081538509,"{'latitude': '40.664060693490455', 'longitude': '-73.86607081538509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909170,2023-09-23T11:49:39.000,,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11203,595 RUTLAND ROAD,RUTLAND ROAD,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-23T00:00:00.000,09 BROOKLYN,3048040056,BROOKLYN,1000586,179735,PHONE,Unspecified,BROOKLYN,40.65999269496483,-73.94112032911362,"{'latitude': '40.65999269496483', 'longitude': '-73.94112032911362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
