unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,due_date,bridge_highway_direction,road_ramp,taxi_pick_up_location
58904771,2023-09-23T08:37:27.000,2023-09-23T09:00:39.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10013,156 MOTT STREET,MOTT STREET,GRAND STREET,BROOME STREET,GRAND STREET,BROOME STREET,ADDRESS,NEW YORK,MOTT STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-23T09:00:43.000,02 MANHATTAN,1004700003,MANHATTAN,985276,201402,PHONE,Unspecified,MANHATTAN,40.71947863163179,-73.99629869880661,"{'latitude': '40.71947863163179', 'longitude': '-73.99629869880661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903809,2023-09-23T08:37:27.000,2023-09-23T08:53:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11211,BEDFORD AVENUE,BEDFORD AVENUE,BEDFORD AVENUE,TAYLOR STREET,BEDFORD AVENUE,TAYLOR STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T08:53:33.000,01 BROOKLYN,,BROOKLYN,994481,196457,PHONE,Unspecified,BROOKLYN,40.70589992930594,-73.96309912274138,"{'latitude': '40.70589992930594', 'longitude': '-73.96309912274138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58908104,2023-09-23T08:37:26.000,2023-09-25T07:35:20.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,16 EAST  169 STREET,EAST  169 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,04 BRONX,2024810011,BRONX,1006672,244438,PHONE,Unspecified,BRONX,40.837572668656314,-73.91896890751484,"{'latitude': '40.837572668656314', 'longitude': '-73.91896890751484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903382,2023-09-23T08:37:26.000,2023-09-23T08:51:49.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10467,3500 TRYON AVENUE,TRYON AVENUE,EAST GUN HILL ROAD,EAST  211 STREET,EAST GUN HILL ROAD,EAST  211 STREET,ADDRESS,BRONX,TRYON AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T08:51:53.000,07 BRONX,2033440082,BRONX,1018348,260089,ONLINE,Unspecified,BRONX,40.88049255784894,-73.87669332048401,"{'latitude': '40.88049255784894', 'longitude': '-73.87669332048401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58904566,2023-09-23T08:37:07.000,2023-09-23T11:38:21.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,10314,225 ADA DRIVE,ADA DRIVE,ARLENE COURT,ELSON COURT,ARLENE COURT,ELSON COURT,ADDRESS,STATEN ISLAND,ADA DRIVE,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-23T11:38:21.000,01 STATEN ISLAND,5016580127,STATEN ISLAND,939368,165568,ONLINE,Unspecified,STATEN ISLAND,40.62100870088166,-74.16167331323102,"{'latitude': '40.62100870088166', 'longitude': '-74.16167331323102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903880,2023-09-23T08:37:02.000,2023-09-23T09:07:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,1814 EAST   16 STREET,EAST   16 STREET,AVENUE R,MOORE PLACE,AVENUE R,MOORE PLACE,ADDRESS,BROOKLYN,EAST   16 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T09:07:29.000,15 BROOKLYN,3068210012,BROOKLYN,996264,159897,PHONE,Unspecified,BROOKLYN,40.605548515989675,-73.95673338140679,"{'latitude': '40.605548515989675', 'longitude': '-73.95673338140679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903874,2023-09-23T08:36:59.000,2023-09-23T09:22:29.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,107 MENAHAN STREET,MENAHAN STREET,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,MENAHAN STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T09:22:35.000,04 BROOKLYN,3033050048,BROOKLYN,1006310,192394,PHONE,Unspecified,BROOKLYN,40.69472636472367,-73.92044795051754,"{'latitude': '40.69472636472367', 'longitude': '-73.92044795051754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58904069,2023-09-23T08:36:58.000,2023-09-23T11:39:02.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,10314,225 ADA DRIVE,ADA DRIVE,ARLENE COURT,ELSON COURT,ARLENE COURT,ELSON COURT,ADDRESS,STATEN ISLAND,ADA DRIVE,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-23T11:39:02.000,01 STATEN ISLAND,5016580127,STATEN ISLAND,939368,165568,ONLINE,Unspecified,STATEN ISLAND,40.62100870088166,-74.16167331323102,"{'latitude': '40.62100870088166', 'longitude': '-74.16167331323102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903141,2023-09-23T08:36:41.000,2023-09-23T08:47:34.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11228,7423 10 AVENUE,10 AVENUE,74 STREET,BAY RIDGE PARKWAY,74 STREET,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,10 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T08:47:38.000,10 BROOKLYN,3059357501,BROOKLYN,980477,166874,ONLINE,Unspecified,BROOKLYN,40.6247062785669,-74.01359179315543,"{'latitude': '40.6247062785669', 'longitude': '-74.01359179315543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58903307,2023-09-23T08:36:40.000,2023-09-23T15:05:09.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10314,225 ADA DRIVE,ADA DRIVE,ARLENE COURT,ELSON COURT,ARLENE COURT,ELSON COURT,ADDRESS,STATEN ISLAND,ADA DRIVE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T12:24:46.000,01 STATEN ISLAND,5016580127,STATEN ISLAND,939368,165568,ONLINE,Unspecified,STATEN ISLAND,40.62100870088166,-74.16167331323102,"{'latitude': '40.62100870088166', 'longitude': '-74.16167331323102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
