unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,facility_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,due_date
58907549,2023-09-23T01:59:07.000,2023-09-27T02:02:16.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10044,546 MAIN STREET,MAIN STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-27T00:00:00.000,08 MANHATTAN,1013730030,MANHATTAN,998175,216839,PHONE,Unspecified,MANHATTAN,40.7618384501245,-73.94973352751494,"{'latitude': '40.7618384501245', 'longitude': '-73.94973352751494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58909395,2023-09-23T01:59:00.000,2023-09-26T18:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10011,10 WEST   15 STREET,WEST   15 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:02:00.000,05 MANHATTAN,1008160031,MANHATTAN,985981,207767,ONLINE,Unspecified,MANHATTAN,40.73694889399889,-73.99375376973958,"{'latitude': '40.73694889399889', 'longitude': '-73.99375376973958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVE,AVENUE OF THE AMERICAS,N/A,,,,,,,,
58907768,2023-09-23T01:59:00.000,2023-09-26T23:59:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10033,701 WEST  179 STREET,WEST  179 STREET,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T23:59:00.000,12 MANHATTAN,1021760054,MANHATTAN,1001583,248597,ONLINE,Unspecified,MANHATTAN,40.84899935795233,-73.93734933904612,"{'latitude': '40.84899935795233', 'longitude': '-73.93734933904612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,G WASHINGTON BR EN W 179 ST,N/A,,,,,,,,
58900919,2023-09-23T01:58:52.000,2023-09-23T02:01:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,90 SANDS STREET,SANDS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T02:01:08.000,02 BROOKLYN,3000870009,BROOKLYN,987794,194331,ONLINE,Unspecified,BROOKLYN,40.70006976346633,-73.9872187206513,"{'latitude': '40.70006976346633', 'longitude': '-73.9872187206513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PEARL STREET,JAY STREET,,PEARL STREET,JAY STREET,SANDS STREET,,,,,
58901129,2023-09-23T01:58:42.000,2023-09-23T02:47:30.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11374,99-18 64 AVENUE,64 AVENUE,ADDRESS,REGO PARK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T02:47:34.000,06 QUEENS,4021130014,QUEENS,1024273,205686,MOBILE,Unspecified,QUEENS,40.73114668119292,-73.85559143898134,"{'latitude': '40.73114668119292', 'longitude': '-73.85559143898134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",99 STREET,102 STREET,,99 STREET,102 STREET,64 AVENUE,,,,,
58901244,2023-09-23T01:58:23.000,2023-09-25T08:00:39.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The individual was found and outreach assistance was offered.,2023-09-24T07:28:41.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,1,Stairway,,,
58895305,2023-09-23T01:58:16.000,2023-09-23T01:58:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,96 SCHERMERHORN STREET,SCHERMERHORN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T01:59:03.000,02 BROOKLYN,3002710047,BROOKLYN,986975,190840,ONLINE,Unspecified,BROOKLYN,40.69048806861408,-73.99017382021445,"{'latitude': '40.69048806861408', 'longitude': '-73.99017382021445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COURT STREET,BOERUM PLACE,,COURT STREET,BOERUM PLACE,SCHERMERHORN STREET,,,,,
58899132,2023-09-23T01:57:43.000,2023-09-23T02:00:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,426 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:00:44.000,03 BROOKLYN,3019490027,BROOKLYN,995891,190337,ONLINE,Unspecified,BROOKLYN,40.689100213338456,-73.95802415333159,"{'latitude': '40.689100213338456', 'longitude': '-73.95802415333159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLASSON AVENUE,FRANKLIN AVENUE,,CLASSON AVENUE,FRANKLIN AVENUE,LAFAYETTE AVENUE,,,,,
58902287,2023-09-23T01:57:40.000,2023-09-23T01:58:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,154 HENRY STREET,HENRY STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T01:58:53.000,02 BROOKLYN,3002360038,BROOKLYN,986008,192906,ONLINE,Unspecified,BROOKLYN,40.69615900555599,-73.99366022261825,"{'latitude': '40.69615900555599', 'longitude': '-73.99366022261825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLARK STREET,LOVE LANE,,CLARK STREET,LOVE LANE,HENRY STREET,,,,,
58898399,2023-09-23T01:57:06.000,2023-09-25T08:00:29.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-24T07:28:07.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,1,Mezzanine,,,
58892576,2023-09-23T01:57:03.000,2023-09-23T01:58:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,135 HENRY STREET,HENRY STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T01:58:43.000,02 BROOKLYN,3002370028,BROOKLYN,986079,193081,ONLINE,Unspecified,BROOKLYN,40.69663932549407,-73.99340413175801,"{'latitude': '40.69663932549407', 'longitude': '-73.99340413175801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLARK STREET,LOVE LANE,,CLARK STREET,LOVE LANE,HENRY STREET,,,,,
58902052,2023-09-23T01:57:02.000,2023-09-23T02:05:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,40 CANAL STREET,CANAL STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:05:51.000,03 MANHATTAN,1002940026,MANHATTAN,986654,199668,ONLINE,Unspecified,MANHATTAN,40.71471895035737,-73.99132817477624,"{'latitude': '40.71471895035737', 'longitude': '-73.99132817477624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LUDLOW STREET,ORCHARD STREET,,LUDLOW STREET,ORCHARD STREET,CANAL STREET,,,,,
58902529,2023-09-23T01:56:43.000,2023-09-23T02:48:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11377,41 AVENUE,41 AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:48:52.000,02 QUEENS,,QUEENS,1013569,210668,ONLINE,Unspecified,QUEENS,40.744862984756715,-73.89419120520024,"{'latitude': '40.744862984756715', 'longitude': '-73.89419120520024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41 AVENUE,71 STREET,,41 AVENUE,71 STREET,,,,,,
58899553,2023-09-23T01:56:32.000,2023-09-23T02:15:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11222,83 THOMAS STREET,THOMAS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T02:15:06.000,01 BROOKLYN,3028020010,BROOKLYN,1003328,203938,MOBILE,Unspecified,BROOKLYN,40.7264188242873,-73.93116882524787,"{'latitude': '40.7264188242873', 'longitude': '-73.93116882524787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GARDNER AVENUE,PEDESTRIAN AND BIKE PATH LINK,,GARDNER AVENUE,PEDESTRIAN AND BIKE PATH LINK,THOMAS STREET,,,,,
58896866,2023-09-23T01:56:27.000,2023-09-23T02:26:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10458,2470 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:26:38.000,05 BRONX,,BRONX,1012595,253240,ONLINE,Unspecified,BRONX,40.861714514609645,-73.89752652370723,"{'latitude': '40.861714514609645', 'longitude': '-73.89752652370723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  188 STREET,EAST FORDHAM ROAD,,EAST  188 STREET,EAST FORDHAM ROAD,GRAND CONCOURSE,,,,,
