unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58899163,2023-09-22T23:41:38.000,2023-09-23T01:28:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,185 ST MARKS PLACE,ST MARKS PLACE,NICHOLAS STREET,HAMILTON AVENUE,NICHOLAS STREET,HAMILTON AVENUE,ADDRESS,STATEN ISLAND,ST MARKS PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T01:28:43.000,01 STATEN ISLAND,5000130008,STATEN ISLAND,961847,174408,ONLINE,Unspecified,STATEN ISLAND,40.64535797539355,-74.08072918902054,"{'latitude': '40.64535797539355', 'longitude': '-74.08072918902054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899212,2023-09-22T23:41:36.000,2023-09-23T00:12:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,3155 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,LA SALLE STREET,TIEMANN PLACE,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:12:59.000,09 MANHATTAN,1019930086,MANHATTAN,995559,236037,ONLINE,Unspecified,MANHATTAN,40.81453554135292,-73.95914444206745,"{'latitude': '40.81453554135292', 'longitude': '-73.95914444206745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58893555,2023-09-22T23:41:36.000,2023-09-22T23:54:22.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,1600 CATON AVENUE,CATON AVENUE,BUCKINGHAM ROAD,PARADE PLACE,BUCKINGHAM ROAD,PARADE PLACE,ADDRESS,BROOKLYN,CATON AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-22T23:54:25.000,14 BROOKLYN,3050770001,BROOKLYN,993916,176336,ONLINE,Unspecified,BROOKLYN,40.6506729778639,-73.96516580745832,"{'latitude': '40.6506729778639', 'longitude': '-73.96516580745832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892207,2023-09-22T23:41:32.000,2023-09-23T00:44:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,60 KINGSLAND AVENUE,KINGSLAND AVENUE,WITHERS STREET,FROST STREET,WITHERS STREET,FROST STREET,ADDRESS,BROOKLYN,KINGSLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:44:31.000,01 BROOKLYN,3028670001,BROOKLYN,1000792,200805,ONLINE,Unspecified,BROOKLYN,40.71782460440937,-73.94032611149376,"{'latitude': '40.71782460440937', 'longitude': '-73.94032611149376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892370,2023-09-22T23:41:21.000,2023-09-23T00:15:27.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10469,1750 EAST GUN HILL ROAD,EAST GUN HILL ROAD,ALLERTON AVENUE,EDSON AVENUE,ALLERTON AVENUE,EDSON AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:15:31.000,11 BRONX,2044940001,BRONX,1029940,254265,ONLINE,Unspecified,BRONX,40.864455093750024,-73.83481362539892,"{'latitude': '40.864455093750024', 'longitude': '-73.83481362539892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892769,2023-09-22T23:41:11.000,2023-09-23T02:24:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,42-09 25 AVENUE,25 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,25 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T02:24:23.000,01 QUEENS,4006880043,QUEENS,1009203,218777,MOBILE,Unspecified,QUEENS,40.76713350970249,-73.90991747477541,"{'latitude': '40.76713350970249', 'longitude': '-73.90991747477541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898795,2023-09-22T23:41:00.000,2023-09-23T00:21:44.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11364,58-27 215 STREET,215 STREET,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,OAKLAND GARDENS,215 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T00:21:49.000,11 QUEENS,4074660053,QUEENS,1049912,212111,ONLINE,Unspecified,QUEENS,40.74862847364575,-73.76302000169896,"{'latitude': '40.74862847364575', 'longitude': '-73.76302000169896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892365,2023-09-22T23:40:58.000,2023-09-22T23:45:03.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10009,AVENUE B,AVENUE B,AVENUE B,EAST   10 STREET,AVENUE B,EAST   10 STREET,INTERSECTION,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T23:45:08.000,03 MANHATTAN,,MANHATTAN,989819,204094,ONLINE,Unspecified,MANHATTAN,40.72686582646435,-73.97990757169026,"{'latitude': '40.72686582646435', 'longitude': '-73.97990757169026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896393,2023-09-22T23:40:51.000,2023-09-23T00:05:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10469,2314 DEMEYER STREET,DEMEYER STREET,STILLWELL AVENUE,WARING AVENUE,STILLWELL AVENUE,WARING AVENUE,ADDRESS,BRONX,DEMEYER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:05:49.000,11 BRONX,2044170030,BRONX,1030677,252488,MOBILE,Unspecified,BRONX,40.85957392843536,-73.83216141178264,"{'latitude': '40.85957392843536', 'longitude': '-73.83216141178264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900565,2023-09-22T23:40:51.000,2023-09-22T23:44:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,23 AVENUE B,AVENUE B,EAST    2 STREET,EAST    3 STREET,EAST    2 STREET,EAST    3 STREET,ADDRESS,NEW YORK,AVENUE B,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T23:44:08.000,03 MANHATTAN,1003850003,MANHATTAN,988892,202418,ONLINE,Unspecified,MANHATTAN,40.722266148143504,-73.98325325645892,"{'latitude': '40.722266148143504', 'longitude': '-73.98325325645892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892132,2023-09-22T23:40:40.000,2023-09-23T00:31:17.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11249,96 WYTHE AVENUE,WYTHE AVENUE,NORTH   11 STREET,NORTH   10 STREET,NORTH   11 STREET,NORTH   10 STREET,ADDRESS,BROOKLYN,WYTHE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:31:21.000,01 BROOKLYN,3022950021,BROOKLYN,995800,202137,MOBILE,Unspecified,BROOKLYN,40.72148854900699,-73.95833204713233,"{'latitude': '40.72148854900699', 'longitude': '-73.95833204713233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58908738,2023-09-22T23:40:38.000,2023-09-22T23:40:38.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11225,1680 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-22T00:00:00.000,09 BROOKLYN,3013020001,BROOKLYN,996199,181762,UNKNOWN,Unspecified,BROOKLYN,40.66556336800873,-73.9569287512111,"{'latitude': '40.66556336800873', 'longitude': '-73.9569287512111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897673,2023-09-22T23:40:14.000,2023-09-22T23:59:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11415,83-34 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,METROPOLITAN AVENUE,84 AVENUE,METROPOLITAN AVENUE,84 AVENUE,ADDRESS,KEW GARDENS,LEFFERTS BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:59:16.000,09 QUEENS,4033220119,QUEENS,1030770,196251,ONLINE,Unspecified,QUEENS,40.70521813609999,-73.83221461713791,"{'latitude': '40.70521813609999', 'longitude': '-73.83221461713791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892245,2023-09-22T23:40:10.000,2023-09-23T00:00:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,349 VERNON AVENUE,VERNON AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,ADDRESS,BROOKLYN,VERNON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:00:09.000,03 BROOKLYN,3015860067,BROOKLYN,1001762,192872,ONLINE,Unspecified,BROOKLYN,40.69604853155396,-73.93684755001826,"{'latitude': '40.69604853155396', 'longitude': '-73.93684755001826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897401,2023-09-22T23:40:09.000,2023-09-23T00:22:18.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,1575 AVENUE L,AVENUE L,BRIGHTON LINE,EAST   17 STREET,BRIGHTON LINE,EAST   17 STREET,ADDRESS,BROOKLYN,AVENUE L,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T00:22:21.000,14 BROOKLYN,,BROOKLYN,995566,165361,PHONE,Unspecified,BROOKLYN,40.620546986440566,-73.95923796656295,"{'latitude': '40.620546986440566', 'longitude': '-73.95923796656295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894865,2023-09-22T23:40:02.000,2023-09-23T00:13:51.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,92-02 CORONA AVENUE,CORONA AVENUE,92 STREET,93 STREET,92 STREET,93 STREET,ADDRESS,ELMHURST,CORONA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:13:54.000,04 QUEENS,4018620001,QUEENS,1019659,209793,ONLINE,Unspecified,QUEENS,40.742439043264866,-73.87221775214613,"{'latitude': '40.742439043264866', 'longitude': '-73.87221775214613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901922,2023-09-22T23:39:55.000,2023-09-22T23:44:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,23 AVENUE B,AVENUE B,EAST    2 STREET,EAST    3 STREET,EAST    2 STREET,EAST    3 STREET,ADDRESS,NEW YORK,AVENUE B,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T23:44:40.000,03 MANHATTAN,1003850003,MANHATTAN,988892,202418,ONLINE,Unspecified,MANHATTAN,40.722266148143504,-73.98325325645892,"{'latitude': '40.722266148143504', 'longitude': '-73.98325325645892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
