unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
58970232,2023-09-30T11:23:39.000,2023-10-01T13:09:05.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,1107 CLAY AVENUE,CLAY AVENUE,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,04 BRONX,2024290034,BRONX,1008583,241596,ONLINE,Unspecified,BRONX,40.829767142893594,-73.91207303914179,"{'latitude': '40.829767142893594', 'longitude': '-73.91207303914179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970922,2023-09-30T11:23:30.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,10461,1616 CROSBY AVENUE,CROSBY AVENUE,ADDRESS,BRONX,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T00:00:00.000,10 BRONX,2041680013,BRONX,1031128,246953,UNKNOWN,Unspecified,BRONX,40.844379641509285,-73.83056970491839,"{'latitude': '40.844379641509285', 'longitude': '-73.83056970491839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,,,,,
58975446,2023-09-30T11:23:28.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-01T23:09:45.000,Unspecified MANHATTAN,,MANHATTAN,1001410,249579,MOBILE,Unspecified,MANHATTAN,40.85169499447693,-73.93797213926113,"{'latitude': '40.85169499447693', 'longitude': '-73.93797213926113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A,Stairway,,,,,,,,,,
58968717,2023-09-30T11:23:27.000,2023-09-30T11:44:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,340 MORRIS AVENUE,MORRIS AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T11:44:08.000,01 BRONX,2023250001,BRONX,1004947,235745,ONLINE,Unspecified,BRONX,40.81371707692478,-73.9252297147797,"{'latitude': '40.81371707692478', 'longitude': '-73.9252297147797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  140 STREET,EAST  142 STREET,EAST  140 STREET,EAST  142 STREET,MORRIS AVENUE,,,,,
58976316,2023-09-30T11:23:25.000,,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58969082,2023-09-30T11:23:25.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58975116,2023-09-30T11:23:25.000,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58973950,2023-09-30T11:23:17.000,2023-11-03T12:46:36.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10009,432 EAST   13 STREET,EAST   13 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-11-03T00:00:00.000,03 MANHATTAN,1004400024,MANHATTAN,989173,205343,ONLINE,Unspecified,MANHATTAN,40.730294409657716,-73.98223736510921,"{'latitude': '40.730294409657716', 'longitude': '-73.98223736510921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59440039,2023-09-30T11:23:10.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Apartment,10456,1109 CLAY AVENUE,CLAY AVENUE,ADDRESS,BRONX,Closed,,2023-10-01T00:00:00.000,04 BRONX,2024290034,BRONX,1008588,241607,ONLINE,Unspecified,BRONX,40.82979732095139,-73.91205493181651,"{'latitude': '40.82979732095139', 'longitude': '-73.91205493181651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  166 STREET,EAST  167 STREET,EAST  166 STREET,EAST  167 STREET,CLAY AVENUE,,,,,
58992006,2023-09-30T11:23:10.000,2023-10-03T11:39:18.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11229,3883 BEDFORD AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-10-02T11:47:51.000,15 BROOKLYN,3068080059,BROOKLYN,998670,160631,ONLINE,Unspecified,BROOKLYN,40.60755960709897,-73.94806696806448,"{'latitude': '40.60755960709897', 'longitude': '-73.94806696806448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,BEDFORD AVENUE,,,,,
58970786,2023-09-30T11:23:00.000,2023-10-01T21:40:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11434,146-42 177 STREET,177 STREET,ADDRESS,JAMAICA,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-10-01T21:40:00.000,13 QUEENS,4133060151,QUEENS,1048293,180510,ONLINE,Unspecified,QUEENS,40.66190335535401,-73.76916363548283,"{'latitude': '40.66190335535401', 'longitude': '-73.76916363548283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BEND,146 DR,,,,,,,,
58968262,2023-09-30T11:23:00.000,2023-09-30T14:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11215,299 15 STREET,15 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T14:30:00.000,06 BROOKLYN,3010430076,BROOKLYN,988118,181191,ONLINE,Unspecified,BROOKLYN,40.66400331792089,-73.98605777153465,"{'latitude': '40.66400331792089', 'longitude': '-73.98605777153465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,6 AVE,7 AVE,,,,,,,,
