unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58897704,2023-09-22T21:43:32.000,2023-09-22T22:25:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10007,79 READE STREET,READE STREET,BROADWAY,CHURCH STREET,BROADWAY,CHURCH STREET,ADDRESS,NEW YORK,READE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:25:56.000,01 MANHATTAN,1001490012,MANHATTAN,982283,199850,MOBILE,Unspecified,MANHATTAN,40.71521860480116,-74.00709551084694,"{'latitude': '40.71521860480116', 'longitude': '-74.00709551084694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896158,2023-09-22T21:43:01.000,2023-09-22T22:23:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,1226 80 STREET,80 STREET,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,80 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T22:23:19.000,10 BROOKLYN,3062790017,BROOKLYN,980959,164555,PHONE,Unspecified,BROOKLYN,40.618341299545506,-74.01185431378829,"{'latitude': '40.618341299545506', 'longitude': '-74.01185431378829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893586,2023-09-22T21:42:54.000,2023-09-22T22:25:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,196 AVENUE A,AVENUE A,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,ADDRESS,NEW YORK,AVENUE A,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T22:25:49.000,03 MANHATTAN,1004060002,MANHATTAN,989471,204977,MOBILE,Unspecified,MANHATTAN,40.72928965830165,-73.98116243783143,"{'latitude': '40.72928965830165', 'longitude': '-73.98116243783143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891862,2023-09-22T21:42:46.000,2023-09-22T22:26:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,184 ETNA STREET,ETNA STREET,RICHMOND STREET,CHESTNUT STREET,RICHMOND STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,ETNA STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:26:41.000,05 BROOKLYN,3041150026,BROOKLYN,1018413,189241,ONLINE,Unspecified,BROOKLYN,40.68603366963854,-73.87681854478991,"{'latitude': '40.68603366963854', 'longitude': '-73.87681854478991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899165,2023-09-22T21:42:25.000,2023-09-22T22:20:24.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11235,104 WEST END AVENUE,WEST END AVENUE,HAMPTON AVENUE,NEPTUNE COURT,HAMPTON AVENUE,NEPTUNE COURT,ADDRESS,BROOKLYN,WEST END AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:20:29.000,15 BROOKLYN,3087197502,BROOKLYN,997222,150228,ONLINE,Unspecified,BROOKLYN,40.579007703766166,-73.95330185210146,"{'latitude': '40.579007703766166', 'longitude': '-73.95330185210146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892262,2023-09-22T21:42:22.000,2023-09-22T21:59:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1309 COLLEGE AVENUE,COLLEGE AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,BRONX,COLLEGE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:59:36.000,04 BRONX,2027850069,BRONX,1008734,243849,MOBILE,Unspecified,BRONX,40.83595055898407,-73.91151917978682,"{'latitude': '40.83595055898407', 'longitude': '-73.91151917978682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895080,2023-09-22T21:42:17.000,2023-09-22T21:50:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,BROADWAY,BROADWAY,BROADWAY,WEST  141 STREET,BROADWAY,WEST  141 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T21:50:56.000,09 MANHATTAN,,MANHATTAN,997450,239445,ONLINE,Unspecified,MANHATTAN,40.82388691720712,-73.95230620215838,"{'latitude': '40.82388691720712', 'longitude': '-73.95230620215838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895476,2023-09-22T21:42:09.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Other (Explain Below),10030,2286 7 AVENUE,7 AVENUE,WEST  134 STREET,WEST  135 STREET,WEST  134 STREET,WEST  135 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-25T13:49:34.000,10 MANHATTAN,1019400031,MANHATTAN,999747,236170,ONLINE,Unspecified,MANHATTAN,40.814894235154384,-73.94401432364857,"{'latitude': '40.814894235154384', 'longitude': '-73.94401432364857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902620,2023-09-22T21:42:06.000,2023-09-24T08:38:10.000,DHS,Department of Homeless Services,Encampment,N/A,Residential Building/House,10016,103 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-24T08:38:17.000,05 MANHATTAN,1008850006,MANHATTAN,988895,210260,MOBILE,Unspecified,MANHATTAN,40.74379050882603,-73.98323701955469,"{'latitude': '40.74379050882603', 'longitude': '-73.98323701955469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896977,2023-09-22T21:42:06.000,2023-09-22T22:18:51.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10016,103 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-22T22:18:57.000,05 MANHATTAN,1008850006,MANHATTAN,988895,210260,MOBILE,Unspecified,MANHATTAN,40.74379050882603,-73.98323701955469,"{'latitude': '40.74379050882603', 'longitude': '-73.98323701955469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894932,2023-09-22T21:42:01.000,2023-09-22T22:18:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,102 WEST  183 STREET,WEST  183 STREET,ANDREWS AVENUE NORTH,LORING PLACE NORTH,ANDREWS AVENUE NORTH,LORING PLACE NORTH,ADDRESS,BRONX,WEST  183 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T22:18:31.000,07 BRONX,2032240032,BRONX,1009489,252651,MOBILE,Unspecified,BRONX,40.86010731425336,-73.90875761354478,"{'latitude': '40.86010731425336', 'longitude': '-73.90875761354478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897671,2023-09-22T21:41:57.000,2023-09-22T22:42:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,2172 RYER AVENUE,RYER AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,RYER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:42:22.000,05 BRONX,2031490121,BRONX,1011889,250671,MOBILE,Unspecified,BRONX,40.854665623025795,-73.90008946143534,"{'latitude': '40.854665623025795', 'longitude': '-73.90008946143534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
