unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58894726,2023-09-22T19:04:57.000,2023-09-22T19:49:17.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11221,193 VAN BUREN STREET,VAN BUREN STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,BROOKLYN,VAN BUREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:49:21.000,03 BROOKLYN,3016090070,BROOKLYN,1001325,190894,ONLINE,Unspecified,BROOKLYN,40.690620234446754,-73.93842848958697,"{'latitude': '40.690620234446754', 'longitude': '-73.93842848958697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58898209,2023-09-22T19:04:15.000,2023-09-22T19:04:15.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11375,71-73 YELLOWSTONE BOULEVARD,YELLOWSTONE BOULEVARD,DARTMOUTH STREET,DANE PLACE,DARTMOUTH STREET,DANE PLACE,ADDRESS,FOREST HILLS,YELLOWSTONE BOULEVARD,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-22T19:04:15.000,06 QUEENS,4031890007,QUEENS,1024363,201926,ONLINE,Unspecified,QUEENS,40.72082600166475,-73.85528911907957,"{'latitude': '40.72082600166475', 'longitude': '-73.85528911907957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899055,2023-09-22T19:03:56.000,2023-09-22T21:37:52.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10009,20 AVENUE D,AVENUE D,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,ADDRESS,NEW YORK,AVENUE D,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T21:37:56.000,03 MANHATTAN,1003560001,MANHATTAN,990295,201851,ONLINE,Unspecified,MANHATTAN,40.7207090226164,-73.97819222319721,"{'latitude': '40.7207090226164', 'longitude': '-73.97819222319721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900474,2023-09-22T19:03:47.000,2023-09-22T19:33:37.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11232,4200 5 AVENUE,5 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:33:40.000,07 BROOKLYN,,BROOKLYN,982653,175907,ONLINE,Sunset Park,BROOKLYN,40.649500597233825,-74.00575514447839,"{'latitude': '40.649500597233825', 'longitude': '-74.00575514447839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894986,2023-09-22T19:03:38.000,2023-09-22T20:30:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,1221 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,SHERIDAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T20:30:42.000,04 BRONX,2024570029,BRONX,1007430,243346,ONLINE,Unspecified,BRONX,40.83457348888115,-73.91623333910994,"{'latitude': '40.83457348888115', 'longitude': '-73.91623333910994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899180,2023-09-22T19:03:27.000,2023-09-22T19:22:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,2400 WALTON AVENUE,WALTON AVENUE,EAST  184 STREET,EAST FORDHAM ROAD,EAST  184 STREET,EAST FORDHAM ROAD,ADDRESS,BRONX,WALTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:22:55.000,05 BRONX,2031840012,BRONX,1011599,253005,MOBILE,Unspecified,BRONX,40.8610726526304,-73.90112824093595,"{'latitude': '40.8610726526304', 'longitude': '-73.90112824093595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896345,2023-09-22T19:03:04.000,2023-09-22T19:40:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,975 EAST  181 STREET,EAST  181 STREET,VYSE AVENUE,BRYANT AVENUE,VYSE AVENUE,BRYANT AVENUE,ADDRESS,BRONX,EAST  181 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:40:50.000,06 BRONX,2031340035,BRONX,1017597,246988,ONLINE,Unspecified,BRONX,40.84453717246229,-73.87947430159765,"{'latitude': '40.84453717246229', 'longitude': '-73.87947430159765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899187,2023-09-22T19:02:52.000,2023-09-22T19:45:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1420 CLAY AVENUE,CLAY AVENUE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,CLAY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T19:45:51.000,04 BRONX,2028870088,BRONX,1009792,244407,ONLINE,Unspecified,BRONX,40.83747910996361,-73.90769363386275,"{'latitude': '40.83747910996361', 'longitude': '-73.90769363386275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899095,2023-09-22T19:02:50.000,2023-09-22T19:17:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,204 WEST   23 STREET,WEST   23 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:17:53.000,04 MANHATTAN,1007720047,MANHATTAN,985315,210447,ONLINE,Unspecified,MANHATTAN,40.744304932835696,-73.9961565743987,"{'latitude': '40.744304932835696', 'longitude': '-73.9961565743987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58897136,2023-09-22T19:02:45.000,2023-09-23T14:36:04.000,DSNY,Department of Sanitation,Dead Animal,Bird,Sidewalk,11375,102-01 67 DRIVE,67 DRIVE,QUEENS BOULEVARD,YELLOWSTONE BOULEVARD,QUEENS BOULEVARD,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,67 DRIVE,Closed,The Department of Sanitation removed the items.,2023-09-23T04:17:39.000,06 QUEENS,4021350001,QUEENS,1025517,203942,PHONE,Unspecified,QUEENS,40.7263541174717,-73.85111361747512,"{'latitude': '40.7263541174717', 'longitude': '-73.85111361747512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900336,2023-09-22T19:02:43.000,2023-09-22T19:24:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,104-21 48 AVENUE,48 AVENUE,104 STREET,108 STREET,104 STREET,108 STREET,ADDRESS,CORONA,48 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T19:24:55.000,04 QUEENS,4019910079,QUEENS,1023384,210806,MOBILE,Unspecified,QUEENS,40.74520377249032,-73.85876928464565,"{'latitude': '40.74520377249032', 'longitude': '-73.85876928464565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
