unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58899552,2023-09-22T16:38:47.000,2023-09-23T04:41:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11435,82-11 138 STREET,138 STREET,82 AVENUE,HOOVER AVENUE,82 AVENUE,HOOVER AVENUE,ADDRESS,JAMAICA,138 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T04:41:54.000,08 QUEENS,4096710231,QUEENS,1033906,199610,PHONE,Unspecified,QUEENS,40.714420732351186,-73.82087914888758,"{'latitude': '40.714420732351186', 'longitude': '-73.82087914888758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900822,2023-09-22T16:38:27.000,2023-10-01T14:15:54.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10455,526 TINTON AVENUE,TINTON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,01 BRONX,2025820034,BRONX,1010135,235194,PHONE,Unspecified,BRONX,40.81219105854694,-73.90648960775535,"{'latitude': '40.81219105854694', 'longitude': '-73.90648960775535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902055,2023-09-22T16:38:26.000,2023-09-22T16:41:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10000,CENTRAL PARK,CENTRAL PARK,79 ST TRANSVERSE,BRIDLE PATH,79 ST TRANSVERSE,BRIDLE PATH,UNRECOGNIZED,NEW YORK,CENTRAL PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T16:41:01.000,64 MANHATTAN,1011110001,MANHATTAN,993877,224317,ONLINE,Unspecified,MANHATTAN,40.7823693296991,-73.96523773584458,"{'latitude': '40.7823693296991', 'longitude': '-73.96523773584458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896159,2023-09-22T16:38:19.000,2023-09-22T16:52:25.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,222 EAST   37 STREET,EAST   37 STREET,LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,ADDRESS,BROOKLYN,EAST   37 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T16:52:31.000,17 BROOKLYN,3048730026,BROOKLYN,1000089,176776,PHONE,Unspecified,BROOKLYN,40.651871792595706,-73.94291861014997,"{'latitude': '40.651871792595706', 'longitude': '-73.94291861014997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895504,2023-09-22T16:38:14.000,2023-11-08T15:23:05.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10024,RIVERSIDE DRIVE,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST   83 STREET,RIVERSIDE DRIVE,WEST   83 STREET,INTERSECTION,,,Closed,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.,2023-11-08T15:23:10.000,07 MANHATTAN,,MANHATTAN,989472,226256,PHONE,Unspecified,MANHATTAN,40.787695067907215,-73.9811423017861,"{'latitude': '40.787695067907215', 'longitude': '-73.9811423017861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901638,2023-09-22T16:38:06.000,2023-09-22T23:21:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10312,758 ARTHUR KILL ROAD,ARTHUR KILL ROAD,RIDGEWOOD AVENUE,GETZ AVENUE,RIDGEWOOD AVENUE,GETZ AVENUE,ADDRESS,STATEN ISLAND,ARTHUR KILL ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T23:21:50.000,03 STATEN ISLAND,5055330127,STATEN ISLAND,938095,143459,ONLINE,Unspecified,STATEN ISLAND,40.560317492659706,-74.16610786516634,"{'latitude': '40.560317492659706', 'longitude': '-74.16610786516634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898068,2023-09-22T16:37:41.000,2023-09-25T12:35:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10018,WEST   37 STREET,WEST   37 STREET,10 AVENUE,AMTRAK RR,,,BLOCKFACE,MANHATTAN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-25T12:35:00.000,04 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,N/A,,,,,,
58902221,2023-09-22T16:37:39.000,2023-10-03T20:32:13.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10460,1796 VYSE AVENUE,VYSE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,03 BRONX,2029980014,BRONX,1015941,244452,PHONE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899449,2023-09-22T16:37:39.000,2023-10-03T20:32:10.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10460,1796 VYSE AVENUE,VYSE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,03 BRONX,2029980014,BRONX,1015941,244452,PHONE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899379,2023-09-22T16:37:39.000,2023-10-03T20:32:12.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10460,1796 VYSE AVENUE,VYSE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,03 BRONX,2029980014,BRONX,1015941,244452,PHONE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
