unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date
58902481,2023-09-22T14:43:17.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10461,1511 WILKINSON AVENUE,WILKINSON AVENUE,EASTCHESTER ROAD,BASSETT AVENUE,EASTCHESTER ROAD,BASSETT AVENUE,ADDRESS,BRONX,WILKINSON AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-25T13:49:24.000,11 BRONX,2042190068,BRONX,1027778,250010,PHONE,Unspecified,BRONX,40.85278733955531,-73.84265767543496,"{'latitude': '40.85278733955531', 'longitude': '-73.84265767543496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58897820,2023-09-22T14:43:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,2975 TIBBETT AVENUE,TIBBETT AVENUE,DEAD END,WEST  230 STREET,DEAD END,WEST  230 STREET,ADDRESS,BRONX,TIBBETT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T16:56:37.000,08 BRONX,2057160725,BRONX,1009167,259668,ONLINE,Unspecified,BRONX,40.87936774027384,-73.90989559266617,"{'latitude': '40.87936774027384', 'longitude': '-73.90989559266617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T16:56:34.000,,,,,,,
58894346,2023-09-22T14:43:03.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10016,491 SECOND AVENUE,SECOND AVENUE,EAST   27 STREET,EAST   28 STREET,EAST   27 STREET,EAST   28 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-22T21:57:08.000,06 MANHATTAN,1009080032,MANHATTAN,990114,209148,PHONE,Unspecified,MANHATTAN,40.74073762184435,-73.978838834535,"{'latitude': '40.74073762184435', 'longitude': '-73.978838834535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-14T13:17:09.000,,,,,,,
58893111,2023-09-22T14:42:58.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,11366,179-02 UNION TURNPIKE,UNION TURNPIKE,179 STREET,180 STREET,179 STREET,180 STREET,ADDRESS,FRESH MEADOWS,UNION TURNPIKE,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-11-26T04:00:45.000,08 QUEENS,4072290007,QUEENS,1042753,204086,ONLINE,Unspecified,QUEENS,40.72665216011864,-73.7889271517786,"{'latitude': '40.72665216011864', 'longitude': '-73.7889271517786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-26T04:00:41.000,,,,,,,
58899991,2023-09-22T14:42:48.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10032,541 WEST  159 STREET,WEST  159 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  159 STREET,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-23T05:49:05.000,12 MANHATTAN,1021180055,MANHATTAN,1000230,243350,MOBILE,Unspecified,MANHATTAN,40.83460043053088,-73.94225230043041,"{'latitude': '40.83460043053088', 'longitude': '-73.94225230043041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T05:49:05.000,,,,,,,
58895807,2023-09-22T14:42:27.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Street,11205,FLUSHING AVENUE,FLUSHING AVENUE,FLUSHING AVENUE,SPENCER STREET,FLUSHING AVENUE,SPENCER STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T07:47:52.000,03 BROOKLYN,,BROOKLYN,996430,193977,PHONE,Unspecified,BROOKLYN,40.69909044367837,-73.95607401194755,"{'latitude': '40.69909044367837', 'longitude': '-73.95607401194755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T07:47:49.000,,,,,,,
58895926,2023-09-22T14:42:13.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10003,5 AVENUE,5 AVENUE,5 AVENUE,WEST   15 STREET,5 AVENUE,WEST   15 STREET,INTERSECTION,,,Closed,See notes for information.,2023-09-22T14:52:37.000,05 MANHATTAN,,MANHATTAN,986157,207673,UNKNOWN,Unspecified,MANHATTAN,40.73669085103913,-73.99311870885126,"{'latitude': '40.73669085103913', 'longitude': '-73.99311870885126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T14:52:34.000,"5 AVENUE AND WEST   15 STREET, MANHATTAN, NY, 10003",,,,,,
58893956,2023-09-22T14:42:13.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T14:51:19.000,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T14:51:15.000,,,,,,,
58899220,2023-09-22T14:42:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,100 CLINTON STREET,CLINTON STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,ADDRESS,NEW YORK,CLINTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T14:59:52.000,03 MANHATTAN,1003480038,MANHATTAN,988280,200969,ONLINE,Unspecified,MANHATTAN,40.71828929235526,-73.9854620100421,"{'latitude': '40.71828929235526', 'longitude': '-73.9854620100421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T14:59:49.000,,,,,,,
58900931,2023-09-22T14:42:06.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10040,11 FORT GEORGE HILL,FORT GEORGE HILL,,,,,ADDRESS,NEW YORK,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-22T00:00:00.000,12 MANHATTAN,1021700129,MANHATTAN,1004217,251675,UNKNOWN,Unspecified,MANHATTAN,40.8574419860873,-73.92781950167755,"{'latitude': '40.8574419860873', 'longitude': '-73.92781950167755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T14:42:06.000,,,,,,,
