unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58899915,2023-09-22T13:03:49.000,2023-09-26T14:03:10.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Noise,Street,10023,15 WEST   72 STREET,WEST   72 STREET,CENTRAL PARK EXIT WEST   72 ST,COLUMBUS AVENUE,CENTRAL PARK EXIT WEST   72 ST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   72 STREET,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-23T05:50:19.000,07 MANHATTAN,1011250024,MANHATTAN,990592,222254,ONLINE,Unspecified,MANHATTAN,40.77670990781583,-73.97710153327209,"{'latitude': '40.77670990781583', 'longitude': '-73.97710153327209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902357,2023-09-22T13:03:45.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11417,103-44 96 STREET,96 STREET,103 AVENUE,LIBERTY AVENUE,103 AVENUE,LIBERTY AVENUE,ADDRESS,OZONE PARK,96 STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-11-13T19:26:29.000,10 QUEENS,4091180095,QUEENS,1027611,187651,PHONE,Unspecified,QUEENS,40.681629207851834,-73.84366363092886,"{'latitude': '40.681629207851834', 'longitude': '-73.84366363092886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901166,2023-09-22T13:03:45.000,2023-09-22T13:04:53.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T13:04:57.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895667,2023-09-22T13:03:33.000,2023-09-26T11:03:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11203,AVENUE D,AVENUE D,AVENUE D,EAST   45 STREET,AVENUE D,EAST   45 STREET,INTERSECTION,,,Closed,The Department of Sanitation cleaned the location.,2023-09-26T10:58:48.000,17 BROOKLYN,,BROOKLYN,1002519,173122,PHONE,Unspecified,BROOKLYN,40.64183767550585,-73.9341711522728,"{'latitude': '40.64183767550585', 'longitude': '-73.9341711522728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898076,2023-09-22T13:03:31.000,2023-09-22T13:04:35.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T13:04:38.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899569,2023-09-22T13:03:29.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11249,KENT AVENUE,KENT AVENUE,KENT AVENUE,WALLABOUT STREET,KENT AVENUE,WALLABOUT STREET,INTERSECTION,,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-24T12:07:37.000,01 BROOKLYN,,BROOKLYN,995203,194008,PHONE,Unspecified,BROOKLYN,40.69917713518219,-73.9604990173317,"{'latitude': '40.69917713518219', 'longitude': '-73.9604990173317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893188,2023-09-22T13:03:22.000,2023-09-22T14:19:46.000,DOT,Department of Transportation,Street Sign - Missing,Other/Unknown,Street,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.,2023-09-22T14:19:44.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897880,2023-09-22T13:03:10.000,2023-09-22T15:01:02.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10301,150 RICHMOND TERRACE,RICHMOND TERRACE,HAMILTON AVENUE,STUYVESANT PLACE,HAMILTON AVENUE,STUYVESANT PLACE,ADDRESS,STATEN ISLAND,RICHMOND TERRACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T15:01:05.000,01 STATEN ISLAND,5000120001,STATEN ISLAND,962630,174576,ONLINE,Unspecified,STATEN ISLAND,40.64582104501416,-74.07790818921247,"{'latitude': '40.64582104501416', 'longitude': '-74.07790818921247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892712,2023-09-22T13:03:06.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,10472,1206 NOBLE AVENUE,NOBLE AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,NOBLE AVENUE,In Progress,,,09 BRONX,2037600009,BRONX,1020294,241620,ONLINE,Unspecified,BRONX,40.829792987533665,-73.86975542498945,"{'latitude': '40.829792987533665', 'longitude': '-73.86975542498945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898435,2023-09-22T13:02:41.000,2023-09-23T07:21:37.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11373,76-11 WOODSIDE AVENUE,WOODSIDE AVENUE,76 STREET,77 STREET,76 STREET,77 STREET,ADDRESS,ELMHURST,WOODSIDE AVENUE,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-23T07:21:37.000,04 QUEENS,4014960041,QUEENS,1015098,210152,PHONE,Unspecified,QUEENS,40.74344149351076,-73.88867559786488,"{'latitude': '40.74344149351076', 'longitude': '-73.88867559786488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895395,2023-09-22T13:02:37.000,,DOHMH,Department of Health and Mental Hygiene,Indoor Sewage,Sewage Leak,Commercial Building,10027,286 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,WEST  124 STREET,WEST  125 STREET,WEST  124 STREET,WEST  125 STREET,ADDRESS,NEW YORK,LENOX AVENUE,In Progress,,,10 MANHATTAN,1017220003,MANHATTAN,999260,233422,PHONE,Unspecified,MANHATTAN,40.807352581296065,-73.94577984246904,"{'latitude': '40.807352581296065', 'longitude': '-73.94577984246904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897887,2023-09-22T13:02:17.000,2023-10-12T07:09:48.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10457,2082 HUGHES AVENUE,HUGHES AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,06 BRONX,2030800019,BRONX,1014490,248433,PHONE,Unspecified,BRONX,40.84851445607355,-73.89069736881176,"{'latitude': '40.84851445607355', 'longitude': '-73.89069736881176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896069,2023-09-22T13:02:15.000,2023-09-22T13:11:27.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10004,1 BROADWAY,BROADWAY,BATTERY PLACE,MORRIS STREET,BATTERY PLACE,MORRIS STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:11:30.000,01 MANHATTAN,1000130001,MANHATTAN,980341,196049,ONLINE,Unspecified,MANHATTAN,40.70478511677803,-74.01409863291204,"{'latitude': '40.70478511677803', 'longitude': '-74.01409863291204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896621,2023-09-22T13:02:14.000,2023-10-26T17:00:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11374,65-61 SAUNDERS STREET,SAUNDERS STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-26T00:00:00.000,06 QUEENS,4030860040,QUEENS,1023713,204320,PHONE,Unspecified,QUEENS,40.727399866110204,-73.85762000453174,"{'latitude': '40.727399866110204', 'longitude': '-73.85762000453174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896720,2023-09-22T13:02:06.000,2023-09-22T13:48:47.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10026,46 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  112 STREET,WEST  113 STREET,WEST  112 STREET,WEST  113 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:48:34.000,10 MANHATTAN,1018220024,MANHATTAN,997410,230827,MOBILE,Unspecified,MANHATTAN,40.80023296951493,-73.95246762516594,"{'latitude': '40.80023296951493', 'longitude': '-73.95246762516594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
