unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date
58898451,2023-09-22T11:36:05.000,2023-09-25T07:42:23.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11203,620 MAPLE STREET,MAPLE STREET,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,MAPLE STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T12:36:26.000,09 BROOKLYN,3047990036,BROOKLYN,1000759,180266,ONLINE,Unspecified,BROOKLYN,40.66144985168719,-73.94049548715554,"{'latitude': '40.66144985168719', 'longitude': '-73.94049548715554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892711,2023-09-22T11:36:02.000,2023-09-22T15:43:49.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10035,2400 2 AVENUE,2 AVENUE,EAST 123 STREET,EAST 124 STREET,EAST  123 STREET,EAST  124 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-22T11:36:02.000,11 MANHATTAN,1017970001,MANHATTAN,1002403,231268,MOBILE,Unspecified,MANHATTAN,40.80143454654757,-73.93443230896085,"{'latitude': '40.80143454654757', 'longitude': '-73.93443230896085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897425,2023-09-22T11:35:53.000,2023-09-22T12:36:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11102,30-85 VERNON BOULEVARD,VERNON BOULEVARD,30 DRIVE,31 AVENUE,30 DRIVE,31 AVENUE,ADDRESS,ASTORIA,VERNON BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T12:36:00.000,01 QUEENS,4005047501,QUEENS,1002301,219771,MOBILE,Unspecified,QUEENS,40.76987856811654,-73.93483162139626,"{'latitude': '40.76987856811654', 'longitude': '-73.93483162139626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894089,2023-09-22T11:35:46.000,2023-09-22T11:35:46.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11208,2858 LINDEN BOULEVARD,LINDEN BOULEVARD,EMERALD STREET,AMBER STREET,EMERALD STREET,AMBER STREET,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-22T11:35:46.000,05 BROOKLYN,3044967501,BROOKLYN,1023451,183423,PHONE,Unspecified,BROOKLYN,40.67004371682641,-73.85868691048096,"{'latitude': '40.67004371682641', 'longitude': '-73.85868691048096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898982,2023-09-22T11:35:46.000,2023-09-22T11:35:46.000,DOB,Department of Buildings,General Construction/Plumbing,Debris - Excessive,,11215,474 PROSPECT AVENUE,PROSPECT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T00:00:00.000,07 BROOKLYN,3008700034,BROOKLYN,989155,179428,UNKNOWN,Unspecified,BROOKLYN,40.65916375845946,-73.98232118161292,"{'latitude': '40.65916375845946', 'longitude': '-73.98232118161292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901298,2023-09-22T11:35:39.000,2023-09-25T12:04:42.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11211,176 NORTH    1 STREET,NORTH    1 STREET,BEDFORD AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,NORTH    1 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T14:31:55.000,01 BROOKLYN,3023810009,BROOKLYN,995287,199603,ONLINE,Unspecified,BROOKLYN,40.71453398317504,-73.96018690826594,"{'latitude': '40.71453398317504', 'longitude': '-73.96018690826594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892634,2023-09-22T11:35:23.000,2023-09-22T16:43:54.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Vacant Lot,11360,214-45 29 AVENUE,29 AVENUE,214 PLACE,215 STREET,214 PLACE,215 STREET,ADDRESS,BAYSIDE,29 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T16:43:57.000,11 QUEENS,4060160065,QUEENS,1047127,222048,PHONE,Unspecified,QUEENS,40.775923132163804,-73.77297832282053,"{'latitude': '40.775923132163804', 'longitude': '-73.77297832282053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902332,2023-09-22T11:35:17.000,2023-09-22T11:40:29.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11416,97-12 105 STREET,105 STREET,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,ADDRESS,OZONE PARK,105 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T11:40:32.000,09 QUEENS,4094060012,QUEENS,1028938,189942,PHONE,Unspecified,QUEENS,40.68791086896859,-73.83886400105031,"{'latitude': '40.68791086896859', 'longitude': '-73.83886400105031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898207,2023-09-22T11:35:12.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11361,200-08 39 AVENUE,39 AVENUE,FRANCIS LEWIS BOULEVARD,203 STREET,FRANCIS LEWIS BOULEVARD,203 STREET,ADDRESS,BAYSIDE,39 AVENUE,In Progress,,,11 QUEENS,4062020065,QUEENS,1043886,217078,UNKNOWN,Unspecified,QUEENS,40.76230427598094,-73.78472422466186,"{'latitude': '40.76230427598094', 'longitude': '-73.78472422466186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891788,2023-09-22T11:35:00.000,2023-09-22T13:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11236,1970 RALPH AVENUE,RALPH AVENUE,BERGEN AVE,AVENUE J,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-22T13:30:00.000,18 BROOKLYN,3077630045,BROOKLYN,1006921,168603,PHONE,Unspecified,BROOKLYN,40.62942381335265,-73.91832457796515,"{'latitude': '40.62942381335265', 'longitude': '-73.91832457796515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901465,2023-09-22T11:35:00.000,2023-09-25T12:23:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11204,2142 63 STREET,63 STREET,21 AVE,BAY PKWY,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-25T12:23:00.000,11 BROOKLYN,3055430021,BROOKLYN,989400,163608,ONLINE,Unspecified,BROOKLYN,40.615741095396224,-73.98145021628086,"{'latitude': '40.615741095396224', 'longitude': '-73.98145021628086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58893170,2023-09-22T11:35:00.000,2023-09-22T14:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10466,4368 RICHARDSON AVENUE,RICHARDSON AVENUE,E 237 ST,NEREID AVE,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-22T14:25:00.000,12 BRONX,2050420010,BRONX,1024073,266487,PHONE,Unspecified,BRONX,40.898029051237934,-73.85595231288401,"{'latitude': '40.898029051237934', 'longitude': '-73.85595231288401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
