unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,bridge_highway_direction,road_ramp
58893805,2023-09-22T09:53:45.000,2023-09-26T20:25:35.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11212,1076 CLARKSON AVENUE,CLARKSON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,17 BROOKLYN,3046490001,BROOKLYN,1005784,179608,PHONE,Unspecified,BROOKLYN,40.659632992328255,-73.92238564725226,"{'latitude': '40.659632992328255', 'longitude': '-73.92238564725226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58895377,2023-09-22T09:53:39.000,2023-10-27T09:56:24.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11106,31-19 33 STREET,33 STREET,ADDRESS,ASTORIA,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-27T09:56:29.000,01 QUEENS,4006230033,QUEENS,1005746,217237,ONLINE,Unspecified,QUEENS,40.7629156910479,-73.92240246673165,"{'latitude': '40.7629156910479', 'longitude': '-73.92240246673165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,33 STREET,,,,,,,
58902136,2023-09-22T09:53:37.000,2023-09-25T09:26:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10007,100 BARCLAY STREET,BARCLAY STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,01 MANHATTAN,1000847501,MANHATTAN,980727,199443,PHONE,Unspecified,MANHATTAN,40.71410100427898,-74.01270821842058,"{'latitude': '40.71410100427898', 'longitude': '-74.01270821842058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58893863,2023-09-22T09:53:36.000,,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10452,1503 WALTON AVENUE,WALTON AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-22T00:00:00.000,04 BRONX,2028450001,BRONX,1007938,245962,PHONE,Unspecified,BRONX,40.841752298115495,-73.9143883173933,"{'latitude': '40.841752298115495', 'longitude': '-73.9143883173933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58894216,2023-09-22T09:53:30.000,2023-10-04T10:31:53.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,10019,224 WEST   57 STREET,WEST   57 STREET,ADDRESS,NEW YORK,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-04T10:32:00.000,05 MANHATTAN,1010287502,MANHATTAN,989493,218333,ONLINE,Unspecified,MANHATTAN,40.76594850631283,-73.98107264871078,"{'latitude': '40.76594850631283', 'longitude': '-73.98107264871078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,BROADWAY,7 AVENUE,BROADWAY,WEST   57 STREET,,,,,,,
58895415,2023-09-22T09:53:28.000,2023-09-22T09:53:28.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11105,23-17 31 STREET,31 STREET,ADDRESS,ASTORIA,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-22T09:53:28.000,01 QUEENS,4008350032,QUEENS,1008238,221248,ONLINE,Unspecified,QUEENS,40.77391842864414,-73.91339238760888,"{'latitude': '40.77391842864414', 'longitude': '-73.91339238760888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23 AVENUE,23 ROAD,23 AVENUE,23 ROAD,31 STREET,,,,,,,
58897157,2023-09-22T09:53:18.000,2023-09-22T11:01:53.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,10025,2554 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,N/A,2023-09-22T11:01:52.000,07 MANHATTAN,1012430042,MANHATTAN,992025,228719,PHONE,Unspecified,MANHATTAN,40.79445346225373,-73.9719200517746,"{'latitude': '40.79445346225373', 'longitude': '-73.9719200517746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   95 STREET,WEST   96 STREET,WEST   95 STREET,WEST   96 STREET,BROADWAY,,,,,,,
58900211,2023-09-22T09:53:02.000,2023-09-22T12:13:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11106,30-15 35 AVENUE,35 AVENUE,ADDRESS,ASTORIA,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T12:13:41.000,01 QUEENS,4006070001,QUEENS,1003893,215596,MOBILE,Unspecified,QUEENS,40.758415879778454,-73.92909632763435,"{'latitude': '40.758415879778454', 'longitude': '-73.92909632763435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30 STREET,31 STREET,30 STREET,31 STREET,35 AVENUE,,,,,,,
58895615,2023-09-22T09:52:44.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11226,CORTELYOU ROAD,CORTELYOU ROAD,INTERSECTION,BROOKLYN,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-22T11:32:27.000,14 BROOKLYN,,BROOKLYN,994364,173034,PHONE,Unspecified,BROOKLYN,40.64160920128461,-73.9635562623705,"{'latitude': '40.64160920128461', 'longitude': '-73.9635562623705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORTELYOU ROAD,EAST   16 STREET,CORTELYOU ROAD,EAST 16 STREET,,,,,,,,
58898324,2023-09-22T09:52:26.000,2023-09-28T15:43:05.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11217,415 DEGRAW STREET,DEGRAW STREET,ADDRESS,BROOKLYN,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-28T15:43:10.000,06 BROOKLYN,3004160068,BROOKLYN,986983,187670,PHONE,Unspecified,BROOKLYN,40.6817871417293,-73.9901462585583,"{'latitude': '40.6817871417293', 'longitude': '-73.9901462585583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,DEGRAW STREET,,,,,,,
