unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,taxi_pick_up_location,due_date,road_ramp,taxi_company_borough
58897100,2023-09-22T02:29:17.000,2023-09-22T03:06:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10451,891 BROOK AVENUE,BROOK AVENUE,3 AVENUE,EAST  161 STREET,3 AVENUE,EAST  161 STREET,ADDRESS,BRONX,BROOK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T03:06:41.000,03 BRONX,BRONX,1009028,239157,PHONE,Unspecified,BRONX,40.8230715489424,-73.91047404621315,"{'latitude': '40.8230715489424', 'longitude': '-73.91047404621315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58901022,2023-09-22T02:29:14.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10031,3609 BROADWAY,BROADWAY,WEST  148 STREET,WEST  149 STREET,WEST  148 STREET,WEST  149 STREET,ADDRESS,NEW YORK,BROADWAY,In Progress,,,09 MANHATTAN,MANHATTAN,998406,241178,MOBILE,Unspecified,MANHATTAN,40.8286420274815,-73.94884835932334,"{'latitude': '40.8286420274815', 'longitude': '-73.94884835932334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020950033,,,,,,,,
58893268,2023-09-22T02:28:35.000,2023-09-22T05:40:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10305,19 ST MARYS AVENUE,ST MARYS AVENUE,BAY STREET,ORMOND PLACE,BAY STREET,ORMOND PLACE,ADDRESS,STATEN ISLAND,ST MARYS AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T05:40:34.000,01 STATEN ISLAND,STATEN ISLAND,965294,163720,MOBILE,Unspecified,STATEN ISLAND,40.61602973133106,-74.06827791332002,"{'latitude': '40.61602973133106', 'longitude': '-74.06827791332002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5028450049,,,,,,,,
58895613,2023-09-22T02:28:34.000,2023-09-22T03:48:48.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-22T03:48:57.000,Unspecified BROOKLYN,BROOKLYN,998414,174307,MOBILE,Unspecified,BROOKLYN,40.64509776111472,-73.94896024296865,"{'latitude': '40.64509776111472', 'longitude': '-73.94896024296865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2,2 5 to Flatbush,Platform,,,,,
58892126,2023-09-22T02:28:33.000,2023-09-22T02:50:59.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,42-18 31 AVENUE,31 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,31 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T02:51:03.000,01 QUEENS,QUEENS,1007721,216342,ONLINE,Unspecified,QUEENS,40.76045412454783,-73.91527612392564,"{'latitude': '40.76045412454783', 'longitude': '-73.91527612392564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4006920043,,,,,,,,
58892343,2023-09-22T02:28:24.000,2023-09-22T02:30:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11102,30-41 14 STREET,14 STREET,30 ROAD,30 DRIVE,30 ROAD,30 DRIVE,ADDRESS,ASTORIA,14 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T02:30:16.000,01 QUEENS,QUEENS,1003430,219741,ONLINE,Unspecified,QUEENS,40.769793848481186,-73.93075575167943,"{'latitude': '40.769793848481186', 'longitude': '-73.93075575167943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4005350027,,,,,,,,
58902072,2023-09-22T02:26:09.000,2023-09-22T02:50:46.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11234,EAST   46 STREET,EAST   46 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T02:50:50.000,Unspecified BROOKLYN,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,,,
58894537,2023-09-22T02:26:00.000,2023-09-26T02:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,11249,60 BROADWAY,BROADWAY,WYTHE AVE,BERRY ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T02:00:00.000,01 BROOKLYN,BROOKLYN,993558,198162,ONLINE,Unspecified,BROOKLYN,40.71058076963279,-73.9664258153253,"{'latitude': '40.71058076963279', 'longitude': '-73.9664258153253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3021307501,,,,N/A,,,,
58894599,2023-09-22T02:24:53.000,2023-09-22T03:22:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11372,37-60 93 STREET,93 STREET,ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,93 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T03:22:13.000,03 QUEENS,QUEENS,1019201,212373,MOBILE,Unspecified,QUEENS,40.74952231092345,-73.8738571500711,"{'latitude': '40.74952231092345', 'longitude': '-73.8738571500711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4014800034,,,,,,,,
58896085,2023-09-22T02:24:29.000,2023-09-22T03:06:41.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222,142 FRANKLIN STREET,FRANKLIN STREET,MILTON STREET,GREENPOINT AVENUE,MILTON STREET,GREENPOINT AVENUE,ADDRESS,BROOKLYN,FRANKLIN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T03:06:46.000,01 BROOKLYN,BROOKLYN,996011,205156,ONLINE,Unspecified,BROOKLYN,40.72977469149663,-73.95756556441302,"{'latitude': '40.72977469149663', 'longitude': '-73.95756556441302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3025630008,,,,,,,,
