unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date,road_ramp,taxi_company_borough
58884304,2023-09-21T22:44:09.000,2023-09-21T23:34:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11433,109-15 MERRICK BOULEVARD,MERRICK BOULEVARD,109 AVENUE,BEND,109 AVENUE,BEND,ADDRESS,JAMAICA,MERRICK BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:35:02.000,12 QUEENS,4102620011,QUEENS,1044106,193343,ONLINE,Unspecified,QUEENS,40.69715621916454,-73.78414119761082,"{'latitude': '40.69715621916454', 'longitude': '-73.78414119761082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889225,2023-09-21T22:44:00.000,2023-09-22T23:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10001,408 WEST   31 STREET,WEST   31 STREET,9 AVE,LINCOLN TUNNEL APPR,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-22T23:30:00.000,04 MANHATTAN,1007280042,MANHATTAN,984660,213189,ONLINE,Unspecified,MANHATTAN,40.75183108767336,-73.99852020419803,"{'latitude': '40.75183108767336', 'longitude': '-73.99852020419803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58885709,2023-09-21T22:43:56.000,2023-09-21T23:08:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11106,32-55 31 STREET,31 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,31 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:08:36.000,01 QUEENS,4006110011,QUEENS,1004828,216736,ONLINE,Unspecified,QUEENS,40.761542759777846,-73.92571784948397,"{'latitude': '40.761542759777846', 'longitude': '-73.92571784948397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886900,2023-09-21T22:43:50.000,2023-09-21T23:12:55.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10021,1417 2 AVENUE,2 AVENUE,EAST   73 STREET,EAST   74 STREET,EAST   73 STREET,EAST   74 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:12:59.000,08 MANHATTAN,1014280028,MANHATTAN,996017,219804,ONLINE,Unspecified,MANHATTAN,40.76997974269068,-73.95751828511808,"{'latitude': '40.76997974269068', 'longitude': '-73.95751828511808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881633,2023-09-21T22:43:47.000,2023-09-21T22:54:36.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10032,2145 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  166 STREET,WEST  167 STREET,WEST  166 STREET,WEST  167 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T22:54:40.000,12 MANHATTAN,1021110083,MANHATTAN,1001495,244885,ONLINE,Unspecified,MANHATTAN,40.8388111804014,-73.93767696356736,"{'latitude': '40.8388111804014', 'longitude': '-73.93767696356736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882984,2023-09-21T22:43:39.000,2023-09-21T22:56:39.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,52 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,COENTIES ALLEY,MILL LANE,ADDRESS,NEW YORK,STONE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T22:56:43.000,01 MANHATTAN,1000290026,MANHATTAN,981412,195905,ONLINE,Unspecified,MANHATTAN,40.70439027897919,-74.01023578489063,"{'latitude': '40.70439027897919', 'longitude': '-74.01023578489063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884888,2023-09-21T22:43:24.000,2023-09-22T05:13:38.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,1671 50 STREET,50 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,50 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T05:13:43.000,12 BROOKLYN,,BROOKLYN,988555,168628,MOBILE,Unspecified,BROOKLYN,40.62952039721967,-73.98449062010489,"{'latitude': '40.62952039721967', 'longitude': '-73.98449062010489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885651,2023-09-21T22:43:19.000,2023-09-21T23:15:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,88-16 146 STREET,146 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,ADDRESS,JAMAICA,146 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T23:15:36.000,12 QUEENS,4096870014,QUEENS,1036914,195939,ONLINE,Unspecified,QUEENS,40.70432733721859,-73.81005733343495,"{'latitude': '40.70432733721859', 'longitude': '-73.81005733343495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891543,2023-09-21T22:43:16.000,2023-09-27T08:00:39.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-26T10:31:23.000,Unspecified MANHATTAN,,MANHATTAN,987690,214615,ONLINE,Unspecified,MANHATTAN,40.75574443605485,-73.98758342283777,"{'latitude': '40.75574443605485', 'longitude': '-73.98758342283777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,1,Other,,,,,
58890860,2023-09-21T22:42:58.000,2023-09-21T23:08:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,18 STARR STREET,STARR STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,STARR STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:08:34.000,04 BROOKLYN,3031960013,BROOKLYN,1004292,194467,ONLINE,Unspecified,BROOKLYN,40.700421065299885,-73.92771902406629,"{'latitude': '40.700421065299885', 'longitude': '-73.92771902406629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
