unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
58973210,2023-09-30T09:47:00.000,2023-09-30T14:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11364,67-44 215 STREET,215 STREET,67 AVE,69 AVE,ADDRESS,OAKLAND GARDENS,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-30T14:15:00.000,11 QUEENS,4076260027,QUEENS,1050598,210185,ONLINE,Unspecified,QUEENS,40.74333698585657,-73.76056317894093,"{'latitude': '40.74333698585657', 'longitude': '-73.76056317894093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58976671,2023-09-30T09:46:59.000,2023-10-03T13:00:02.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,10314,83 ALBERTA AVENUE,ALBERTA AVENUE,VICTORY BOULEVARD,WILD AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T10:33:56.000,02 STATEN ISLAND,5026370009,STATEN ISLAND,931399,154084,ONLINE,Unspecified,STATEN ISLAND,40.58944358467599,-74.19028918683318,"{'latitude': '40.58944358467599', 'longitude': '-74.19028918683318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,VICTORY BOULEVARD,WILD AVENUE,ALBERTA AVENUE,,,,,,,
59453291,2023-09-30T09:46:41.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,10030,137 WEST  137 STREET,WEST  137 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,Closed,,2023-10-05T00:00:00.000,10 MANHATTAN,1020060011,MANHATTAN,1000563,236536,PHONE,Unspecified,MANHATTAN,40.8158973333669,-73.94106548939487,"{'latitude': '40.8158973333669', 'longitude': '-73.94106548939487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,WEST  137 STREET,,,,,,,
58972351,2023-09-30T09:46:25.000,2023-09-30T10:34:22.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10472,1317 HARROD AVENUE,HARROD AVENUE,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T10:34:26.000,09 BRONX,2038680060,BRONX,1019016,242597,ONLINE,Unspecified,BRONX,40.832479692406416,-73.87436839343361,"{'latitude': '40.832479692406416', 'longitude': '-73.87436839343361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  172 STREET,EAST  174 STREET,HARROD AVENUE,,,,,,,
59445333,2023-09-30T09:46:17.000,,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,10455,460 EAST  147 STREET,EAST  147 STREET,BERGEN AVENUE,BROOK AVENUE,ADDRESS,BRONX,In Progress,,,01 BRONX,2022910030,BRONX,1007310,235826,PHONE,Unspecified,BRONX,40.81393354712747,-73.91669283297651,"{'latitude': '40.81393354712747', 'longitude': '-73.91669283297651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,BERGEN AVENUE,BROOK AVENUE,EAST  147 STREET,,,,,,,
58977926,2023-09-30T09:46:15.000,2023-09-30T11:02:13.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,10004,7 BROADWAY,BROADWAY,BATTERY PLACE,MORRIS STREET,ADDRESS,NEW YORK,Closed,N/A,2023-09-30T11:02:17.000,01 MANHATTAN,1000130005,MANHATTAN,980393,196175,ONLINE,Unspecified,MANHATTAN,40.70513097992881,-74.01391115611803,"{'latitude': '40.70513097992881', 'longitude': '-74.01391115611803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,BATTERY PLACE,MORRIS STREET,BROADWAY,,,,,,,
58969197,2023-09-30T09:46:09.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,10454,5 LINCOLN AVENUE,LINCOLN AVENUE,AMTRAK-CONNECTING RAIL LINE,EAST  132 STREET,ADDRESS,BRONX,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-10-02T09:54:34.000,01 BRONX,2023160001,BRONX,1003593,233229,PHONE,Unspecified,BRONX,40.80681442589323,-73.93012844292622,"{'latitude': '40.80681442589323', 'longitude': '-73.93012844292622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building,AMTRAK-CONNECTING RAIL LINE,EAST  132 STREET,LINCOLN AVENUE,,,,,,,
59446032,2023-09-30T09:46:08.000,2023-10-08T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11214,2310 83 STREET,83 STREET,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-08T00:00:00.000,11 BROOKLYN,3068530009,BROOKLYN,987213,158602,PHONE,Unspecified,BROOKLYN,40.60200165324057,-73.98932976730265,"{'latitude': '40.60200165324057', 'longitude': '-73.98932976730265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,23 AVENUE,24 AVENUE,83 STREET,,,,,,,
59456930,2023-09-30T09:46:05.000,2023-10-08T00:00:00.000,HPD,Department of Housing Preservation and Development,Electric,Power Outage,11214,2310 83 STREET,83 STREET,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-08T00:00:00.000,11 BROOKLYN,3068530009,BROOKLYN,987213,158602,PHONE,Unspecified,BROOKLYN,40.60200165324057,-73.98932976730265,"{'latitude': '40.60200165324057', 'longitude': '-73.98932976730265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,23 AVENUE,24 AVENUE,83 STREET,,,,,,,
58974259,2023-09-30T09:46:03.000,2023-10-02T12:14:20.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11217,11 ST FELIX STREET,ST FELIX STREET,DEKALB AVENUE,FULTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-30T12:56:41.000,02 BROOKLYN,3020970032,BROOKLYN,990402,190386,ONLINE,Unspecified,BROOKLYN,40.68924022450325,-73.97781668724146,"{'latitude': '40.68924022450325', 'longitude': '-73.97781668724146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,DEKALB AVENUE,FULTON STREET,ST FELIX STREET,,,,,,,
