unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58888395,2023-09-21T20:10:32.000,2023-09-21T21:38:57.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11372,37-30 73 STREET,73 STREET,37 AVENUE,37 ROAD,37 AVENUE,37 ROAD,ADDRESS,JACKSON HEIGHTS,73 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T21:38:59.000,03 QUEENS,4012830016,QUEENS,1014015,211825,ONLINE,Unspecified,QUEENS,40.748037167137205,-73.89257652515568,"{'latitude': '40.748037167137205', 'longitude': '-73.89257652515568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58885538,2023-09-21T20:10:14.000,2023-09-21T20:39:37.000,NYPD,New York City Police Department,Drinking,In Public,Store/Commercial,11230,1508 AVENUE J,AVENUE J,EAST   15 STREET,BRIGHTON LINE,EAST   15 STREET,BRIGHTON LINE,ADDRESS,BROOKLYN,AVENUE J,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T20:39:41.000,14 BROOKLYN,3067170004,BROOKLYN,995062,167059,ONLINE,Unspecified,BROOKLYN,40.62520827050648,-73.9610507349241,"{'latitude': '40.62520827050648', 'longitude': '-73.9610507349241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889472,2023-09-21T20:10:13.000,2023-09-21T22:44:05.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11420,116-22 120 STREET,120 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,SOUTH OZONE PARK,120 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T22:44:10.000,10 QUEENS,4117120053,QUEENS,1034651,185492,ONLINE,Unspecified,QUEENS,40.6756659682548,-73.81829740402448,"{'latitude': '40.6756659682548', 'longitude': '-73.81829740402448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58883597,2023-09-21T20:10:12.000,2023-09-25T15:58:34.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11420,114-20 130 STREET,130 STREET,LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,ADDRESS,SOUTH OZONE PARK,130 STREET,Closed,This request required re-assignment to a new DOT unit.,2023-09-25T15:58:42.000,10 QUEENS,,QUEENS,1036567,187351,ONLINE,Unspecified,QUEENS,40.68075737488983,-73.81137554782622,"{'latitude': '40.68075737488983', 'longitude': '-73.81137554782622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58884071,2023-09-21T20:10:04.000,2023-09-21T20:41:39.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10453,2012 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,DAVIDSON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T20:41:42.000,05 BRONX,2028630013,BRONX,1009372,250078,MOBILE,Unspecified,BRONX,40.853045536179394,-73.90919022687966,"{'latitude': '40.853045536179394', 'longitude': '-73.90919022687966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889714,2023-09-21T20:09:48.000,2023-09-21T20:35:04.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11216,26 HALSEY STREET,HALSEY STREET,BEDFORD AVENUE,ARLINGTON PLACE,BEDFORD AVENUE,ARLINGTON PLACE,ADDRESS,BROOKLYN,HALSEY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T20:35:08.000,03 BROOKLYN,3018420020,BROOKLYN,997424,187565,MOBILE,Unspecified,BROOKLYN,40.68148955902202,-73.95250178684255,"{'latitude': '40.68148955902202', 'longitude': '-73.95250178684255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58888361,2023-09-21T20:09:13.000,2023-09-21T20:20:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,45-01 19 AVENUE,19 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,ASTORIA,19 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T20:20:32.000,80 QUEENS,,QUEENS,1012930,222075,MOBILE,Unspecified,QUEENS,40.77617434694599,-73.8964486140877,"{'latitude': '40.77617434694599', 'longitude': '-73.8964486140877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58883284,2023-09-21T20:09:06.000,2023-10-05T21:29:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10462,801 NEILL AVENUE,NEILL AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2042900008,BRONX,1021742,249105,PHONE,Unspecified,BRONX,40.85033108044979,-73.86448125859312,"{'latitude': '40.85033108044979', 'longitude': '-73.86448125859312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901527,2023-09-21T20:09:03.000,2023-09-21T20:09:03.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,10465,3277 GIEGERICH PLACE,GIEGERICH PLACE,,,,,ADDRESS,BRONX,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-21T00:00:00.000,10 BRONX,2055260119,BRONX,1039462,236730,UNKNOWN,Unspecified,BRONX,40.8162723334912,-73.80053251387123,"{'latitude': '40.8162723334912', 'longitude': '-73.80053251387123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58885964,2023-09-21T20:08:53.000,2023-09-28T10:39:05.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11375,102-35 64 ROAD,64 ROAD,,,,,ADDRESS,FOREST HILLS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 QUEENS,4021270027,QUEENS,1024997,205699,ONLINE,Unspecified,QUEENS,40.73117905732163,-73.85297907223207,"{'latitude': '40.73117905732163', 'longitude': '-73.85297907223207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58887091,2023-09-21T20:08:53.000,2023-09-28T10:39:06.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11375,102-35 64 ROAD,64 ROAD,,,,,ADDRESS,FOREST HILLS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,06 QUEENS,4021270027,QUEENS,1024997,205699,ONLINE,Unspecified,QUEENS,40.73117905732163,-73.85297907223207,"{'latitude': '40.73117905732163', 'longitude': '-73.85297907223207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58888590,2023-09-21T20:08:52.000,2023-09-29T15:03:30.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,ONLINE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58884643,2023-09-21T20:08:52.000,2023-09-29T15:03:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,ONLINE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889865,2023-09-21T20:08:52.000,2023-09-29T15:03:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,ONLINE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58884652,2023-09-21T20:08:52.000,2023-09-29T15:03:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10034,98 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006040,255774,ONLINE,Unspecified,MANHATTAN,40.868688186686455,-73.92121605195722,"{'latitude': '40.868688186686455', 'longitude': '-73.92121605195722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58885699,2023-09-21T20:08:50.000,2023-09-21T20:22:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,1365 LYMAN PLACE,LYMAN PLACE,EAST  169 STREET,FREEMAN STREET,EAST  169 STREET,FREEMAN STREET,ADDRESS,BRONX,LYMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T20:22:30.000,03 BRONX,2029700031,BRONX,1012879,241521,ONLINE,Unspecified,BRONX,40.829548409045366,-73.89654983563152,"{'latitude': '40.829548409045366', 'longitude': '-73.89654983563152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889133,2023-09-21T20:08:19.000,2023-09-22T12:02:42.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,11421,91-02 75 STREET,75 STREET,91 AVENUE,93 AVENUE,91 AVENUE,93 AVENUE,ADDRESS,WOODHAVEN,75 STREET,Closed,The Department of Sanitation removed the items.,2023-09-22T12:01:18.000,09 QUEENS,4089420017,QUEENS,1021637,189113,ONLINE,Unspecified,QUEENS,40.68566930828189,-73.86519450278368,"{'latitude': '40.68566930828189', 'longitude': '-73.86519450278368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58881800,2023-09-21T20:08:08.000,2023-09-21T20:38:27.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Park/Playground,10011,317 WEST   16 STREET,WEST   16 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   16 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T20:38:31.000,04 MANHATTAN,1007400024,MANHATTAN,983611,209391,PHONE,Unspecified,MANHATTAN,40.741406517380675,-74.00230595504043,"{'latitude': '40.741406517380675', 'longitude': '-74.00230595504043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58890957,2023-09-21T20:07:53.000,2023-09-21T22:40:23.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10301,150 RICHMOND TERRACE,RICHMOND TERRACE,HAMILTON AVENUE,STUYVESANT PLACE,HAMILTON AVENUE,STUYVESANT PLACE,ADDRESS,STATEN ISLAND,RICHMOND TERRACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T22:40:28.000,01 STATEN ISLAND,5000120001,STATEN ISLAND,962630,174576,ONLINE,Unspecified,STATEN ISLAND,40.64582104501416,-74.07790818921247,"{'latitude': '40.64582104501416', 'longitude': '-74.07790818921247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58881711,2023-09-21T20:07:51.000,2023-09-21T20:34:10.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11693,214 BEACH   96 STREET,BEACH   96 STREET,ROCKAWAY BEACH BOULEVARD,ROCKAWAY FREEWAY,ROCKAWAY BEACH BOULEVARD,ROCKAWAY FREEWAY,ADDRESS,FAR ROCKAWAY,BEACH   96 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T20:34:13.000,14 QUEENS,4161510006,QUEENS,1034759,152640,ONLINE,Unspecified,QUEENS,40.58549375599661,-73.81815391518558,"{'latitude': '40.58549375599661', 'longitude': '-73.81815391518558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58886669,2023-09-21T20:07:37.000,2023-09-21T20:43:09.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11238,680 WASHINGTON AVENUE,WASHINGTON AVENUE,BERGEN STREET,ST MARKS AVENUE,BERGEN STREET,ST MARKS AVENUE,ADDRESS,BROOKLYN,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T20:43:12.000,08 BROOKLYN,3011460033,BROOKLYN,994297,186231,MOBILE,Unspecified,BROOKLYN,40.677832133340736,-73.9637780198619,"{'latitude': '40.677832133340736', 'longitude': '-73.9637780198619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58881534,2023-09-21T20:07:37.000,2023-09-21T20:43:29.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11433,107-25 WATSON PLACE,WATSON PLACE,POLHEMUS AVENUE,DEAD END,POLHEMUS AVENUE,DEAD END,ADDRESS,JAMAICA,WATSON PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T20:43:33.000,12 QUEENS,4102520013,QUEENS,1044955,195006,PHONE,Unspecified,QUEENS,40.70171496853575,-73.78106447078815,"{'latitude': '40.70171496853575', 'longitude': '-73.78106447078815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
