unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,vehicle_type,bridge_highway_direction
58886129,2023-09-21T17:54:48.000,2023-10-13T12:48:58.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11215,532 10 STREET,10 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,10 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-21T17:54:48.000,06 BROOKLYN,3010180041,BROOKLYN,989078,182114,ONLINE,Unspecified,BROOKLYN,40.666536276579194,-73.98259678506366,"{'latitude': '40.666536276579194', 'longitude': '-73.98259678506366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882430,2023-09-21T17:54:47.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11201,175 REMSEN STREET,REMSEN STREET,CLINTON STREET,BOROUGH HALL PEDESTRIAN PATH,CLINTON STREET,BOROUGH HALL PEDESTRIAN PATH,ADDRESS,BROOKLYN,REMSEN STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T20:43:34.000,02 BROOKLYN,3002500007,BROOKLYN,986570,191867,MOBILE,Unspecified,BROOKLYN,40.693307061952666,-73.99163387121683,"{'latitude': '40.693307061952666', 'longitude': '-73.99163387121683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887591,2023-09-21T17:54:36.000,2023-11-13T07:27:36.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10024,220 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST   81 STREET,WEST   82 STREET,WEST   81 STREET,WEST   82 STREET,ADDRESS,NEW YORK,CENTRAL PARK WEST,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-13T07:27:40.000,07 MANHATTAN,1011960029,MANHATTAN,992196,224403,ONLINE,Unspecified,MANHATTAN,40.78260704798034,-73.97130757922224,"{'latitude': '40.78260704798034', 'longitude': '-73.97130757922224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","220 CENTRAL PARK WEST, MANHATTAN (NEW YORK), NY, 10024",,,,,,
58891586,2023-09-21T17:54:12.000,2023-09-23T14:22:44.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11238,420 LAFAYETTE AVENUE,LAFAYETTE AVENUE,CLASSON AVENUE,FRANKLIN AVENUE,CLASSON AVENUE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,LAFAYETTE AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T12:13:42.000,03 BROOKLYN,3019490023,BROOKLYN,995847,190330,ONLINE,Unspecified,BROOKLYN,40.689081057712364,-73.95818282331197,"{'latitude': '40.689081057712364', 'longitude': '-73.95818282331197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882422,2023-09-21T17:53:58.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Wash,Business,10010,401E 1 AVENUE,1 AVENUE,EAST   23 STREET,EAST   24 STREET,EAST   23 STREET,EAST   24 STREET,ADDRESS,NEW YORK,1 AVENUE,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-25T11:39:26.000,06 MANHATTAN,,MANHATTAN,990234,207817,PHONE,Unspecified,MANHATTAN,40.737084276668575,-73.97840697968198,"{'latitude': '40.737084276668575', 'longitude': '-73.97840697968198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891243,2023-09-21T17:53:53.000,2023-09-21T18:12:19.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11434,159-04 115 ROAD,115 ROAD,159 STREET,BEDELL STREET,159 STREET,BEDELL STREET,ADDRESS,JAMAICA,115 ROAD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T18:12:24.000,12 QUEENS,4121990004,QUEENS,1043324,189758,MOBILE,Unspecified,QUEENS,40.68732150594528,-73.78699275241226,"{'latitude': '40.68732150594528', 'longitude': '-73.78699275241226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887592,2023-09-21T17:53:48.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10024,214 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST   81 STREET,WEST   82 STREET,WEST   81 STREET,WEST   82 STREET,ADDRESS,NEW YORK,CENTRAL PARK WEST,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T10:58:36.000,07 MANHATTAN,,MANHATTAN,992147,224316,ONLINE,Unspecified,MANHATTAN,40.78236830001318,-73.9714846168658,"{'latitude': '40.78236830001318', 'longitude': '-73.9714846168658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","214 CENTRAL PARK WEST, MANHATTAN (NEW YORK), NY, 10024",,,,,,
58887779,2023-09-21T17:53:41.000,2023-09-25T09:41:01.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10457,EAST  178 STREET,EAST  178 STREET,EAST  178 STREET,WASHINGTON AVENUE,EAST  178 STREET,WASHINGTON AVENUE,INTERSECTION,,,Unspecified,The Department of Sanitation cleaned the location.,2023-09-21T17:53:49.000,06 BRONX,,BRONX,1012652,248358,ONLINE,Unspecified,BRONX,40.84831470683977,-73.89734114042031,"{'latitude': '40.84831470683977', 'longitude': '-73.89734114042031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889385,2023-09-21T17:53:17.000,2023-09-21T17:54:46.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,HUDSON STREET,HUDSON STREET,HUDSON STREET,NORTH MOORE STREET,HUDSON STREET,NORTH MOORE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T17:54:49.000,01 MANHATTAN,,MANHATTAN,981871,201575,PHONE,Unspecified,MANHATTAN,40.719953214596316,-74.00858231798425,"{'latitude': '40.719953214596316', 'longitude': '-74.00858231798425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888953,2023-09-21T17:53:03.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10023,20 WEST   76 STREET,WEST   76 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   76 STREET,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T10:57:45.000,07 MANHATTAN,1011280045,MANHATTAN,991065,223217,ONLINE,Unspecified,MANHATTAN,40.77935273675148,-73.97539273972077,"{'latitude': '40.77935273675148', 'longitude': '-73.97539273972077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","20 WEST   76 STREET, MANHATTAN (NEW YORK), NY, 10023",,,,,,
58882192,2023-09-21T17:53:02.000,2023-09-21T17:53:02.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Commercial Building,10466,3980 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST 225 STREET,EAST 226 STREET,EAST  225 STREET,EAST  226 STREET,ADDRESS,BRONX,WHITE PLAINS ROAD,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-21T17:53:02.000,12 BRONX,2048390047,BRONX,1022871,262842,PHONE,Unspecified,BRONX,40.88803003839586,-73.86032120145273,"{'latitude': '40.88803003839586', 'longitude': '-73.86032120145273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883481,2023-09-21T17:52:51.000,2023-09-22T07:48:33.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10024,140 RIVERSIDE DRIVE,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST 86 STREET,RIVERSIDE DRIVE,WEST   86 STREET,ADDRESS,NEW YORK,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-21T17:52:51.000,07 MANHATTAN,1012480001,MANHATTAN,989900,227232,PHONE,Unspecified,MANHATTAN,40.790373662686044,-73.9795958862984,"{'latitude': '40.790373662686044', 'longitude': '-73.9795958862984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882534,2023-09-21T17:52:47.000,2023-09-21T17:52:47.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11224,2848 WEST   19 STREET,WEST   19 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,2023-09-21T00:00:00.000,13 BROOKLYN,3070190028,BROOKLYN,988137,149628,UNKNOWN,Unspecified,BROOKLYN,40.57736946050088,-73.98600745907552,"{'latitude': '40.57736946050088', 'longitude': '-73.98600745907552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884721,2023-09-21T17:52:45.000,2023-11-09T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11213,230 KINGSTON AVENUE,KINGSTON AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-09T00:00:00.000,08 BROOKLYN,3012500025,BROOKLYN,1000344,184044,UNKNOWN,Unspecified,BROOKLYN,40.6718203832721,-73.9419822804104,"{'latitude': '40.6718203832721', 'longitude': '-73.9419822804104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887135,2023-09-21T17:52:43.000,2023-09-23T08:58:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10472,1134 STRATFORD AVENUE,STRATFORD AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-23T00:00:00.000,09 BRONX,2037440057,BRONX,1018805,240859,PHONE,Unspecified,BRONX,40.82771021333198,-73.87513982136143,"{'latitude': '40.82771021333198', 'longitude': '-73.87513982136143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889425,2023-09-21T17:52:26.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10018,429 WEST   36 STREET,WEST   36 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-22T00:00:00.000,04 MANHATTAN,1007340016,MANHATTAN,985091,214471,UNKNOWN,Unspecified,MANHATTAN,40.75534982188818,-73.99696445363394,"{'latitude': '40.75534982188818', 'longitude': '-73.99696445363394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,
