unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_company_borough,vehicle_type
58887398,2023-09-21T15:55:16.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11223,1992 EAST    2 STREET,EAST    2 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,EAST    2 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T10:33:43.000,15 BROOKLYN,3071040169,BROOKLYN,992497,158194,ONLINE,Unspecified,BROOKLYN,40.600878434179556,-73.97030174479966,"{'latitude': '40.600878434179556', 'longitude': '-73.97030174479966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58882174,2023-09-21T15:55:07.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11411,232-06 121 AVENUE,121 AVENUE,232 STREET,233 STREET,232 STREET,233 STREET,ADDRESS,CAMBRIA HEIGHTS,121 AVENUE,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-22T09:22:50.000,13 QUEENS,4128570014,QUEENS,1058322,189072,ONLINE,Unspecified,QUEENS,40.685325792567326,-73.73292125927188,"{'latitude': '40.685325792567326', 'longitude': '-73.73292125927188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58882515,2023-09-21T15:55:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11355,142-02 FRANKLIN AVENUE,FRANKLIN AVENUE,UNION STREET,BOWNE STREET,UNION STREET,BOWNE STREET,ADDRESS,FLUSHING,FRANKLIN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T17:29:51.000,07 QUEENS,4051820015,QUEENS,1033211,214906,ONLINE,Unspecified,QUEENS,40.75640826645315,-73.82327485369174,"{'latitude': '40.75640826645315', 'longitude': '-73.82327485369174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T17:29:47.000,,,,,,,,,
58882766,2023-09-21T15:55:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10027,2 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  120 STREET,WEST  121 STREET,WEST  120 STREET,WEST  121 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T16:47:13.000,10 MANHATTAN,1017207501,MANHATTAN,999179,232192,MOBILE,Unspecified,MANHATTAN,40.803976708083994,-73.9460751713481,"{'latitude': '40.803976708083994', 'longitude': '-73.9460751713481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:47:11.000,,,,,,,,,
58883896,2023-09-21T15:54:42.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Supermarket or Grocery Store,Business,10465,4028 EAST TREMONT AVENUE,EAST TREMONT AVENUE,GERBER PLACE,MILES AVENUE,GERBER PLACE,MILES AVENUE,ADDRESS,BRONX,EAST TREMONT AVENUE,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-25T15:11:30.000,10 BRONX,2055760102,BRONX,1034743,237931,PHONE,Unspecified,BRONX,40.81959696714487,-73.81757202187643,"{'latitude': '40.81959696714487', 'longitude': '-73.81757202187643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58882315,2023-09-21T15:54:41.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11429,112-44 227 STREET,227 STREET,112 ROAD,113 AVENUE,112 ROAD,113 AVENUE,ADDRESS,QUEENS VILLAGE,227 STREET,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-27T10:06:25.000,13 QUEENS,4112250001,QUEENS,1059023,195991,PHONE,Unspecified,QUEENS,40.70431085911705,-73.73031689953918,"{'latitude': '40.70431085911705', 'longitude': '-73.73031689953918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T10:06:21.000,,,,,,,,,
58887129,2023-09-21T15:54:35.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11236,945 EAST   85 STREET,EAST   85 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,18 BROOKLYN,3080220022,BROOKLYN,1009573,171406,PHONE,Unspecified,BROOKLYN,40.63711026580616,-73.90875986852693,"{'latitude': '40.63711026580616', 'longitude': '-73.90875986852693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T19:41:01.000,,,,,,,,,
58881887,2023-09-21T15:54:35.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11236,945 EAST   85 STREET,EAST   85 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,18 BROOKLYN,3080220022,BROOKLYN,1009573,171406,PHONE,Unspecified,BROOKLYN,40.63711026580616,-73.90875986852693,"{'latitude': '40.63711026580616', 'longitude': '-73.90875986852693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T19:41:01.000,,,,,,,,,
58883364,2023-09-21T15:54:33.000,DOT,Department of Transportation,Street Condition,Pothole,,11214,BAY   17 STREET,BAY   17 STREET,CROPSEY AVENUE,SHORE PARKWAY,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-25T11:50:00.000,11 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,2023-09-25T11:50:00.000,N/A,,,,,,,,
58888786,2023-09-21T15:54:32.000,DOT,Department of Transportation,Street Sign - Damaged,One Way,Street,11230,AVENUE I,AVENUE I,AVENUE I,EAST   15 STREET,AVENUE I,EAST   15 STREET,INTERSECTION,,,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-28T06:10:01.000,14 BROOKLYN,,BROOKLYN,994841,167920,PHONE,Unspecified,BROOKLYN,40.62757180142643,-73.96184551661086,"{'latitude': '40.62757180142643', 'longitude': '-73.96184551661086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T06:09:58.000,,,,,,,,,
