unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,vehicle_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58889646,2023-09-21T14:05:43.000,2023-09-21T14:22:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11233,354 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T14:23:02.000,08 BROOKLYN,3013440001,BROOKLYN,1004819,185212,PHONE,Unspecified,BROOKLYN,40.67501701353207,-73.92584666781006,"{'latitude': '40.67501701353207', 'longitude': '-73.92584666781006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882321,2023-09-21T14:05:36.000,2023-09-26T12:14:53.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11201,45 MAIN STREET,MAIN STREET,HOWARD ALLEY,FRONT STREET,HOWARD ALLEY,FRONT STREET,ADDRESS,BROOKLYN,MAIN STREET,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-26T12:14:57.000,02 BROOKLYN,3000370001,BROOKLYN,986835,195325,PHONE,Unspecified,BROOKLYN,40.7027983927821,-73.99067693019475,"{'latitude': '40.7027983927821', 'longitude': '-73.99067693019475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889134,2023-09-21T14:05:27.000,2023-09-22T12:29:06.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10312,4300 AMBOY ROAD,AMBOY ROAD,ARMSTRONG AVENUE,OLD AMBOY ROAD,ARMSTRONG AVENUE,OLD AMBOY ROAD,ADDRESS,STATEN ISLAND,AMBOY ROAD,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-22T12:29:09.000,03 STATEN ISLAND,5052300033,STATEN ISLAND,939998,138257,ONLINE,Unspecified,STATEN ISLAND,40.54604872032775,-74.15922511762626,"{'latitude': '40.54604872032775', 'longitude': '-74.15922511762626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883727,2023-09-21T14:05:25.000,2023-10-03T11:24:59.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11236,9212 DITMAS AVENUE,DITMAS AVENUE,EAST   92 STREET,EAST   93 STREET,EAST   92 STREET,EAST   93 STREET,ADDRESS,BROOKLYN,DITMAS AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-30T10:53:41.000,17 BROOKLYN,3081180036,BROOKLYN,1008371,175796,MOBILE,Unspecified,BROOKLYN,40.64916322090039,-73.91307504027628,"{'latitude': '40.64916322090039', 'longitude': '-73.91307504027628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883957,2023-09-21T14:05:00.000,2023-09-22T11:30:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11385,65 PLACE,65 PLACE,MYRTLE AVENUE,COOPER AVENUE,,,BLOCKFACE,QUEENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-22T11:30:00.000,05 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,
58888877,2023-09-21T14:04:32.000,2023-11-04T12:31:41.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10036,642 NINTH AVENUE,NINTH AVENUE,WEST   45 STREET,WEST   46 STREET,WEST   45 STREET,WEST   46 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-11-04T12:31:46.000,04 MANHATTAN,1010360001,MANHATTAN,986710,216344,MOBILE,Unspecified,MANHATTAN,40.760490426159066,-73.9911200708706,"{'latitude': '40.760490426159066', 'longitude': '-73.9911200708706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890651,2023-09-21T14:04:00.000,2023-09-29T22:20:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,11206,,,,,BUSHWICK AVENUE,MELROSE STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T22:20:00.000,04 BROOKLYN,,BROOKLYN,1002340,193838,UNKNOWN,Unspecified,BROOKLYN,40.69869881335158,-73.934760550392,"{'latitude': '40.69869881335158', 'longitude': '-73.934760550392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890545,2023-09-21T14:03:59.000,2023-09-21T14:30:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11249,72 BERRY STREET,BERRY STREET,NORTH   10 STREET,NORTH    9 STREET,NORTH   10 STREET,NORTH    9 STREET,ADDRESS,BROOKLYN,BERRY STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T14:30:53.000,01 BROOKLYN,3023037501,BROOKLYN,996030,201612,MOBILE,Unspecified,BROOKLYN,40.720047247505924,-73.95750321467,"{'latitude': '40.720047247505924', 'longitude': '-73.95750321467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884911,2023-09-21T14:03:18.000,2023-10-04T10:10:35.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10024,275 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST   87 STREET,WEST   88 STREET,WEST   87 STREET,WEST   88 STREET,ADDRESS,NEW YORK,CENTRAL PARK WEST,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:42.000,07 MANHATTAN,1012010034,MANHATTAN,992965,225792,ONLINE,Unspecified,MANHATTAN,40.786418757878764,-73.96852897514309,"{'latitude': '40.786418757878764', 'longitude': '-73.96852897514309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881778,2023-09-21T14:03:15.000,2023-09-21T14:13:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,CANAL STREET,CANAL STREET,CANAL STREET,CHURCH STREET,CANAL STREET,CHURCH STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T14:13:22.000,01 MANHATTAN,,MANHATTAN,983277,201795,PHONE,Unspecified,MANHATTAN,40.72055732795014,-74.00351016018516,"{'latitude': '40.72055732795014', 'longitude': '-74.00351016018516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
