unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough
58881333,2023-09-21T12:15:29.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11354,154-38 28 AVENUE,28 AVENUE,ADDRESS,FLUSHING,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-22T00:00:00.000,07 QUEENS,4048510042,QUEENS,1036986,220767,UNKNOWN,Unspecified,QUEENS,40.77247345101308,-73.80960301832515,"{'latitude': '40.77247345101308', 'longitude': '-73.80960301832515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58885306,2023-09-21T12:15:29.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,11204,6812 18 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,11 BROOKLYN,3055760044,BROOKLYN,986449,164162,UNKNOWN,Unspecified,BROOKLYN,40.61726293443775,-73.99207924191636,"{'latitude': '40.61726293443775', 'longitude': '-73.99207924191636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,,,,,,
58882714,2023-09-21T12:15:29.000,2023-09-21T12:15:29.000,DOB,Department of Buildings,Scaffold Safety,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,10023,160 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-21T00:00:00.000,07 MANHATTAN,1011420064,MANHATTAN,989471,222545,UNKNOWN,Unspecified,MANHATTAN,40.77750935940004,-73.98114879696303,"{'latitude': '40.77750935940004', 'longitude': '-73.98114879696303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58886292,2023-09-21T12:15:10.000,2023-09-21T13:14:59.000,NYPD,New York City Police Department,Encampment,N/A,10016,407 PARK AVENUE SOUTH,PARK AVENUE SOUTH,ADDRESS,NEW YORK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-21T13:15:04.000,05 MANHATTAN,1008840001,MANHATTAN,988768,210090,ONLINE,Unspecified,MANHATTAN,40.7433239670946,-73.98369545419085,"{'latitude': '40.7433239670946', 'longitude': '-73.98369545419085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,,,,,,,
58890381,2023-09-21T12:14:58.000,2023-10-14T13:16:38.000,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,10002,47 ORCHARD STREET,ORCHARD STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-09-22T05:44:54.000,03 MANHATTAN,1003080024,MANHATTAN,986711,200284,ONLINE,Unspecified,MANHATTAN,40.71640970729694,-73.99112233641887,"{'latitude': '40.71640970729694', 'longitude': '-73.99112233641887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,HESTER STREET,GRAND STREET,HESTER STREET,GRAND STREET,ORCHARD STREET,,,,,,,
58890965,2023-09-21T12:14:52.000,2023-10-03T14:20:55.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11212,70 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,17 BROOKLYN,3045990038,BROOKLYN,1005287,181469,PHONE,Unspecified,BROOKLYN,40.66474221896361,-73.92417116218715,"{'latitude': '40.66474221896361', 'longitude': '-73.92417116218715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
58887147,2023-09-21T12:14:44.000,2023-09-22T16:59:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11238,487 ST JOHNS PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-22T00:00:00.000,08 BROOKLYN,3011740053,BROOKLYN,994838,184603,ONLINE,Unspecified,BROOKLYN,40.67336301004193,-73.96183013558272,"{'latitude': '40.67336301004193', 'longitude': '-73.96183013558272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
58883995,2023-09-21T12:14:44.000,2023-10-03T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,10452,70 EAST  162 STREET,EAST  162 STREET,ADDRESS,BRONX,Closed,"The City inspected the property for cleaning, but no graffiti was found.",2023-10-04T06:59:07.000,04 BRONX,2024840015,BRONX,1005119,241158,UNKNOWN,Unspecified,BRONX,40.82857382283792,-73.92459151128584,"{'latitude': '40.82857382283792', 'longitude': '-73.92459151128584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,Mixed Use,,,,,,2023-10-21T12:14:44.000,,,,,,
58889900,2023-09-21T12:14:42.000,2023-09-22T16:24:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11428,93-45 222 STREET,222 STREET,ADDRESS,QUEENS VILLAGE,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,13 QUEENS,4107410184,QUEENS,1058225,202454,PHONE,Unspecified,QUEENS,40.72205687833085,-73.7331240042316,"{'latitude': '40.72205687833085', 'longitude': '-73.7331240042316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
58881979,2023-09-21T12:14:42.000,2023-09-22T16:24:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11428,93-45 222 STREET,222 STREET,ADDRESS,QUEENS VILLAGE,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,13 QUEENS,4107410184,QUEENS,1058225,202454,PHONE,Unspecified,QUEENS,40.72205687833085,-73.7331240042316,"{'latitude': '40.72205687833085', 'longitude': '-73.7331240042316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
