unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,bridge_highway_direction,road_ramp
58886008,2023-09-21T10:55:49.000,2023-09-21T11:09:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,505 EAST   12 STREET,EAST   12 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST   12 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T11:09:07.000,03 MANHATTAN,1004060062,MANHATTAN,989543,204842,ONLINE,Unspecified,MANHATTAN,40.72891907349611,-73.98090276535221,"{'latitude': '40.72891907349611', 'longitude': '-73.98090276535221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884481,2023-09-21T10:55:45.000,2023-09-21T17:04:54.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2707 SEDGWICK AVENUE,SEDGWICK AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,08 BRONX,2032530001,BRONX,1011048,256276,MOBILE,Unspecified,BRONX,40.870052239478134,-73.90310712738189,"{'latitude': '40.870052239478134', 'longitude': '-73.90310712738189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883505,2023-09-21T10:55:43.000,2023-09-21T10:55:43.000,DOHMH,Department of Health and Mental Hygiene,Standing Water,Container - Over 5 Gallons,1-2 Family Dwelling,11417,107-21 91 STREET,91 STREET,107 AVENUE,CHICOT ROAD,107 AVENUE,CHICOT ROAD,ADDRESS,OZONE PARK,91 STREET,Closed,An inspection of the property was conducted and the owner was issued a summons. Follow-up inspections will be scheduled.,2023-09-21T10:55:43.000,10 QUEENS,4091560065,QUEENS,1026724,186370,ONLINE,Unspecified,QUEENS,40.6781174593512,-73.84686974157219,"{'latitude': '40.6781174593512', 'longitude': '-73.84686974157219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887998,2023-09-21T10:55:39.000,2023-09-21T11:18:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-21 39 STREET,39 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:18:27.000,02 QUEENS,4001870012,QUEENS,1004890,211496,MOBILE,Unspecified,QUEENS,40.74716015167127,-73.92551012787364,"{'latitude': '40.74716015167127', 'longitude': '-73.92551012787364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886343,2023-09-21T10:55:39.000,2023-10-10T10:07:22.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10010,43 WEST   22 STREET,WEST   22 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   22 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T23:09:48.000,05 MANHATTAN,1008240015,MANHATTAN,986602,209424,MOBILE,Unspecified,MANHATTAN,40.741496804491895,-73.99151234176423,"{'latitude': '40.741496804491895', 'longitude': '-73.99151234176423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886242,2023-09-21T10:55:37.000,2023-09-21T18:42:18.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11223,126 KINGSHIGWY,KINGSHIGWY,STILLWELL AVENUE,WEST   13 STREET,STILLWELL AVENUE,WEST   13 STREET,ADDRESS,BROOKLYN,KINGS HIGHWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T18:42:23.000,11 BROOKLYN,3066180052,BROOKLYN,987896,160059,MOBILE,Unspecified,BROOKLYN,40.6060005667184,-73.98686938957063,"{'latitude': '40.6060005667184', 'longitude': '-73.98686938957063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891050,2023-09-21T10:55:34.000,2023-10-05T08:34:55.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10452,1040 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,04 BRONX,2024770015,BRONX,1005678,242235,PHONE,Unspecified,BRONX,40.83152853960675,-73.92256816978937,"{'latitude': '40.83152853960675', 'longitude': '-73.92256816978937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884587,2023-09-21T10:55:34.000,2023-09-25T07:35:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10452,1040 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,04 BRONX,2024770015,BRONX,1005678,242235,PHONE,Unspecified,BRONX,40.83152853960675,-73.92256816978937,"{'latitude': '40.83152853960675', 'longitude': '-73.92256816978937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888423,2023-09-21T10:55:34.000,2023-10-05T08:34:55.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10452,1040 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,04 BRONX,2024770015,BRONX,1005678,242235,PHONE,Unspecified,BRONX,40.83152853960675,-73.92256816978937,"{'latitude': '40.83152853960675', 'longitude': '-73.92256816978937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881873,2023-09-21T10:55:33.000,2023-09-25T07:35:18.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10452,1040 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,04 BRONX,2024770015,BRONX,1005678,242235,PHONE,Unspecified,BRONX,40.83152853960675,-73.92256816978937,"{'latitude': '40.83152853960675', 'longitude': '-73.92256816978937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
