unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,taxi_pick_up_location,due_date
58887456,2023-09-21T09:23:32.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,11209,8224 3 AVENUE,3 AVENUE,82 STREET,83 STREET,82 STREET,83 STREET,ADDRESS,BROOKLYN,3 AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:02:51.000,10 BROOKLYN,3060060046,BROOKLYN,975930,167404,MOBILE,Unspecified,BROOKLYN,40.6261579139247,-74.02997248353202,"{'latitude': '40.6261579139247', 'longitude': '-74.02997248353202', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890373,2023-09-21T09:23:27.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10007,187 BROADWAY,BROADWAY,CORTLANDT STREET,JOHN STREET,CORTLANDT STREET,JOHN STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-21T11:01:52.000,01 MANHATTAN,1000637501,MANHATTAN,981573,198025,ONLINE,Unspecified,MANHATTAN,40.710209228233666,-74.00965595072891,"{'latitude': '40.710209228233666', 'longitude': '-74.00965595072891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T11:01:45.000,,,,,,,
58886042,2023-09-21T09:23:08.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T14:15:40.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T14:15:37.000,,,,,,,
58881625,2023-09-21T09:23:02.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11218,425 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,FRIEL PLACE,CHURCH AVENUE,FRIEL PLACE,CHURCH AVENUE,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T09:39:01.000,14 BROOKLYN,3050700019,BROOKLYN,992269,175105,MOBILE,Unspecified,BROOKLYN,40.64729579446209,-73.97110270549541,"{'latitude': '40.64729579446209', 'longitude': '-73.97110270549541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:38:58.000,,,,,,,
58891662,2023-09-21T09:23:01.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11354,39-01 MAIN STREET,MAIN STREET,39 AVENUE,ROOSEVELT AVENUE,39 AVENUE,ROOSEVELT AVENUE,ADDRESS,FLUSHING,MAIN STREET,Closed,N/A,2023-09-21T11:02:02.000,07 QUEENS,4049800005,QUEENS,1031228,216272,ONLINE,Unspecified,QUEENS,40.76016833864922,-73.83042294583589,"{'latitude': '40.76016833864922', 'longitude': '-73.83042294583589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T11:01:57.000,,,,,,,
58882671,2023-09-21T09:23:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,11236,,,,,EAST 88 STREET,AVENUE A,INTERSECTION,BROOKLYN,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-23T17:50:00.000,17 BROOKLYN,,BROOKLYN,1006554,176172,PHONE,Unspecified,BROOKLYN,40.6502000214656,-73.9196217244632,"{'latitude': '40.6502000214656', 'longitude': '-73.9196217244632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T17:50:00.000,,,,,,,
58890519,2023-09-21T09:22:40.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11416,101-21 92 STREET,92 STREET,,,,,ADDRESS,OZONE PARK,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-21T00:00:00.000,09 QUEENS,4090990061,QUEENS,1026303,188231,UNKNOWN,Unspecified,QUEENS,40.68322748423533,-73.84837594394091,"{'latitude': '40.68322748423533', 'longitude': '-73.84837594394091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:22:40.000,,,,,,,
58885558,2023-09-21T09:22:40.000,DOB,Department of Buildings,BEST/Site Safety,Demolition - Unsafe,,11374,66-11 WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,,,,,ADDRESS,REGO PARK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-21T00:00:00.000,06 QUEENS,4031400004,QUEENS,1022139,200904,UNKNOWN,Unspecified,QUEENS,40.7180306658801,-73.86331811785034,"{'latitude': '40.7180306658801', 'longitude': '-73.86331811785034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T09:22:40.000,,,,,,,
58886427,2023-09-21T09:22:28.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11235,EAST   19 STREET,EAST   19 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,BLOCKFACE,,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T12:50:56.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,2023-09-28T12:50:56.000,,,,,,,
58890226,2023-09-21T09:22:08.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10036,205 WEST   46 STREET,WEST   46 STREET,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,ADDRESS,NEW YORK,WEST   46 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T10:57:18.000,05 MANHATTAN,1010180020,MANHATTAN,988185,215764,ONLINE,Unspecified,MANHATTAN,40.75889794131932,-73.98579606268117,"{'latitude': '40.75889794131932', 'longitude': '-73.98579606268117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891457,2023-09-21T09:22:08.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10030,2430 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,WEST  141 STREET,WEST  142 STREET,WEST  141 STREET,WEST  142 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,,,10 MANHATTAN,1020270025,MANHATTAN,1000686,237865,PHONE,Unspecified,MANHATTAN,40.81954483621709,-73.94061786857885,"{'latitude': '40.81954483621709', 'longitude': '-73.94061786857885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
