unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date,taxi_company_borough,taxi_pick_up_location
58886638,2023-09-21T07:26:58.000,2023-09-21T09:57:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,61-16 65 STREET,65 STREET,ELIOT AVENUE,62 AVENUE,ELIOT AVENUE,62 AVENUE,ADDRESS,MIDDLE VILLAGE,65 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T09:57:46.000,05 QUEENS,4027660037,QUEENS,1012646,200012,MOBILE,Unspecified,QUEENS,40.71561790455511,-73.8975671689055,"{'latitude': '40.71561790455511', 'longitude': '-73.8975671689055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889448,2023-09-21T07:26:56.000,2023-09-21T08:07:56.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10026,145 CENTRAL PARK NORTH,CENTRAL PARK NORTH,LENOX AVENUE,CENTRAL PARK EXIT POWELL BLVD,LENOX AVENUE,CENTRAL PARK EXIT POWELL BLVD,ADDRESS,NEW YORK,WEST  110 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T08:08:02.000,10 MANHATTAN,1018207505,MANHATTAN,997013,230327,PHONE,Unspecified,MANHATTAN,40.79886118848897,-73.95390249264929,"{'latitude': '40.79886118848897', 'longitude': '-73.95390249264929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883383,2023-09-21T07:26:49.000,2023-09-21T08:02:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11222,145 WEST STREET,WEST STREET,INDIA STREET,HURON STREET,INDIA STREET,HURON STREET,ADDRESS,BROOKLYN,WEST STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T08:02:55.000,01 BROOKLYN,3025307501,BROOKLYN,995438,205973,MOBILE,Unspecified,BROOKLYN,40.73201789945503,-73.9596316260748,"{'latitude': '40.73201789945503', 'longitude': '-73.9596316260748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888551,2023-09-21T07:26:41.000,2023-09-22T19:20:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11212,413 EAST   98 STREET,EAST   98 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,16 BROOKLYN,3036070008,BROOKLYN,1007726,179104,PHONE,Unspecified,BROOKLYN,40.6582446879526,-73.91538791350143,"{'latitude': '40.6582446879526', 'longitude': '-73.91538791350143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886449,2023-09-21T07:26:39.000,2023-09-23T11:46:20.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11204,2323 62 STREET,62 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,62 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T13:08:02.000,11 BROOKLYN,3065560069,BROOKLYN,990712,162906,PHONE,Unspecified,BROOKLYN,40.61381339082968,-73.97672519584474,"{'latitude': '40.61381339082968', 'longitude': '-73.97672519584474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884075,2023-09-21T07:26:39.000,2023-09-21T10:21:58.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10462,2181 WALLACE AVENUE,WALLACE AVENUE,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,WALLACE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T10:22:01.000,11 BRONX,2043200042,BRONX,1021657,251121,MOBILE,Unspecified,BRONX,40.8558647549037,-73.86477725055627,"{'latitude': '40.8558647549037', 'longitude': '-73.86477725055627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889449,2023-09-21T07:26:21.000,2023-09-21T08:00:44.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10025,611 WEST  112 STREET,WEST  112 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  112 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T08:00:53.000,09 MANHATTAN,1018950008,MANHATTAN,993611,232795,PHONE,Unspecified,MANHATTAN,40.805639430595974,-73.96618642162706,"{'latitude': '40.805639430595974', 'longitude': '-73.96618642162706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884578,2023-09-21T07:26:13.000,2023-09-26T14:17:32.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10037,60 WEST  142 STREET,WEST  142 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889899,2023-09-21T07:26:13.000,2023-09-26T14:17:32.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10037,60 WEST  142 STREET,WEST  142 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891155,2023-09-21T07:26:13.000,2023-09-26T11:38:36.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10037,60 WEST  142 STREET,WEST  142 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
