unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58878937,2023-09-21T00:36:21.000,2023-09-21T00:44:47.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10025,982 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  108 STREET,WEST  109 STREET,WEST  108 STREET,WEST  109 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T00:44:51.000,07 MANHATTAN,1018807501,MANHATTAN,994061,231480,MOBILE,Unspecified,MANHATTAN,40.80202962892915,-73.96456286425567,"{'latitude': '40.80202962892915', 'longitude': '-73.96456286425567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58871615,2023-09-21T00:36:20.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10001,8 AVENUE,8 AVENUE,8 AVENUE,WEST   33 STREET,8 AVENUE,WEST   33 STREET,INTERSECTION,,,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-12T11:44:55.000,04 MANHATTAN,,MANHATTAN,985927,213077,PHONE,Unspecified,MANHATTAN,40.7515235264882,-73.99394730218468,"{'latitude': '40.7515235264882', 'longitude': '-73.99394730218468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","8 AVENUE AND WEST   33 STREET, MANHATTAN, NY, 10001",,,,,,
58883223,2023-09-21T00:36:12.000,2023-09-25T11:31:59.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11237,1422 GREENE AVENUE,GREENE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,04 BROOKLYN,3033010010,BROOKLYN,1007356,194660,ONLINE,Unspecified,BROOKLYN,40.70094333497239,-73.91666812812518,"{'latitude': '40.70094333497239', 'longitude': '-73.91666812812518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58879020,2023-09-21T00:36:02.000,2023-09-21T00:42:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,ST NICHOLAS PLACE,ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  152 STREET,ST NICHOLAS PLACE,WEST  152 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T00:43:06.000,09 MANHATTAN,,MANHATTAN,1000428,241108,PHONE,Unspecified,MANHATTAN,40.82844642531747,-73.94154218532333,"{'latitude': '40.82844642531747', 'longitude': '-73.94154218532333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58871169,2023-09-21T00:36:01.000,2023-09-21T02:09:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10455,585 WALES AVENUE,WALES AVENUE,EAST  149 STREET,EAST  150 STREET,EAST  149 STREET,EAST  150 STREET,ADDRESS,BRONX,WALES AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T02:09:19.000,01 BRONX,2026410030,BRONX,1009984,235666,ONLINE,Unspecified,BRONX,40.81348700740355,-73.90703329005133,"{'latitude': '40.81348700740355', 'longitude': '-73.90703329005133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888438,2023-09-21T00:35:59.000,2023-09-26T14:52:48.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11206,67 CENTRAL AVENUE,CENTRAL AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,04 BROOKLYN,3031640008,BROOKLYN,1003536,194712,ONLINE,Unspecified,BROOKLYN,40.70109521270424,-73.93044481655052,"{'latitude': '40.70109521270424', 'longitude': '-73.93044481655052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883180,2023-09-21T00:35:59.000,2023-09-23T10:16:01.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11206,67 CENTRAL AVENUE,CENTRAL AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-23T00:00:00.000,04 BROOKLYN,3031640008,BROOKLYN,1003536,194712,ONLINE,Unspecified,BROOKLYN,40.70109521270424,-73.93044481655052,"{'latitude': '40.70109521270424', 'longitude': '-73.93044481655052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58874765,2023-09-21T00:35:45.000,2023-09-21T01:46:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2531 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST  190 STREET,WEST  192 STREET,WEST  190 STREET,WEST  192 STREET,ADDRESS,BRONX,DAVIDSON AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T01:46:29.000,07 BRONX,2032040040,BRONX,1011729,254397,MOBILE,Unspecified,BRONX,40.86489286589889,-73.90065255960958,"{'latitude': '40.86489286589889', 'longitude': '-73.90065255960958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58873558,2023-09-21T00:35:42.000,2023-09-21T01:02:59.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11206,140 UNION AVENUE,UNION AVENUE,MIDDLETON STREET,LYNCH STREET,MIDDLETON STREET,LYNCH STREET,ADDRESS,BROOKLYN,UNION AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T01:03:07.000,01 BROOKLYN,3022380049,BROOKLYN,998058,195827,ONLINE,Unspecified,BROOKLYN,40.70416586901407,-73.95019899602472,"{'latitude': '40.70416586901407', 'longitude': '-73.95019899602472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58879575,2023-09-21T00:35:37.000,2023-09-21T07:47:49.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11417,137-09 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,PITKIN AVENUE,VAN WICKLEN ROAD,PITKIN AVENUE,VAN WICKLEN ROAD,ADDRESS,OZONE PARK,CROSS BAY BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T07:47:53.000,10 QUEENS,4115290051,QUEENS,1027776,184076,ONLINE,Unspecified,QUEENS,40.67181584567338,-73.84309181950769,"{'latitude': '40.67181584567338', 'longitude': '-73.84309181950769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58878774,2023-09-21T00:35:35.000,2023-09-21T01:09:31.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10001,433 WEST   34 STREET,WEST   34 STREET,DYER AVENUE,DYER AVENUE UNDERPASS   31 ST,DYER AVENUE,DYER AVENUE UNDERPASS   31 ST,ADDRESS,NEW YORK,WEST   34 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T01:09:37.000,04 MANHATTAN,1007320016,MANHATTAN,984881,213975,ONLINE,Unspecified,MANHATTAN,40.753988445436406,-73.99772248441008,"{'latitude': '40.753988445436406', 'longitude': '-73.99772248441008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58875400,2023-09-21T00:35:24.000,2023-09-21T00:56:06.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11209,552 82 STREET,82 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,82 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T00:56:12.000,10 BROOKLYN,3060090024,BROOKLYN,977719,166461,ONLINE,Unspecified,BROOKLYN,40.62357107616581,-74.02352676703748,"{'latitude': '40.62357107616581', 'longitude': '-74.02352676703748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58878719,2023-09-21T00:35:02.000,2023-09-21T02:03:20.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11691,ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH   39 STREET,BEACH   40 STREET,BEACH   39 STREET,BEACH   40 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T02:03:23.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,,,
